"index","lable","cluster","hubs","degree"
1,"Elizabethkingia",5,0,0.0404040404040404
2,"Atopococcus",1,0,0.0505050505050505
3,"Streptococcus",5,0,0.0606060606060606
4,"Macrococcus",1,0,0.0707070707070707
5,"Corynebacterium",7,0,0.0606060606060606
6,"Bifidobacterium",4,0,0.0404040404040404
7,"Micrococcus",5,0,0.0808080808080808
8,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,0.0808080808080808
9,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.0404040404040404
10,"Atopostipes",1,0,0.0606060606060606
11,"Granulicatella",1,0,0.0303030303030303
12,"Millisia",1,0,0.0505050505050505
13,"Lactococcus",5,0,0.0808080808080808
14,"Succinispira",4,0,0.0606060606060606
15,"Alkanindiges",5,0,0.0202020202020202
16,"Helcobacillus",7,0,0.0606060606060606
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.0606060606060606
18,"Novosphingobium",1,0,0.0303030303030303
19,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,0.0606060606060606
20,"Roseburia",4,0,0.0606060606060606
21,"Acinetobacter",4,0,0.0606060606060606
22,"Faecalibacterium",6,1,0.0909090909090909
23,"Staphylococcus",1,0,0.0303030303030303
24,"Prevotella",4,0,0.0606060606060606
25,"Enhydrobacter",5,0,0.0505050505050505
26,"Kocuria",5,0,0.0505050505050505
27,"Collinsella",6,0,0.0606060606060606
28,"Trueperella",1,0,0.0707070707070707
29,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",6,0,0.0505050505050505
30,"Nonlabens",5,1,0.0808080808080808
31,"[Clostridium]",4,0,0.0606060606060606
32,"Lactobacillus",6,0,0.0707070707070707
33,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",5,0,0.0808080808080808
34,"Pedobacter",5,1,0.0808080808080808
35,"Arthrobacter",7,0,0.0404040404040404
36,"Ornithinimicrobium",7,0,0.0909090909090909
37,"Bdellovibrio",5,0,0.0404040404040404
38,"CF231",2,0,0.0808080808080808
39,"Snodgrassella",5,0,0.0505050505050505
40,"Pseudoxanthomonas",5,1,0.0909090909090909
41,"Lacticigenium",3,0,0.0303030303030303
42,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.0404040404040404
43,"Lactonifactor",5,0,0.0505050505050505
44,"Alistipes",4,0,0.0404040404040404
45,"GW-34",1,0,0.0808080808080808
46,"Kribbia",7,0,0.0707070707070707
47,"Treponema",2,0,0.0707070707070707
48,"ph2",1,0,0.0606060606060606
49,"Rhizobium",5,0,0.0606060606060606
50,"Dorea",6,0,0.0909090909090909
51,"Succinivibrio",4,0,0.0606060606060606
52,"Pediococcus",6,0,0.0202020202020202
53,"[Prevotella]",6,0,0.0202020202020202
54,"Anaerococcus",2,0,0.0505050505050505
55,"Dietzia",7,0,0.0606060606060606
56,"Weissella",2,0,0.0505050505050505
57,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",7,0,0.0404040404040404
58,"Helcococcus",1,0,0.0909090909090909
59,"Butyricicoccus",6,0,0.0101010101010101
60,"Selenomonas",6,0,0.0404040404040404
61,"Flavobacterium",7,0,0.0505050505050505
62,"Desulfovibrio",3,0,0.0303030303030303
63,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",2,1,0.0909090909090909
64,"Sphingobium",1,0,0.0303030303030303
65,"Wautersiella",2,0,0.0707070707070707
66,"Petrimonas",7,0,0.0707070707070707
67,"Gluconacetobacter",5,0,0.0505050505050505
68,"Anaerobiospirillum",2,0,0.0505050505050505
69,"Kurthia",7,0,0.0505050505050505
70,"Papillibacter",3,0,0.0404040404040404
71,"Macellibacteroides",6,0,0.0505050505050505
72,"Isobaculum",2,0,0.0404040404040404
73,"Psychrobacter",7,0,0.0808080808080808
74,"Sporobacter",4,0,0.0606060606060606
75,"Ochrobactrum",5,0,0.0303030303030303
76,"Brevundimonas",5,0,0.0606060606060606
77,"Mucispirillum",2,0,0.0606060606060606
78,"Helicobacter",2,0,0.0606060606060606
79,"Barnesiella",2,0,0.0707070707070707
80,"Mucilaginibacter",5,0,0.0505050505050505
81,"Lysobacter",7,0,0.0505050505050505
82,"Rothia",3,0,0.0606060606060606
83,"Arcobacter",3,0,0.0202020202020202
84,"Brevibacterium",2,0,0.0606060606060606
85,"Peredibacter",5,0,0.0606060606060606
86,"Serinibacter",7,0,0.0303030303030303
87,"Alkalibacterium",6,0,0.0505050505050505
88,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",7,0,0.0505050505050505
89,"Oscillospira",2,0,0.0606060606060606
90,"Campylobacter",2,0,0.0505050505050505
91,"Akkermansia",3,0,0.0606060606060606
92,"Acholeplasma",7,0,0.0505050505050505
93,"Sphingomonas",1,0,0.0101010101010101
94,"Anaerorhabdus",7,0,0.0404040404040404
95,"Nocardioides",7,0,0.0404040404040404
96,"Aeriscardovia",2,0,0.0404040404040404
97,"Deinococcus",2,0,0.0303030303030303
98,"Haloplasma",3,0,0.0505050505050505
99,"Peptostreptococcus",6,0,0.0505050505050505
100,"Oligella",1,0,0.0505050505050505
