"index","lable","cluster","hubs","degree"
1,"Elizabethkingia",5,0,0.0404040404040404
2,"Atopococcus",6,0,0.0707070707070707
3,"Streptococcus",5,0,0.0606060606060606
4,"Macrococcus",6,0,0.0909090909090909
5,"Corynebacterium",4,0,0.0404040404040404
6,"Bifidobacterium",5,0,0.0404040404040404
7,"Micrococcus",4,0,0.0707070707070707
8,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",7,0,0.0505050505050505
9,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.0202020202020202
10,"Atopostipes",6,0,0.0303030303030303
11,"Granulicatella",6,0,0.0606060606060606
12,"Millisia",6,0,0.0404040404040404
13,"Lactococcus",5,1,0.0808080808080808
14,"Succinispira",7,0,0.0606060606060606
15,"Alkanindiges",5,0,0.0606060606060606
16,"Helcobacillus",6,0,0.0404040404040404
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",7,0,0.0707070707070707
18,"Novosphingobium",1,0,0.0303030303030303
19,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",7,0,0.0606060606060606
20,"Roseburia",7,0,0.0303030303030303
21,"Acinetobacter",5,0,0.0505050505050505
22,"Faecalibacterium",1,0,0.0404040404040404
23,"Staphylococcus",4,0,0.0202020202020202
24,"Prevotella",7,0,0.0404040404040404
25,"Enhydrobacter",4,0,0.0707070707070707
26,"Kocuria",6,0,0.0505050505050505
27,"Collinsella",2,0,0.0303030303030303
28,"Trueperella",6,0,0.0505050505050505
29,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.0505050505050505
30,"Nonlabens",6,1,0.0606060606060606
31,"[Clostridium]",7,0,0.0505050505050505
32,"Lactobacillus",2,0,0.0606060606060606
33,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",7,0,0.0505050505050505
34,"Pedobacter",5,1,0.111111111111111
35,"Arthrobacter",6,0,0.0404040404040404
36,"Ornithinimicrobium",4,0,0.0606060606060606
37,"Bdellovibrio",6,0,0.0505050505050505
38,"CF231",3,0,0.0606060606060606
39,"Snodgrassella",5,1,0.0505050505050505
40,"Pseudoxanthomonas",5,0,0.0505050505050505
41,"Lacticigenium",5,0,0.0404040404040404
42,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.0404040404040404
43,"Lactonifactor",7,0,0.0404040404040404
44,"Alistipes",3,0,0.0404040404040404
45,"GW-34",6,0,0.0606060606060606
46,"Kribbia",4,0,0.0707070707070707
47,"Treponema",5,0,0.0505050505050505
48,"ph2",6,0,0.0606060606060606
49,"Rhizobium",5,0,0.0606060606060606
50,"Dorea",2,0,0.0505050505050505
51,"Succinivibrio",7,0,0.0101010101010101
52,"Pediococcus",2,0,0.0505050505050505
53,"[Prevotella]",2,0,0.0202020202020202
54,"Anaerococcus",6,0,0.0404040404040404
55,"Dietzia",4,0,0.0505050505050505
56,"Weissella",3,0,0.0303030303030303
57,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.0404040404040404
58,"Helcococcus",6,0,0.0505050505050505
59,"Butyricicoccus",2,0,0.0505050505050505
60,"Selenomonas",2,0,0.0606060606060606
61,"Flavobacterium",4,0,0.0505050505050505
62,"Desulfovibrio",7,0,0.0707070707070707
63,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",5,0,0.0606060606060606
64,"Sphingobium",1,0,0.0505050505050505
65,"Wautersiella",3,0,0.0808080808080808
66,"Petrimonas",6,0,0.0505050505050505
67,"Gluconacetobacter",5,0,0.0505050505050505
68,"Anaerobiospirillum",5,0,0.0606060606060606
69,"Kurthia",4,0,0.0202020202020202
70,"Papillibacter",4,0,0.0606060606060606
71,"Macellibacteroides",2,0,0.0505050505050505
72,"Isobaculum",6,0,0.0606060606060606
73,"Psychrobacter",4,0,0.0707070707070707
74,"Sporobacter",7,0,0.0606060606060606
75,"Ochrobactrum",5,0,0.0303030303030303
76,"Brevundimonas",5,0,0.0606060606060606
77,"Mucispirillum",1,0,0.0303030303030303
78,"Helicobacter",1,0,0.0202020202020202
79,"Barnesiella",3,0,0.0606060606060606
80,"Mucilaginibacter",7,0,0.0808080808080808
81,"Lysobacter",4,0,0.0303030303030303
82,"Rothia",3,0,0.0505050505050505
83,"Arcobacter",3,0,0.0404040404040404
84,"Brevibacterium",3,0,0.0404040404040404
85,"Peredibacter",5,0,0.0505050505050505
86,"Serinibacter",6,0,0.0404040404040404
87,"Alkalibacterium",4,0,0.0202020202020202
88,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",3,0,0.0606060606060606
89,"Oscillospira",3,0,0.0707070707070707
90,"Campylobacter",3,1,0.0909090909090909
91,"Akkermansia",7,0,0.0606060606060606
92,"Acholeplasma",6,0,0.0404040404040404
93,"Sphingomonas",1,0,0.0202020202020202
94,"Anaerorhabdus",4,0,0.0909090909090909
95,"Nocardioides",4,0,0.0707070707070707
96,"Aeriscardovia",6,0,0.0707070707070707
97,"Deinococcus",1,0,0.0303030303030303
98,"Haloplasma",6,0,0.0606060606060606
99,"Peptostreptococcus",2,0,0.0404040404040404
100,"Oligella",6,0,0.0505050505050505
