"Node1","Node2","Association","Dissimilarity","Adjecency"
"Ruminococcaceae","[Tissierellaceae]",1,0,1
"Planococcaceae","Intrasporangiaceae",1,0,1
"Gordoniaceae","F16",0.999944384898731,0.0052732865116891,0.994726713488311
"Clostridiaceae","Succinivibrionaceae",0.998956762770275,0.0228389714055237,0.977161028594476
"Veillonellaceae","Succinivibrionaceae",0.997621529449578,0.0344852907079377,0.965514709292062
"Clostridiaceae","Veillonellaceae",0.995622869686354,0.0467821029542611,0.953217897045739
"Lachnospiraceae","Succinivibrionaceae",0.994646285759163,0.0517383525097043,0.948261647490296
"Lachnospiraceae","Clostridiaceae",0.994562631005516,0.05214100590938,0.94785899409062
"Lachnospiraceae","[Tissierellaceae]",0.993313269059982,0.0578218424992572,0.942178157500743
"Aerococcaceae","[Tissierellaceae]",0.988378700876326,0.0762276167923219,0.923772383207678
"Gordoniaceae","[Tissierellaceae]",0.984575415464154,0.0878196576395239,0.912180342360476
"Ruminococcaceae","Lachnospiraceae",0.984269557544857,0.0886860824908361,0.911313917509164
"Lachnospiraceae","Veillonellaceae",0.98386812396113,0.0898105674151718,0.910189432584828
"Aerococcaceae","Gordoniaceae",0.983856407651877,0.0898431754451138,0.910156824554886
"[Tissierellaceae]","F16",0.979677129358455,0.100803944966318,0.899196055033682
"Ruminococcaceae","Gordoniaceae",0.978504462300373,0.10367144664667,0.89632855335333
"Bacillaceae","Bacteroidaceae",0.974926130316204,0.11196845467317,0.88803154532683
"Rhizobiaceae","Streptococcaceae",0.973607845400996,0.114874180299587,0.885125819700413
"Micrococcaceae","Rhizobiaceae",0.969921239121038,0.122635151728535,0.877364848271465
"Lachnospiraceae","Gordoniaceae",0.969637794535435,0.123211617683896,0.876788382316104
"Enterobacteriaceae","Intrasporangiaceae",0.969601288609116,0.123285667031662,0.876714332968338
"Actinomycetaceae","Coriobacteriaceae",0.968574606628734,0.125350295913623,0.874649704086377
"Enterobacteriaceae","Chitinophagaceae",0.964409206705894,0.133399387731177,0.866600612268823
"Ruminococcaceae","Clostridiaceae",0.962188228481037,0.137498675482644,0.862501324517356
"Ruminococcaceae","Succinivibrionaceae",0.96101422436305,0.139616932420373,0.860383067579627
"Staphylococcaceae","Brevibacteriaceae",0.960928551732581,0.139770254824513,0.860229745175487
"[Tissierellaceae]","Porphyromonadaceae",0.960535828570909,0.140470942598623,0.859529057401377
"Spirochaetaceae","Alcaligenaceae",0.960313203509044,0.140866597337616,0.859133402662384
"Clostridiaceae","F16",0.959937304764655,0.141532143408034,0.858467856591966
"Ruminococcaceae","Porphyromonadaceae",0.959214103740998,0.142803879952545,0.857196120047455
"Moraxellaceae","Acetobacteraceae",0.958763677567263,0.14359025460096,0.85640974539904
"Rikenellaceae","[Barnesiellaceae]",0.95864389803204,0.143798647364917,0.856201352635083
"Clostridiaceae","[Tissierellaceae]",0.958256952779334,0.144469801724557,0.855530198275443
"Actinomycetaceae","Leuconostocaceae",0.957873226520669,0.145132307704609,0.854867692295391
"Aerococcaceae","Brevibacteriaceae",0.957303754009463,0.146109968842884,0.853890031157116
"Spirochaetaceae","Rikenellaceae",0.957101120002065,0.146456273334287,0.853543726665713
"Planococcaceae","Enterobacteriaceae",0.956877302605077,0.146837831288335,0.853162168711666
"Intrasporangiaceae","Pseudomonadaceae",0.956144349871835,0.148080468205913,0.851919531794087
"[Paraprevotellaceae]","p-2534-18B5",0.956051197088792,0.148237651949847,0.851762348050153
"Spirochaetaceae","[Barnesiellaceae]",0.955854929124253,0.148568285437617,0.851431714562383
"Aerococcaceae","Leuconostocaceae",0.955659212381917,0.148897259239523,0.851102740760477
"Bifidobacteriaceae","Prevotellaceae",0.955534315858559,0.149106814300086,0.850893185699914
"Clostridiaceae","Gordoniaceae",0.95381798737962,0.151957251588037,0.848042748411962
"Peptostreptococcaceae","p-2534-18B5",0.95320172202236,0.152967771078813,0.847032228921187
"Actinomycetaceae","Spirochaetaceae",0.95318666902553,0.152992370683101,0.847007629316899
"F16","Succinivibrionaceae",0.953094834247879,0.153142361468213,0.846857638531787
"Planococcaceae","Pseudomonadaceae",0.952862615726501,0.153520982724674,0.846479017275326
"Bifidobacteriaceae","Veillonellaceae",0.952313786133948,0.154412133373728,0.845587866626272
"Actinomycetaceae","Alcaligenaceae",0.951859304930664,0.155146213407444,0.844853786592556
"Spirochaetaceae","Carnobacteriaceae",0.951162618497659,0.156264809701898,0.843735190298102
"[Tissierellaceae]","Succinivibrionaceae",0.950583149508561,0.15718913844703,0.84281086155297
"Lactobacillaceae","Rhodobacteraceae",0.950573920886167,0.157203815338294,0.842796184661706
"[Barnesiellaceae]","Alcaligenaceae",0.948905690722103,0.159834772934266,0.840165227065734
"[Barnesiellaceae]","Carnobacteriaceae",0.948842316596511,0.159933866650389,0.840066133349611
"Bacteroidaceae","Prevotellaceae",0.948732826432705,0.160104924295437,0.839895075704563
"Aerococcaceae","Haloplasmataceae",0.948461527214927,0.160527992551256,0.839472007448744
"Bifidobacteriaceae","F16",0.948187333751254,0.160954444251698,0.839045555748302
"Gordoniaceae","Succinivibrionaceae",0.948159793774387,0.16099721461195,0.83900278538805
"Ruminococcaceae","Alcaligenaceae",0.946764585871871,0.163149339759818,0.836850660240182
"Bifidobacteriaceae","Succinivibrionaceae",0.946695899071979,0.163254557253421,0.836745442746579
"Staphylococcaceae","Leuconostocaceae",0.945857904234968,0.164532817038171,0.835467182961829
"Moraxellaceae","Dermatophilaceae",0.944250273456801,0.166957669100881,0.833042330899119
"Lachnospiraceae","Porphyromonadaceae",0.944243232654933,0.16696821156296,0.83303178843704
"Aerococcaceae","Actinomycetaceae",0.943893667217724,0.167490794944492,0.832509205055508
"Bifidobacteriaceae","Clostridiaceae",0.943587713212043,0.167946846930743,0.832053153069257
"Enterobacteriaceae","Xanthomonadaceae",0.943312350309935,0.168356243855203,0.831643756144797
"Lachnospiraceae","F16",0.940556014716509,0.172400674713719,0.827599325286281
"Veillonellaceae","F16",0.940391769813737,0.172638683652104,0.827361316347896
"Rikenellaceae","Carnobacteriaceae",0.939624402362637,0.173746363468941,0.826253636531059
"Aerococcaceae","Ruminococcaceae",0.939149088003531,0.174428942547487,0.825571057452513
"Moraxellaceae","Deinococcaceae",0.938867639705649,0.174831862505596,0.825168137494404
"Elusimicrobiaceae","Acholeplasmataceae",0.937689272446349,0.176508820677114,0.823491179322886
"Staphylococcaceae","Haloplasmataceae",0.935430739140213,0.179679243180433,0.820320756819567
"Actinomycetaceae","[Barnesiellaceae]",0.93442006810006,0.181079998757373,0.818920001242627
"Ruminococcaceae","Veillonellaceae",0.934358722324978,0.1811646732603,0.8188353267397
"Veillonellaceae","Prevotellaceae",0.934112322680065,0.181504376420976,0.818495623579024
"Aerococcaceae","Staphylococcaceae",0.934038950374905,0.181605409645604,0.818394590354396
"Peptostreptococcaceae","Erysipelotrichaceae",0.934025463847039,0.181623974398977,0.818376025601023
"Intrasporangiaceae","Chitinophagaceae",0.933789094222147,0.181949039263543,0.818050960736457
"Leuconostocaceae","Brevibacteriaceae",0.933776187425111,0.181966772481803,0.818033227518197
"Xanthomonadaceae","Chitinophagaceae",0.931630264137741,0.184891503133944,0.815108496866056
"Planococcaceae","Xanthomonadaceae",0.9312283531496,0.185434148487273,0.814565851512727
"Comamonadaceae","Dietziaceae",0.931205918191628,0.185464392550662,0.814535607449338
