"Node1","Node2","Association","Dissimilarity","Adjecency"
"[Weeksellaceae]","Xanthomonadaceae",0.91065064931148,0.211363845877814,0.788636154122186
"Xanthomonadaceae","Flavobacteriaceae",0.878062160654453,0.246918852404537,0.753081147595463
"Aerococcaceae","Corynebacteriaceae",0.852443107743657,0.271621880797869,0.728378119202131
"Neisseriaceae","Bdellovibrionaceae",0.839891989863346,0.282938164743336,0.717061835256664
"Micrococcaceae","Moraxellaceae",0.83761549363778,0.284942543648908,0.715057456351092
"[Weeksellaceae]","Sphingobacteriaceae",0.835758227219727,0.286567420322228,0.713432579677772
"Ruminococcaceae","Peptostreptococcaceae",0.833951931801121,0.288138914587112,0.711861085412888
"Xanthomonadaceae","Sphingobacteriaceae",0.830904337226305,0.290771097922141,0.709228902077859
"[Weeksellaceae]","Pseudomonadaceae",0.822102318109699,0.298242922707565,0.701757077292435
"Bdellovibrionaceae","Bacteriovoracaceae",0.820978675458864,0.299183325522275,0.700816674477725
"[Weeksellaceae]","Flavobacteriaceae",0.820550145187142,0.299541194840424,0.700458805159576
"Rhodobacteraceae","Pseudomonadaceae",0.818658223209396,0.301116071300258,0.698883928699742
"Gordoniaceae","Peptostreptococcaceae",0.809698368051905,0.308465258941826,0.691534741058174
"Micrococcaceae","Xanthomonadaceae",0.809200011259735,0.308868895115925,0.691131104884074
"Micrococcaceae","Sphingobacteriaceae",0.804954943720715,0.312285971730467,0.687714028269533
"Neisseriaceae","Bacteriovoracaceae",0.803832998932121,0.313182854789242,0.686817145210758
"Moraxellaceae","Xanthomonadaceae",0.802555397152663,0.314201052550224,0.685798947449776
"Bacillaceae","Clostridiaceae",0.799299865672103,0.316780787239297,0.683219212760703
"Aerococcaceae","Ruminococcaceae",0.791534744812647,0.322850782241079,0.677149217758921
"Aerococcaceae","Staphylococcaceae",0.791498156324883,0.322879113349809,0.677120886650191
"Corynebacteriaceae","Staphylococcaceae",0.790598272797688,0.323575128217785,0.676424871782215
"Corynebacteriaceae","Dietziaceae",0.785675497421952,0.327356459061103,0.672643540938897
"Bdellovibrionaceae","Acetobacteraceae",0.784137596856275,0.328528844352916,0.671471155647084
"Dietziaceae","Nocardioidaceae",0.783122551169436,0.329300355929479,0.670699644070521
"Corynebacteriaceae","Gordoniaceae",0.781480245053793,0.330544819159374,0.669455180840626
"Comamonadaceae","Neisseriaceae",0.777922214157093,0.333224988440923,0.666775011559077
"Sphingobacteriaceae","Beijerinckiaceae",0.772432718683189,0.337318307624127,0.662681692375873
"Xanthomonadaceae","Neisseriaceae",0.761735713304059,0.345155245285322,0.654844754714678
"Micrococcaceae","Flavobacteriaceae",0.758509793601551,0.347483961067593,0.652516038932407
"[Weeksellaceae]","Beijerinckiaceae",0.756911298374539,0.348632113857474,0.651367886142526
"Aerococcaceae","Peptostreptococcaceae",0.755630977145045,0.34954901148119,0.65045098851881
"Aerococcaceae","Gordoniaceae",0.755120378678333,0.349914004665194,0.650085995334806
"Bdellovibrionaceae","Beijerinckiaceae",0.752812885661748,0.351558753509461,0.648441246490539
"Xanthomonadaceae","Rhizobiaceae",0.751689059630758,0.352357020910072,0.647642979089928
"Comamonadaceae","Bdellovibrionaceae",0.748829724658843,0.35437993406876,0.64562006593124
"Lachnospiraceae","Veillonellaceae",0.74684197652454,0.355779442545139,0.644220557454861
"Ruminococcaceae","Clostridiaceae",0.745399501312572,0.356791604923257,0.643208395076743
"Staphylococcaceae","Gordoniaceae",0.744666798489982,0.357304632988448,0.642695367011552
"Bacteriovoracaceae","Acetobacteraceae",0.742943372231193,0.358508457200668,0.641491542799332
"Neisseriaceae","Acetobacteraceae",0.741966026438258,0.359189346697353,0.640810653302647
"[Weeksellaceae]","Bdellovibrionaceae",0.739396374705906,0.36097342374065,0.63902657625935
"[Weeksellaceae]","Rhizobiaceae",0.736463235385337,0.362999149182655,0.637000850817345
"Actinomycetaceae","Porphyromonadaceae",0.732157256379957,0.365952690671925,0.634047309328075
"[Weeksellaceae]","Micrococcaceae",0.724512541127589,0.371138423551383,0.628861576448617
"Peptostreptococcaceae","Veillonellaceae",0.724506542498021,0.371142464224979,0.628857535775021
"Lachnospiraceae","Peptostreptococcaceae",0.722053115565515,0.372791419184029,0.627208580815971
"Beijerinckiaceae","Acetobacteraceae",0.720284734863643,0.373975443803706,0.626024556196294
"S24-7","Desulfovibrionaceae",0.720267845227599,0.373986734238262,0.626013265761738
"Sphingobacteriaceae","Rhizobiaceae",0.719233137940401,0.374677769596489,0.625322230403511
"Xanthomonadaceae","Bdellovibrionaceae",0.717604485737327,0.375762900152924,0.624237099847076
"[Weeksellaceae]","Neisseriaceae",0.717513362766115,0.375823520574408,0.624176479425592
"Ruminococcaceae","Lachnospiraceae",0.716430420255745,0.376543211161917,0.623456788838084
"Neisseriaceae","Beijerinckiaceae",0.716381377982645,0.37657577060756,0.62342422939244
"Veillonellaceae","Erysipelotrichaceae",0.712766814271572,0.378967799244493,0.621032200755507
"Moraxellaceae","Sphingobacteriaceae",0.711120765479015,0.380052124399394,0.619947875600606
"Flavobacteriaceae","Rhizobiaceae",0.710733714323174,0.380306643168921,0.619693356831079
"Peptostreptococcaceae","[Tissierellaceae]",0.710031622065243,0.380767893824281,0.619232106175719
"Xanthomonadaceae","Beijerinckiaceae",0.709426773068772,0.381164811421009,0.61883518857899
"Clostridiaceae","Peptostreptococcaceae",0.709393678229505,0.381186517187121,0.618813482812879
"Rhodobacteraceae","Chitinophagaceae",0.709380733363595,0.381195006942906,0.618804993057094
"Corynebacteriaceae","Peptostreptococcaceae",0.708497824750993,0.381773607815553,0.618226392184447
"Enterobacteriaceae","Xanthomonadaceae",0.708289678356921,0.381909885734239,0.618090114265761
"Ruminococcaceae","Corynebacteriaceae",0.706952882053304,0.382783958615493,0.617216041384507
"[Weeksellaceae]","Rhodobacteraceae",0.706867950843242,0.382839424012704,0.617160575987296
"Sphingobacteriaceae","Flavobacteriaceae",0.705828138751586,0.38351783612266,0.61648216387734
"Staphylococcaceae","Dietziaceae",0.705147044928727,0.383961557366927,0.616038442633073
