"Node1","Node2","Association","Dissimilarity","Adjecency"
"Sphingomonadaceae","Caulobacteraceae",0.976463987341647,0.10848044215054,0.89151955784946
"Veillonellaceae","F16",0.976294739208757,0.108869786422227,0.891130213577773
"Clostridiaceae","Succinivibrionaceae",0.942313073070028,0.169833634669303,0.830166365330697
"Bacteroidaceae","Fusobacteriaceae",0.940301057704923,0.17276999492834,0.82723000507166
"Oxalobacteraceae","Enterobacteriaceae",0.940012853761898,0.173186526955912,0.826813473044088
"Caulobacteraceae","Pseudomonadaceae",0.932545069086584,0.183650389209247,0.816349610790753
"Micrococcaceae","Dermatophilaceae",0.931088058057319,0.185623196210335,0.814376803789665
"Peptostreptococcaceae","[Paraprevotellaceae]",0.929043303083953,0.18835697082408,0.81164302917592
"Moraxellaceae","Dermatophilaceae",0.928689014594936,0.188826620746473,0.811173379253527
"Bacillaceae","Gordoniaceae",0.928213882796248,0.189454634680379,0.810545365319621
"Lachnospiraceae","Gordoniaceae",0.928021612441562,0.189708180580646,0.810291819419354
"Aerococcaceae","Clostridiaceae",0.924379020287941,0.194449196079669,0.805550803920331
"Dermatophilaceae","Pasteurellaceae",0.913017296867821,0.208545802082155,0.791454197917845
"Staphylococcaceae","Gordoniaceae",0.912444147370523,0.209231752644617,0.790768247355383
"Sphingomonadaceae","Pseudomonadaceae",0.911753184426178,0.21005572543235,0.78994427456765
"Moraxellaceae","Pseudomonadaceae",0.909231212304953,0.213036132727581,0.786963867272419
"Helicobacteraceae","Methylophilaceae",0.908089224384683,0.214372077957131,0.785627922042869
"Enterobacteriaceae","Polyangiaceae",0.907020499355839,0.215614819347095,0.784385180652905
"[Tissierellaceae]","Succinivibrionaceae",0.90625468219313,0.216500944347674,0.783499055652326
"Intrasporangiaceae","Pasteurellaceae",0.905740381715817,0.217094009917573,0.782905990082427
"Micrococcaceae","Moraxellaceae",0.905538932113991,0.217325870395138,0.782674129604862
"Helicobacteraceae","Aeromonadaceae",0.901820513993596,0.221562052263473,0.778437947736527
"Flavobacteriaceae","Pseudomonadaceae",0.900039355245872,0.22356279291748,0.776437207082521
