"Node1","Node2","Association","Dissimilarity","Adjecency"
"Ruminococcaceae","Planococcaceae",1,0,1
"Lachnospiraceae","Planococcaceae",1,0,1
"Staphylococcaceae","Planococcaceae",1,0,1
"Bacillaceae","Planococcaceae",1,0,1
"Bacteroidaceae","Planococcaceae",1,0,1
"Peptostreptococcaceae","Planococcaceae",1,0,1
"Bifidobacteriaceae","Planococcaceae",1,0,1
"Clostridiaceae","Planococcaceae",1,0,1
"Gordoniaceae","Planococcaceae",1,0,1
"Veillonellaceae","Planococcaceae",1,0,1
"Actinomycetaceae","Planococcaceae",1,0,1
"Desulfovibrionaceae","Planococcaceae",1,0,1
"Lactobacillaceae","Planococcaceae",1,0,1
"Prevotellaceae","Planococcaceae",1,0,1
"Coriobacteriaceae","Planococcaceae",1,0,1
"F16","Planococcaceae",1,0,1
"S24-7","Planococcaceae",1,0,1
"Succinivibrionaceae","Planococcaceae",1,0,1
"[Paraprevotellaceae]","Planococcaceae",1,0,1
"Planococcaceae","Fusobacteriaceae",1,0,1
"Planococcaceae","Rikenellaceae",1,0,1
"Planococcaceae","Erysipelotrichaceae",1,0,1
"Planococcaceae","Verrucomicrobiaceae",1,0,1
"Planococcaceae","Peptococcaceae",1,0,1
"Planococcaceae","Aeromonadaceae",1,0,1
"Moraxellaceae","Pseudomonadaceae",0.98988970067418,0.071099575687273,0.928900424312727
"Peptostreptococcaceae","Coriobacteriaceae",0.989322305742263,0.0730674149595313,0.926932585040469
"Staphylococcaceae","Gordoniaceae",0.986086418037215,0.0834073796578717,0.916592620342128
"Gordoniaceae","F16",0.985345766375901,0.0855985794978496,0.91440142050215
"Intrasporangiaceae","Alcaligenaceae",0.984586307668293,0.0877886448571437,0.912211355142856
"Micrococcaceae","Alcaligenaceae",0.979265862408073,0.101818803744511,0.898181196255489
"Flavobacteriaceae","Rhizobiaceae",0.978368541779355,0.103998697637626,0.896001302362374
"Lachnospiraceae","Clostridiaceae",0.976228922485623,0.10902081799908,0.89097918200092
"Micrococcaceae","Intrasporangiaceae",0.974759155228285,0.112340653308841,0.887659346691159
"[Weeksellaceae]","Enterobacteriaceae",0.973480875510829,0.115150172577316,0.884849827422684
"Staphylococcaceae","F16",0.964608374426052,0.133025609515513,0.866974390484487
"S24-7","Verrucomicrobiaceae",0.964414219792449,0.133389992517339,0.866610007482661
"Erysipelotrichaceae","Porphyromonadaceae",0.964091080964416,0.133994251808769,0.866005748191231
"Bacillaceae","Gordoniaceae",0.963785486478465,0.134563207307078,0.865436792692922
"Moraxellaceae","Bdellovibrionaceae",0.962386667645266,0.137137398901127,0.862862601098873
"Staphylococcaceae","[Tissierellaceae]",0.960645145684943,0.140276253006447,0.859723746993553
"Ruminococcaceae","F16",0.957159427899882,0.146356708250968,0.853643291749032
"Bdellovibrionaceae","Pseudomonadaceae",0.955375377751942,0.149373060235201,0.850626939764799
"Xanthomonadaceae","Comamonadaceae",0.955065846760422,0.14989021522364,0.85010978477636
"Ruminococcaceae","Lachnospiraceae",0.953857622292761,0.151892030250503,0.848107969749497
"Moraxellaceae","Bacteriovoracaceae",0.953274300448614,0.152849107866854,0.847150892133146
"Moraxellaceae","Neisseriaceae",0.95231406003207,0.154411689920048,0.845588310079952
"Bacteroidaceae","Succinivibrionaceae",0.95202747441878,0.154874990849427,0.845125009150573
"Moraxellaceae","[Weeksellaceae]",0.948401981050723,0.160620700641724,0.839379299358276
"Flavobacteriaceae","Xanthomonadaceae",0.94771814092482,0.16168156832982,0.83831843167018
"Veillonellaceae","Coriobacteriaceae",0.946251304276811,0.163933974091994,0.836066025908005
"Lactobacillaceae","Fusobacteriaceae",0.945803928483276,0.164614810264331,0.835385189735669
"Flavobacteriaceae","Comamonadaceae",0.945325798322502,0.165339350545323,0.834660649454677
"Pseudomonadaceae","Comamonadaceae",0.944104524895322,0.167175768436514,0.832824231563486
"Veillonellaceae","Prevotellaceae",0.942740905765189,0.169202680585757,0.830797319414243
"[Weeksellaceae]","Pseudomonadaceae",0.941318657997797,0.171291187750863,0.828708812249137
"Bacillaceae","F16",0.94092832647504,0.171859933557766,0.828140066442234
"Pseudomonadaceae","Neisseriaceae",0.939461904212905,0.173980021535656,0.826019978464344
"Bdellovibrionaceae","Neisseriaceae",0.938444642278725,0.175435682974239,0.824564317025761
"Pseudomonadaceae","Bacteriovoracaceae",0.937705204477007,0.176486253746564,0.823513746253436
