"Node1","Node2","Association","Dissimilarity","Adjecency"
"Ruminococcaceae","Lachnospiraceae",0.840228773492702,0.282640431031459,0.717359568968541
"[Tissierellaceae]","Actinomycetaceae",0.769698379667076,0.339338783764046,0.660661216235954
"Lachnospiraceae","F16",0.717915080989854,0.375556200195221,0.624443799804779
"Helicobacteraceae","Methylophilaceae",0.716055801087911,0.376791851631699,0.623208148368301
"Succinivibrionaceae","[Barnesiellaceae]",0.710610809499808,0.38038742782865,0.61961257217135
"Ruminococcaceae","F16",0.710494461383561,0.380463886996151,0.619536113003849
"[Weeksellaceae]","Xanthomonadaceae",0.696853242931738,0.389324258856459,0.610675741143541
"Moraxellaceae","Flavobacteriaceae",0.693373706201248,0.391552227550012,0.608447772449988
"Flavobacteriaceae","Pseudomonadaceae",0.683825415846016,0.397601926651509,0.602398073348491
"Bdellovibrionaceae","Acetobacteraceae",0.672796084118573,0.404477388664327,0.595522611335673
"Veillonellaceae","F16",0.66687142781878,0.408122881116227,0.591877118883773
"[Tissierellaceae]","Prevotellaceae",0.659326674408676,0.412718624241337,0.587281375758663
"[Weeksellaceae]","Flavobacteriaceae",0.651586100865,0.417381060384273,0.582618939615727
"[Tissierellaceae]","Porphyromonadaceae",0.650529076744254,0.418013709856355,0.581986290143645
"Moraxellaceae","Pseudomonadaceae",0.645906859758512,0.420769022292212,0.579230977707788
"Ruminococcaceae","Veillonellaceae",0.64032086001715,0.424074957986704,0.575925042013296
"Pseudomonadaceae","Caulobacteraceae",0.639849237258177,0.42435289721046,0.57564710278954
"Rikenellaceae","[Paraprevotellaceae]",0.63791949245305,0.425488253390707,0.574511746609293
"Gordoniaceae","[Tissierellaceae]",0.634287550867085,0.427616913330679,0.572383086669321
"F16","Erysipelotrichaceae",0.633516411296156,0.428067511441738,0.571932488558262
"Moraxellaceae","Comamonadaceae",0.626065495279636,0.432397100314262,0.567602899685738
"Aerococcaceae","[Tissierellaceae]",0.625307820055332,0.432834945414917,0.567165054585083
"Bdellovibrionaceae","Bacteriovoracaceae",0.62045628807581,0.4356281165881,0.5643718834119
"Peptostreptococcaceae","[Tissierellaceae]",0.619966585668312,0.435909058366357,0.564090941633643
"Lachnospiraceae","Peptostreptococcaceae",0.61802968169782,0.437018488340127,0.562981511659873
"[Weeksellaceae]","Rhizobiaceae",0.617355460612063,0.437404011977449,0.562595988022551
"Enterobacteriaceae","Bdellovibrionaceae",0.615015305691575,0.438739498055751,0.561260501944249
"[Chromatiaceae]","Aeromonadaceae",0.614554100177132,0.43900222085023,0.56099777914977
"Succinivibrionaceae","Prevotellaceae",0.611827659121398,0.440552120003185,0.559447879996815
"Veillonellaceae","[Paraprevotellaceae]",0.610563640097283,0.441268829571451,0.558731170428549
"Lachnospiraceae","Veillonellaceae",0.608020173589234,0.44270748040369,0.55729251959631
"Peptostreptococcaceae","Erysipelotrichaceae",0.605016049640434,0.444400692145931,0.555599307854069
"[Paraprevotellaceae]","Desulfovibrionaceae",0.603829758898045,0.445067546054504,0.554932453945496
"Ruminococcaceae","Erysipelotrichaceae",0.600301413712164,0.447045068358793,0.552954931641207
