"Node1","Node2","Association","Dissimilarity","Adjecency"
"Ruminococcaceae","Lachnospiraceae",0.955722248481682,0.14879138334984,0.85120861665016
"Staphylococcaceae","Gordoniaceae",0.948496564424027,0.160473417698965,0.839526582301035
"Lachnospiraceae","Peptostreptococcaceae",0.842812896993088,0.280345414628911,0.719654585371089
"Desulfovibrionaceae","Coriobacteriaceae",0.826604638645468,0.294444698843885,0.705555301156115
"Bifidobacteriaceae","Bacteroidaceae",0.808069978472468,0.309782198913634,0.690217801086366
"Coriobacteriaceae","Lactobacillaceae",0.791701903781512,0.322721316477923,0.677278683522077
"Ruminococcaceae","Peptostreptococcaceae",0.769986635708999,0.339126351299188,0.660873648700812
"S24-7","Desulfovibrionaceae",0.765862571149049,0.342153057016119,0.657846942983881
"Micrococcaceae","Intrasporangiaceae",0.760665720616908,0.345929385412032,0.654070614587968
"Lachnospiraceae","Veillonellaceae",0.759040748891281,0.347101751010218,0.652898248989782
"Rikenellaceae","[Paraprevotellaceae]",0.755869886631154,0.349378099892399,0.650621900107601
"Aerococcaceae","[Tissierellaceae]",0.749882103668651,0.353636746062502,0.646363253937498
"Desulfovibrionaceae","Lactobacillaceae",0.746613065055967,0.355940258290653,0.644059741709347
"Corynebacteriaceae","Gordoniaceae",0.744562955873777,0.357377282522423,0.642622717477577
"Veillonellaceae","Peptostreptococcaceae",0.739655378995497,0.360794000091814,0.639205999908186
"Corynebacteriaceae","Staphylococcaceae",0.738660477820431,0.361482725852543,0.638517274147457
"Gordoniaceae","Porphyromonadaceae",0.738101355013223,0.361869206334815,0.638130793665185
"S24-7","[Odoribacteraceae]",0.721034107600479,0.373474157338577,0.626525842661423
"Desulfovibrionaceae","[Odoribacteraceae]",0.715893228346052,0.376899702609294,0.623100297390706
"Ruminococcaceae","Veillonellaceae",0.7140563219513,0.378116171334089,0.621883828665911
"Brucellaceae","Deinococcaceae",0.713939589307419,0.378193343868305,0.621806656131695
"Micrococcaceae","Flavobacteriaceae",0.713747716797807,0.378320157540008,0.621679842459992
"S24-7","Lactobacillaceae",0.713319629196958,0.378602938976339,0.621397061023661
"Micrococcaceae","Nocardioidaceae",0.712705634961558,0.379008156270048,0.620991843729952
"Aerococcaceae","Corynebacteriaceae",0.707938812449031,0.382139495178769,0.617860504821231
"Rikenellaceae","Erysipelotrichaceae",0.706897391590551,0.382820198271622,0.617179801728378
"Deferribacteraceae","[Odoribacteraceae]",0.706405316365987,0.383141412297087,0.616858587702913
"S24-7","Coriobacteriaceae",0.705701084098735,0.383600649048764,0.616399350951236
"Micrococcaceae","Moraxellaceae",0.70347327509715,0.385049818142309,0.614950181857691
"Ruminococcaceae","Gordoniaceae",0.70309213638889,0.385297199322231,0.614702800677769
"Corynebacteriaceae","Kineosporiaceae",0.703009718789234,0.385350672252408,0.614649327747592
"Fusobacteriaceae","Peptococcaceae",0.702242236557562,0.38584826256084,0.61415173743916
"Rhodobacteraceae","Nocardioidaceae",0.702159635677402,0.385901777867502,0.614098222132498
"Lachnospiraceae","Gordoniaceae",0.697975081027446,0.388603216000945,0.611396783999055
"Prevotellaceae","Succinivibrionaceae",0.697202962510152,0.389099625732182,0.610900374267818
"Ruminococcaceae","Staphylococcaceae",0.694993258618323,0.390516799498867,0.609483200501133
"Nocardioidaceae","Chitinophagaceae",0.692510812844044,0.392102784455783,0.607897215544217
"Microbacteriaceae","Erythrobacteraceae",0.690905306391452,0.393125103248665,0.606874896751335
"Bradyrhizobiaceae","C111",0.688725634389791,0.394508786727374,0.605491213272626
"Micrococcaceae","Dietziaceae",0.687421721293302,0.395334212222202,0.604665787777798
"Staphylococcaceae","Porphyromonadaceae",0.685203774954219,0.3967343097375,0.6032656902625
"Lachnospiraceae","Staphylococcaceae",0.682077731059779,0.39869930332283,0.601300696677169
"[Paraprevotellaceae]","p-2534-18B5",0.681420604580868,0.399111134534688,0.600888865465312
"Desulfovibrionaceae","Porphyromonadaceae",0.674070707632064,0.403688798685284,0.596311201314716
"Intrasporangiaceae","Nocardioidaceae",0.67386923661228,0.403813548180172,0.596186451819828
"Bradyrhizobiaceae","Sanguibacteraceae",0.670626788794773,0.405815975046096,0.594184024953904
"Rikenellaceae","Verrucomicrobiaceae",0.670167043346622,0.40609909914538,0.59390090085462
"Bifidobacteriaceae","Dermabacteraceae",0.66542018647329,0.409010888318826,0.590989111681174
"[Paraprevotellaceae]","Verrucomicrobiaceae",0.662880588645772,0.410560233920814,0.589439766079186
"Coriobacteriaceae","Porphyromonadaceae",0.660968583332085,0.411722853791185,0.588277146208815
"Veillonellaceae","Coriobacteriaceae",0.660832740007691,0.411805330218241,0.588194669781759
"Comamonadaceae","Xanthomonadaceae",0.65796691059583,0.413541466726234,0.586458533273766
"Chitinophagaceae","Erythrobacteraceae",0.657963996530175,0.413543228375115,0.586456771624885
"Gordoniaceae","[Tissierellaceae]",0.652068287932151,0.417092143337566,0.582907856662434
"Gordoniaceae","Kineosporiaceae",0.651984429512173,0.417142404034778,0.582857595965222
"Rhodobacteraceae","Dietziaceae",0.648060295601425,0.419487606729075,0.580512393270925
"Lachnospiraceae","Pseudomonadaceae",0.644057261430736,0.421866530178245,0.578133469821755
"Peptostreptococcaceae","Pseudomonadaceae",0.643666806740828,0.422097851960403,0.577902148039597
"Aerococcaceae","Gordoniaceae",0.643435132563206,0.422235045582904,0.577764954417096
"Neisseriaceae","A4b",0.639177814057016,0.424748270121836,0.575251729878164
"Aerococcaceae","Kineosporiaceae",0.634647127413626,0.427406640441146,0.572593359558854
"Lachnospiraceae","Coriobacteriaceae",0.634136025428064,0.427705491297421,0.572294508702579
"Ruminococcaceae","Coriobacteriaceae",0.631987645297482,0.428959412242299,0.571040587757701
"Rhodobacteraceae","Dermatophilaceae",0.629881637700467,0.430185054540214,0.569814945459786
"Bradyrhizobiaceae","Rhodospirillaceae",0.629274450637649,0.430537773814535,0.569462226185465
"Staphylococcaceae","Pseudomonadaceae",0.629008391794627,0.430692238266127,0.569307761733873
"Chitinophagaceae","Dermatophilaceae",0.628360641743675,0.431068067859547,0.568931932140453
"Bradyrhizobiaceae","A4b",0.627595676022011,0.431511485350036,0.568488514649964
"Desulfovibrionaceae","Veillonellaceae",0.627342938112919,0.431657886460494,0.568342113539506
"Gordoniaceae","Clostridiaceae",0.626973026856879,0.43187207199767,0.56812792800233
"Bacteroidaceae","Clostridiaceae",0.626794462143414,0.431975426301419,0.568024573698581
"Rhodobacteraceae","Chitinophagaceae",0.626338330115089,0.43223932600176,0.56776067399824
