"Node1","Node2","Association","Dissimilarity","Adjecency"
"Aerococcaceae","Bacillaceae",0.933883414628686,0.181819395790595,0.818180604209405
"Clostridiaceae","Coriobacteriaceae",0.662398080585797,0.410853939627091,0.589146060372909
"Micrococcaceae","Enterobacteriaceae",0.489583398304573,0.505181453388496,0.494818546611504
"Nocardioidaceae","Microbacteriaceae",0.486683923180472,0.506614289583075,0.493385710416925
"Nocardioidaceae","Oxalobacteraceae",0.484381927619495,0.50774898935424,0.49225101064576
"Microbacteriaceae","Oxalobacteraceae",0.482079932058501,0.508881158985818,0.491118841014182
"Micrococcaceae","Comamonadaceae",0.474226165166581,0.512724991995426,0.487275008004574
"Enterobacteriaceae","Comamonadaceae",0.473401111126827,0.513127123076325,0.486872876923675
"Pasteurellaceae","Intrasporangiaceae",0.463571575323306,0.517894016511435,0.482105983488565
"Pasteurellaceae","Phyllobacteriaceae",0.462757644882198,0.518286771545349,0.481713228454651
"Intrasporangiaceae","Phyllobacteriaceae",0.461944170140649,0.518679009532558,0.481320990467442
"Planococcaceae","Corynebacteriaceae",0.453286938526763,0.522835089427459,0.477164910572541
"Bifidobacteriaceae","Peptostreptococcaceae",0.349526482112188,0.570295326075803,0.429704673924197
"Sphingomonadaceae","Rhodospirillaceae",0.336048859738376,0.576173211917052,0.423826788082948
"Sphingomonadaceae","Caulobacteraceae",0.335739886946288,0.576307258783764,0.423692741216236
"Rhodospirillaceae","Caulobacteraceae",0.335429730488287,0.576441787829314,0.423558212170686
"Moraxellaceae","Streptococcaceae",0.201167360501017,0.631993923823237,0.368006076176763
"Staphylococcaceae","Rhodobacteraceae",0.1942470339127,0.634725517876547,0.365274482123453
"Dermabacteraceae","[Weeksellaceae]",0.163177728496358,0.64684707292514,0.35315292707486
"Dermabacteraceae","Alcaligenaceae",0.162758912251366,0.647008921016022,0.352991078983978
"Bacteroidaceae","[Weeksellaceae]",0.162747425273704,0.647013359493564,0.352986640506436
"[Weeksellaceae]","Alcaligenaceae",0.162340096006361,0.647170728631031,0.352829271368969
"Bacteroidaceae","Alcaligenaceae",0.162328609028736,0.647175165998845,0.352824834001155
"Bacteroidaceae","Dermabacteraceae",0.162317122051065,0.647179603336251,0.352820396663749
"Dermabacteraceae","Rhodothermaceae",0.162198753247871,0.647225326587321,0.352774673412679
