"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bdellovibrionaceae","Bacteriovoracaceae",0.511539700613969,0.49419646871767,0.50580353128233
"Elusimicrobiaceae","Eubacteriaceae",0.511539699428968,0.494196469317129,0.505803530682871
"Cytophagaceae","Methylobacteriaceae",0.51145821423965,0.494237688648058,0.505762311351942
"Leuconostocaceae","Erythrobacteraceae",0.502950919088997,0.498522357026745,0.501477642973255
"S24-7","Desulfovibrionaceae",0.425175699552576,0.536108338140447,0.463891661859553
"Clostridiaceae","[Barnesiellaceae]",0.419075027715508,0.53894571725012,0.46105428274988
"Corynebacteriaceae","Staphylococcaceae",0.413504393493261,0.541523594364428,0.458476405635572
"Sphingobacteriaceae","Beijerinckiaceae",0.379016571046886,0.557217833954152,0.442782166045848
"Alcaligenaceae","Xanthobacteraceae",0.375771061406759,0.558672058811447,0.441327941188553
"Rikenellaceae","Beutenbergiaceae",0.374631004704611,0.559181989738309,0.440818010261691
"Rhodobacteraceae","Chitinophagaceae",0.344247177155074,0.57260493485689,0.42739506514311
"Lachnospiraceae","Coriobacteriaceae",0.341045774686814,0.574000969212242,0.425999030787758
"Prevotellaceae","Porphyromonadaceae",0.337132616134716,0.575702780897089,0.424297219102911
"Brucellaceae","Acetobacteraceae",0.333920078518763,0.57709614514448,0.42290385485552
"[Tissierellaceae]","Actinomycetaceae",0.330053340874948,0.578768804932095,0.421231195067905
"p-2534-18B5","Acholeplasmataceae",0.313440219157093,0.585900922017924,0.414099077982076
"[Weeksellaceae]","Xanthomonadaceae",0.302655812022387,0.590484626378034,0.409515373621966
"Micrococcaceae","Sphingobacteriaceae",0.288233050324162,0.596559699307554,0.403440300692446
"Microbacteriaceae","Phyllobacteriaceae",0.284735957964449,0.598023428485687,0.401976571514313
"[Weeksellaceae]","Pseudomonadaceae",0.284525864114742,0.598111250473212,0.401888749526788
"Xanthomonadaceae","Flavobacteriaceae",0.283572880682965,0.598509448261694,0.401490551738306
"Enterobacteriaceae","Chitinophagaceae",0.251149162239372,0.611903112330959,0.388096887669041
"Rhizobiaceae","Acetobacteraceae",0.250407426613409,0.612206081881988,0.387793918118012
"Veillonellaceae","Erysipelotrichaceae",0.245988865745821,0.614007790770679,0.385992209229321
"Enterobacteriaceae","Caulobacteraceae",0.234680409880017,0.618595017002232,0.381404982997768
"Kineosporiaceae","Geodermatophilaceae",0.220178588400143,0.62442830317013,0.37557169682987
"Alcaligenaceae","[Chromatiaceae]",0.218687185491069,0.625025125298548,0.374974874701452
"Ruminococcaceae","Peptostreptococcaceae",0.215786752146455,0.626184177320677,0.373815822679323
"Geodermatophilaceae","Promicromonosporaceae",0.199326777166973,0.632721590762093,0.367278409237907
"[Paraprevotellaceae]","[Barnesiellaceae]",0.187737791836857,0.637284162741843,0.362715837258157
"Peptococcaceae","Dehalobacteriaceae",0.185645216778606,0.638104530316701,0.361895469683299
"Dietziaceae","Nocardioidaceae",0.176905872644216,0.641519340065358,0.358480659934642
"Oxalobacteraceae","Geodermatophilaceae",0.172522956070841,0.643225094321249,0.356774905678751
"Bifidobacteriaceae","Coriobacteriaceae",0.166270054649744,0.64565081326916,0.35434918673084
"Staphylococcaceae","Dietziaceae",0.164462629885908,0.646350280464893,0.353649719535107
"Peptostreptococcaceae","Verrucomicrobiaceae",0.163785353554276,0.646612189200654,0.353387810799346
"Micrococcaceae","Brevibacteriaceae",0.162832084428221,0.646980647149425,0.353019352850575
"Bacteroidaceae","Xanthobacteraceae",0.160854805756936,0.647744237428271,0.352255762571729
"Planococcaceae","Rhodocyclaceae",0.160256547309313,0.647975097010173,0.352024902989827
"Actinomycetaceae","Porphyromonadaceae",0.152838032004561,0.650830994957769,0.349169005042231
"Succinivibrionaceae","Campylobacteraceae",0.1422066163685,0.65490204749699,0.34509795250301
"Peptococcaceae","Acholeplasmataceae",0.140599062104334,0.655515422356967,0.344484577643033
"Pasteurellaceae","Streptomycetaceae",0.130109981898645,0.659503608064943,0.340496391935057
"Pasteurellaceae","Solirubrobacteraceae",0.12989934453366,0.659583450166217,0.340416549833783
"Streptococcaceae","Aeromonadaceae",0.129782506403515,0.659627733496889,0.340372266503111
"Streptomycetaceae","Solirubrobacteraceae",0.129688707168748,0.659663282603804,0.340336717396196
"Haloplasmataceae","Streptomycetaceae",0.129044979158551,0.659907198339831,0.340092801660169
"Spirochaetaceae","Streptomycetaceae",0.128864126961154,0.659975709037403,0.340024290962597
"Haloplasmataceae","Solirubrobacteraceae",0.12883434179359,0.659986991616657,0.340013008383343
"Spirochaetaceae","Solirubrobacteraceae",0.128653488884891,0.660055494301468,0.339944505698532
"Aerococcaceae","Staphylococcaceae",0.128386630702084,0.66015656071038,0.33984343928962
"Haloplasmataceae","Pasteurellaceae",0.127979976418452,0.660310541935212,0.339689458064788
"Spirochaetaceae","Pasteurellaceae",0.127799123446657,0.660379011081266,0.339620988918734
"Spirochaetaceae","Haloplasmataceae",0.127618269785738,0.660447473389922,0.339552526610078
"Peptostreptococcaceae","Veillonellaceae",0.125866643083339,0.661110186321713,0.338889813678287
"Lactobacillaceae","Erysipelotrichaceae",0.125215171547145,0.66135649556531,0.33864350443469
"Ruminococcaceae","Lachnospiraceae",0.124161043958884,0.661754847372165,0.338245152627835
"Bacillaceae","Clostridiaceae",0.119836117537872,0.663386720722584,0.336613279277416
"Bdellovibrionaceae","Cryomorphaceae",0.117903799322964,0.664114523511207,0.335885476488793
"Neisseriaceae","Bdellovibrionaceae",0.117016568656867,0.66444842965543,0.33555157034457
"Bacteriovoracaceae","Cryomorphaceae",0.116803817729071,0.66452847278011,0.33547152721989
"Neisseriaceae","Bacteriovoracaceae",0.115937669300802,0.664854243687742,0.335145756312258
"Intrasporangiaceae","Kineosporiaceae",0.115650111141843,0.664962363167329,0.335037636832671
"[Paraprevotellaceae]","Bacteroidaceae",0.11494267114694,0.66522827993594,0.33477172006406
"Moraxellaceae","Acetobacteraceae",0.113972386421113,0.665592823571171,0.334407176428829
"Corynebacteriaceae","Gordoniaceae",0.112536666361299,0.666131868941391,0.333868131058609
"Bacillaceae","Dehalobacteriaceae",0.10946999279055,0.667281802243044,0.332718197756956
"Rhodobacteraceae","Rhodospirillaceae",0.109287728083811,0.667350085006434,0.332649914993566
"Dermabacteraceae","Dietziaceae",0.101847446899344,0.670131536752545,0.329868463247455
"Succinivibrionaceae","Fusobacteriaceae",0.0994158015139511,0.671038075851903,0.328961924148097
"Cytophagaceae","C111",0.0976516935032003,0.671694985278586,0.328305014721414
"[Acidaminobacteraceae]","Elusimicrobiaceae",0.097129954843995,0.671889144560323,0.328110855439677
"Bifidobacteriaceae","Sphingomonadaceae",0.0969473162878494,0.671957098225828,0.328042901774172
"C111","Methylobacteriaceae",0.0967030304822366,0.672047978018595,0.327952021981405
"[Acidaminobacteraceae]","Eubacteriaceae",0.0961624395137116,0.672249046293964,0.327750953706036
"Carnobacteriaceae","Elusimicrobiaceae",0.0955416375578213,0.672479874212671,0.327520125787329
"Aerococcaceae","Nocardioidaceae",0.0952247370678021,0.672597674294298,0.327402325705702
"Carnobacteriaceae","Eubacteriaceae",0.0945536957725119,0.672847049569027,0.327152950430973
"Aerococcaceae","F16",0.0926246909079092,0.673563400539285,0.326436599460715
"Enterobacteriaceae","Comamonadaceae",0.0925422586826131,0.673593995414666,0.326406004585334
"Porphyromonadaceae","p-2534-18B5",0.0924961900011667,0.673611093287081,0.326388906712919
"Rikenellaceae","Peptococcaceae",0.0903560020554351,0.674404922114513,0.325595077885487
"Carnobacteriaceae","Rhodocyclaceae",0.0898862099432749,0.674579050244197,0.325420949755803
"Corynebacteriaceae","Dehalobacteriaceae",0.0869495054721461,0.675666520751122,0.324333479248878
"Prevotellaceae","Verrucomicrobiaceae",0.0847927723168907,0.676464052142872,0.323535947857128
"Sphingomonadaceae","Rhodospirillaceae",0.0839315473058674,0.676782259184641,0.323217740815359
"Lachnospiraceae","F16",0.0832731411278015,0.677025427466428,0.322974572533572
"Rhodobacteraceae","Aurantimonadaceae",0.0824641838111611,0.677324079074721,0.322675920925279
"Beutenbergiaceae","Geodermatophilaceae",0.0811856073347242,0.677795836762545,0.322204163237455
"Campylobacteraceae","Leuconostocaceae",0.0810274181208478,0.677854181177321,0.322145818822679
"S24-7","[Chromatiaceae]",0.0788725357066614,0.678648459916229,0.321351540083771
"Micrococcaceae","Moraxellaceae",0.0780271058627826,0.678959827286275,0.321040172713725
"Brevibacteriaceae","Dehalobacteriaceae",0.0749856334209556,0.680078806675757,0.319921193324243
"Gordoniaceae","Dehalobacteriaceae",0.0728966011999647,0.680846311145193,0.319153688854807
"Aurantimonadaceae","Acetobacteraceae",0.0719760095723115,0.681184259370285,0.318815740629715
"[Barnesiellaceae]","Erysipelotrichaceae",0.0710896453230309,0.681509484408313,0.318490515591687
"Lachnospiraceae","Veillonellaceae",0.0707721757320912,0.681625932703528,0.318374067296472
"Bacteroidaceae","Deinococcaceae",0.0699459066714012,0.681928916137378,0.318071083862622
"Aerococcaceae","Lachnospiraceae",0.0688541785769282,0.68232903405288,0.31767096594712
