"Node1","Node2","Association","Dissimilarity","Adjecency"
"Carnobacteriaceae","[Acidaminobacteraceae]",0.482153145122283,0.508845190051806,0.491154809948194
"Geodermatophilaceae","Propionibacteriaceae",0.47399464949932,0.512837864485785,0.487162135514215
"[Tissierellaceae]","Actinomycetaceae",0.390693663816246,0.551953954684516,0.448046045315484
"Ruminococcaceae","Lachnospiraceae",0.388023303135919,0.553162135754103,0.446837864245897
"Succinivibrionaceae","[Barnesiellaceae]",0.364469245138172,0.563706818684069,0.436293181315931
"Bdellovibrionaceae","Acetobacteraceae",0.352048898116928,0.569188502116422,0.430811497883578
"Peptostreptococcaceae","F16",0.344753955715799,0.572383631965573,0.427616368034427
"Aeromonadaceae","ACK-M1",0.329255453972024,0.579113350747492,0.420886649252508
"Verrucomicrobiaceae","Elusimicrobiaceae",0.323183288107189,0.581728764929503,0.418271235070497
"Succinivibrionaceae","Peptococcaceae",0.320912407984297,0.58270386647752,0.41729613352248
"Rikenellaceae","[Paraprevotellaceae]",0.303064536521411,0.590311554807539,0.409688445192461
"Helicobacteraceae","Methylophilaceae",0.298578322714959,0.592208441887247,0.407791558112753
"Pseudomonadaceae","Caulobacteraceae",0.281855723819054,0.599226282876905,0.400773717123095
"Halomonadaceae","Cyclobacteriaceae",0.281263104613973,0.599473475387372,0.400526524612628
"Brucellaceae","Phyllobacteriaceae",0.26244572641422,0.607270233745151,0.392729766254849
"Flavobacteriaceae","Sphingobacteriaceae",0.254467459712592,0.610545878819687,0.389454121180313
"Moraxellaceae","Comamonadaceae",0.251383197774028,0.611807486970359,0.388192513029641
"Spirochaetaceae","p-2534-18B5",0.247000305705183,0.613595833710928,0.386404166289072
"Helicobacteraceae","Cryomorphaceae",0.242911946210801,0.615259316788133,0.384740683211867
"Brucellaceae","Bacteriovoracaceae",0.24261776291846,0.615378841479596,0.384621158520404
"p-2534-18B5","Acholeplasmataceae",0.242406611195809,0.61546461669384,0.38453538330616
"[Weeksellaceae]","Rhizobiaceae",0.237656782388427,0.617390969164424,0.382609030835576
"Methylophilaceae","Cryomorphaceae",0.228859281629168,0.620943120732822,0.379056879267178
"Moraxellaceae","Flavobacteriaceae",0.226518148464546,0.621884977924155,0.378115022075845
"Beutenbergiaceae","Haloplasmataceae",0.205025326841841,0.630465967819897,0.369534032180103
"Clostridiaceae","[Tissierellaceae]",0.201621293372057,0.631814334527139,0.368185665472861
"Corynebacteriaceae","Beutenbergiaceae",0.198938561949569,0.632874963184052,0.367125036815948
"Planococcaceae","Kineosporiaceae",0.196487601652062,0.633842408784683,0.366157591215317
"Sphingobacteriaceae","Rhizobiaceae",0.186336867499775,0.637833494142564,0.362166505857436
"Staphylococcaceae","Dermabacteraceae",0.181479079939804,0.639734679402405,0.360265320597595
"Eubacteriaceae","Cyclobacteriaceae",0.176667604912255,0.641612186249507,0.358387813750493
"Aeromonadaceae","Pseudoalteromonadaceae",0.175064528868468,0.642236510614093,0.357763489385907
"Ruminococcaceae","[Paraprevotellaceae]",0.170133482565562,0.644153132971671,0.355846867028329
"[Weeksellaceae]","Xanthomonadaceae",0.157796150373117,0.648923666399555,0.351076333600445
"Intrasporangiaceae","Halomonadaceae",0.155083411519978,0.649967917854421,0.350032082145579
"Corynebacteriaceae","Gordoniaceae",0.153586724698467,0.650543340332346,0.349456659667654
