"Node1","Node2","Association","Dissimilarity","Adjecency"
"Neisseriaceae","Gaiellaceae",0.380310126589198,0.55663716791587,0.44336283208413
"A4b","Polyangiaceae",0.380310126129141,0.556637168122494,0.443362831877506
"Fusobacteriaceae","Peptococcaceae",0.380145698090319,0.556711012065363,0.443288987934637
"Haloplasmataceae","Propionibacteriaceae",0.380035119305542,0.556760667025993,0.443239332974007
"Cyclobacteriaceae","Halomonadaceae",0.368931517804371,0.561724346185756,0.438275653814244
"Brucellaceae","Streptomycetaceae",0.364565625320381,0.563664073132047,0.436335926867953
"Staphylococcaceae","Gordoniaceae",0.34468338977795,0.572414452220614,0.427585547779386
"Rikenellaceae","[Paraprevotellaceae]",0.319332887484327,0.583381141499994,0.416618858500006
"Dermabacteraceae","Dietziaceae",0.274586429350034,0.602251430322073,0.397748569677927
"F16","p-2534-18B5",0.263217056355089,0.606952610853974,0.393047389146026
"Bradyrhizobiaceae","C111",0.261208523151855,0.60777935011324,0.39222064988676
"Chitinophagaceae","Dermatophilaceae",0.260824643702463,0.607937232079734,0.392062767920266
"Ruminococcaceae","Spirochaetaceae",0.247438922066293,0.613417100321514,0.386582899678486
"Deferribacteraceae","[Odoribacteraceae]",0.22325882327565,0.62319386097921,0.37680613902079
"Brevibacteriaceae","Acholeplasmataceae",0.210352844622569,0.628349884768602,0.371650115231398
"Lachnospiraceae","Desulfovibrionaceae",0.207405088928683,0.629521608473973,0.370478391526027
"Coriobacteriaceae","Lactobacillaceae",0.200729587224592,0.632167071578158,0.367832928421842
"Desulfovibrionaceae","Coriobacteriaceae",0.190701001792319,0.636120663949726,0.363879336050274
"Rikenellaceae","Erysipelotrichaceae",0.175565810402904,0.64204134975759,0.35795865024241
"Microbacteriaceae","Erythrobacteraceae",0.166219127186753,0.645670532397618,0.354329467602382
"Eubacteriaceae","Campylobacteraceae",0.161515496940556,0.64748919028021,0.35251080971979
"Peptostreptococcaceae","Rikenellaceae",0.155662788948032,0.649745031166829,0.350254968833171
"Micrococcaceae","Beutenbergiaceae",0.153899541461598,0.650423115571088,0.349576884428912
"Corynebacteriaceae","Staphylococcaceae",0.146840672096787,0.653130663766146,0.346869336233854
"Beijerinckiaceae","Streptomycetaceae",0.14462766948126,0.653977190167493,0.346022809832507
"Pseudomonadaceae","Dehalobacteriaceae",0.1442544045932,0.654119864935625,0.345880135064375
"Brucellaceae","Geodermatophilaceae",0.142544855593361,0.654772916516344,0.345227083483656
"Intrasporangiaceae","Dermabacteraceae",0.138858923763458,0.656178739459205,0.343821260540795
"Rhodobacteraceae","Dermatophilaceae",0.135570432121345,0.657430440380826,0.342569559619174
"[Paraprevotellaceae]","[Barnesiellaceae]",0.135367390525948,0.657507646143394,0.342492353856606
"Moraxellaceae","Flavobacteriaceae",0.134114185661755,0.657983971817796,0.342016028182204
"Brucellaceae","Leuconostocaceae",0.130572194310364,0.659328372546501,0.340671627453499
"Gordoniaceae","Kineosporiaceae",0.128313924921574,0.660184093673282,0.339815906326718
"Brucellaceae","Deinococcaceae",0.126277393946612,0.660954841896702,0.339045158103298
