"Node1","Node2","Association","Dissimilarity","Adjecency"
"Staphylococcus","Macrococcus",0.986129531847479,0.0832780527885986,0.916721947211401
"Lacticigenium","Denitromonas",0.967740188561245,0.127003565774263,0.872996434225737
"Micrococcus","Rothia",0.966055576414695,0.13027744161079,0.86972255838921
"Denitromonas","Acinetobacter",0.949348078196436,0.159141323677359,0.840858676322641
"Alysiella","Actinobacillus",0.948714367307478,0.160133745182773,0.839866254817227
"Bifidobacterium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.943895383994851,0.167488232430145,0.832511767569855
"Lacticigenium","Acinetobacter",0.942354230302768,0.169773039227717,0.830226960772283
"Nocardioides","Atopococcus",0.942119382144559,0.170118514359021,0.829881485640979
"Macrococcus","Enhydrobacter",0.937059265661453,0.177398892807349,0.822601107192651
"Ornithinimicrobium","Atopococcus",0.932905330946822,0.183159314605043,0.816840685394957
"Ornithinimicrobium","Nocardioides",0.929075194862053,0.188314637160719,0.811685362839281
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Alysiella",0.926475031525927,0.191735453782123,0.808264546217877
"Collinsella","Sphingobium",0.924772741028853,0.193942335464883,0.806057664535117
"Collinsella","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.924394997689789,0.194428653122696,0.805571346877304
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Sphingobium",0.924380843613516,0.194446851847084,0.805553148152916
"Actinobacillus","Psychrobacter",0.923343807233205,0.195775627654205,0.804224372345795
"Alysiella","Psychrobacter",0.92293959699314,0.196291114173388,0.803708885826612
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Actinobacillus",0.915509630708324,0.205536334125716,0.794463665874284
"Abiotrophia","Actinobacillus",0.910992308968537,0.210959345646813,0.789040654353187
"Helcobacillus","Alysiella",0.910763084378842,0.211230816432118,0.788769183567882
"Granulicatella","Psychrobacter",0.910228206578376,0.211862919622127,0.788137080377873
"Abiotrophia","[Clostridium]",0.909758012160673,0.212417028318502,0.787582971681498
"Rubricoccus","Alysiella",0.907639940365247,0.214895392731851,0.785104607268149
"Elizabethkingia","Actinobacillus",0.906940292021765,0.215707797701236,0.784292202298764
"Helcobacillus","Actinobacillus",0.90634502562781,0.216396596983628,0.783603403016372
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Psychrobacter",0.906211729373973,0.216550537549583,0.783449462450417
"Helcobacillus","Psychrobacter",0.904691175086968,0.218298906219239,0.781701093780761
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Pusillimonas",0.904052566664297,0.219029031563972,0.780970968436028
"Brevundimonas","Novosphingobium",0.902625836770611,0.220651493570051,0.779348506429949
