"Node1","Node2","Association","Dissimilarity","Adjecency"
"Macrococcus","Staphylococcus",1,0,1
"Lacticigenium","Denitromonas",0.966133535074486,0.130127754390664,0.869872245609336
"Denitromonas","Acinetobacter",0.963782176071233,0.134569357449544,0.865430642550456
"Lacticigenium","Acinetobacter",0.959599907288599,0.14212686711421,0.85787313288579
"Nocardioides","Atopococcus",0.956251829115425,0.147898902775807,0.852101097224193
"Macrococcus","Enhydrobacter",0.947839798344704,0.161493346078555,0.838506653921445
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Collinsella",0.942575045857727,0.169447564370623,0.830552435629377
"Rothia","Micrococcus",0.939289943294016,0.174226944968314,0.825773055031686
"Bifidobacterium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.938904079734215,0.174779747490641,0.825220252509359
"Psychrobacter","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.933423401513225,0.182450813216569,0.817549186783431
"Collinsella","Sphingobium",0.928829982382963,0.188639891880054,0.811360108119946
"Psychrobacter","Actinobacillus",0.928756115531716,0.188737760488308,0.811262239511692
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Actinobacillus",0.928620137076505,0.188917790220369,0.811082209779631
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Sphingobium",0.927799872916312,0.190000167215305,0.809999832784695
"Nocardioides","Ornithinimicrobium",0.927334782175539,0.190611145823718,0.809388854176282
"Ornithinimicrobium","Atopococcus",0.925024187788698,0.193617938491378,0.806382061508622
"Alysiella","Psychrobacter",0.922676686784394,0.196625676369601,0.803374323630399
"Alysiella","Actinobacillus",0.921849185557756,0.197675004037238,0.802324995962762
"Alysiella","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.919681712434244,0.200397464512098,0.799602535487902
"Alysiella","Helcobacillus",0.919048946042615,0.201185305076421,0.798814694923579
"Alysiella","Pusillimonas",0.914972328906932,0.206188834679607,0.793811165320393
"Collinsella","Chloronema",0.914250032773452,0.207062752839022,0.792937247160978
"Psychrobacter","Pusillimonas",0.913227451498876,0.208293721102106,0.791706278897894
"Psychrobacter","[Clostridium]",0.911128284760076,0.210798144251704,0.789201855748296
"Staphylococcus","Enhydrobacter",0.910317561928751,0.211757453317763,0.788242546682237
"Kocuria","Staphylococcus",0.909192804573431,0.213081199811913,0.786918800188087
"Actinobacillus","Elizabethkingia",0.90668422124753,0.216004373511823,0.783995626488177
"Psychrobacter","Alkanindiges",0.905988723876568,0.216807836716563,0.783192163283437
"Alysiella","Alkanindiges",0.904776078018019,0.218201652127087,0.781798347872913
"Novosphingobium","Caldimonas",0.904140408224713,0.218928746142766,0.781071253857234
"Macrococcus","Kocuria",0.903633395080141,0.219506953101558,0.780493046898442
"Novosphingobium","Succinispira",0.902612667618639,0.220666413825666,0.779333586174334
"Actinobacillus","Pusillimonas",0.90128284919509,0.222167899126888,0.777832100873112
"Actinobacillus","Helcobacillus",0.900440497357881,0.22311376318161,0.77688623681839
"Alysiella","Porphyrobacter",0.896581911138715,0.227396227828525,0.772603772171475
"Arthrobacter","Chloronema",0.896414022406846,0.227580730283952,0.772419269716048
"Psychrobacter","Helcobacillus",0.895760426398852,0.22829758386933,0.77170241613067
"Psychrobacter","Granulicatella",0.894356754289625,0.229829551744739,0.770170448255261
"Alysiella","Rubricoccus",0.893102879125102,0.231189447071983,0.768810552928017
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Pusillimonas",0.893063054937056,0.231232507514562,0.768767492485438
"Arthrobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.892730957788602,0.23159128028857,0.76840871971143
"Actinobacillus","Rubricoccus",0.891427767672782,0.232993811427705,0.767006188572295
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Chloronema",0.891233590597653,0.23320206838957,0.76679793161043
