"Node1","Node2","Association","Dissimilarity","Adjecency"
"Staphylococcus","Arthrobacter",1,0,1
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,1
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,1
"Helcococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,1
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinispira",0.997209622955058,0.0373522224569146,0.962647777543085
"Prevotella","Lysobacter",0.991752566626973,0.0642161715342285,0.935783828465772
"Granulicatella","Atopostipes",0.990558563716503,0.0687074824291237,0.931292517570876
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Anaerobiospirillum",0.989470031010216,0.0725602128917214,0.927439787108279
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Helcococcus",0.989328540773324,0.0730460786992575,0.926953921300743
"Prevotella","Anaerobiospirillum",0.986002917103469,0.0836572856855008,0.916342714314499
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.984152754588686,0.0890147330819838,0.910985266918016
"Rothia","Enhydrobacter",0.983530050048766,0.0907467628933224,0.909253237106678
"Pediococcus","Lactobacillus",0.980776966378377,0.0980383435743959,0.901961656425604
"Succinispira","Helcococcus",0.979766666911165,0.10058164118972,0.89941835881028
"Anaerococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.976827131231186,0.107640300930492,0.892359699069508
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Anaerorhabdus",0.976815955215179,0.107666254659528,0.892333745340472
"Millisia","Helcococcus",0.975912555447206,0.109743894027854,0.890256105972146
"Anaerobiospirillum","Lysobacter",0.975216999537662,0.111317115625447,0.888682884374553
"Bifidobacterium","Anaerobiospirillum",0.974972677837416,0.111864476404676,0.888135523595325
"Atopostipes","CF231",0.974959896781344,0.111893036464867,0.888106963535134
"Anaerococcus","Trueperella",0.972335125092709,0.117611383180563,0.882388616819437
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Anaerobiospirillum",0.971704755181756,0.118943778353986,0.881056221646014
"Treponema","Succinivibrio",0.970823014144065,0.120782833747049,0.879217166252951
"Trueperella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.970288858872157,0.121883430227088,0.878116569772912
"Atopococcus","Anaerococcus",0.969091387814375,0.124315349385394,0.875684650614606
"Ornithinimicrobium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.969003490000846,0.124491987692289,0.875508012307711
"Millisia","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.968627832829107,0.125244096010338,0.874755903989662
"Granulicatella","CF231",0.967897797283786,0.126692941232363,0.873307058767637
"Succinispira","Anaerobiospirillum",0.966996108097385,0.128459900168525,0.871540099831475
"Bifidobacterium","Prevotella",0.96683274234213,0.128777439130211,0.871222560869789
"Trueperella","ph2",0.966614677100968,0.129200083008935,0.870799916991065
"[Clostridium]","Lactobacillus",0.96606619403395,0.130257065002344,0.869742934997656
"Arthrobacter","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.96438457928133,0.133445533306045,0.866554466693955
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Roseburia",0.964293562040437,0.133615938344876,0.866384061655124
"Roseburia","Succinivibrio",0.962302835505899,0.137290138928659,0.862709861071341
"Trueperella","Aeriscardovia",0.961443014381984,0.138847012243721,0.861152987756279
"Roseburia","Treponema",0.96085464805336,0.139902380156023,0.860097619843977
