"Node1","Node2","Association","Dissimilarity","Adjecency"
"Kocuria","Lactococcus",0.920867890337932,0.198912178689577,0.801087821310423
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","[Clostridium]",0.898835246763904,0.224905261428113,0.775094738571887
"Macrococcus","Granulicatella",0.895464359187242,0.228621565925831,0.771378434074169
"Nonlabens","Snodgrassella",0.880556647498996,0.244380187925499,0.755619812074501
"Elizabethkingia","Alkanindiges",0.87319527642841,0.251798256121433,0.748201743878567
"Rhizobium","Pseudoxanthomonas",0.87310973685948,0.251883170478419,0.748116829521581
"Nonlabens","Pedobacter",0.866897137124304,0.257975641171503,0.742024358828497
"Micrococcus","Macrococcus",0.863623095776724,0.261129186633049,0.738870813366951
"Pedobacter","Snodgrassella",0.861494423749242,0.263159244803178,0.736840755196822
"Nonlabens","Salinarimonas",0.860561623094396,0.264043913871921,0.735956086128079
"Elizabethkingia","Pedobacter",0.859189954338562,0.265339448312381,0.734660551687619
"Nonlabens","Mucilaginibacter",0.858395557652474,0.266086867721357,0.733913132278643
"Micrococcus","Granulicatella",0.856122498979441,0.268214001331548,0.731785998668452
"Snodgrassella","Bdellovibrio",0.852072542675955,0.271962733958207,0.728037266041793
"Nonlabens","Pseudoxanthomonas",0.850892156390554,0.273045640515873,0.726954359484127
"Mucilaginibacter","Snodgrassella",0.850564403784209,0.273345565370824,0.726654434629176
"Mucilaginibacter","Pedobacter",0.849331409734546,0.274470936772415,0.725529063227585
"Nonlabens","Bdellovibrio",0.848042186014654,0.275642716197387,0.724357283802613
"Corynebacterium","Macrococcus",0.8456761114135,0.277780388604469,0.722219611395531
"Millisia","Granulicatella",0.844974496274583,0.278411120220993,0.721588879779007
"Elizabethkingia","Nonlabens",0.840548745418816,0.28235726888216,0.71764273111784
"Corynebacterium","Atopococcus",0.840540548303121,0.282364526540497,0.717635473459503
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.839680479173842,0.283124990795724,0.716875009204276
"Salinarimonas","Snodgrassella",0.839270728287613,0.283486570856881,0.716513429143119
"Pedobacter","Bdellovibrio",0.836146119324232,0.286228825134514,0.713771174865486
"Mucilaginibacter","Bdellovibrio",0.832771813599974,0.289161016044717,0.710838983955283
"Snodgrassella","Pseudoxanthomonas",0.832470535165977,0.289421375190243,0.710578624809757
"Pedobacter","Salinarimonas",0.831248221271466,0.290475281847298,0.709524718152702
"Elizabethkingia","Snodgrassella",0.83116233965245,0.290549187184847,0.709450812815153
"Terrimonas","Nonlabens",0.825052271325874,0.295759808522157,0.704240191477843
"Terrimonas","Pedobacter",0.822118182200154,0.298229624450561,0.701770375549439
"Nonlabens","Peredibacter",0.82197192233094,0.29835220601586,0.70164779398414
"Corynebacterium","Millisia",0.821123933802993,0.299061921846469,0.700938078153531
"Corynebacterium","Granulicatella",0.820923364690917,0.299229540076747,0.700770459923253
"Mucilaginibacter","Salinarimonas",0.81847949021838,0.301264426859213,0.698735573140787
"Pedobacter","Alkanindiges",0.817623613224617,0.301973828978094,0.698026171021906
"Terrimonas","Snodgrassella",0.81741814384362,0.302143886382283,0.697856113617717
"Pedobacter","Pseudoxanthomonas",0.816774121073274,0.302676294848743,0.697323705151257
"Nonlabens","Paracoccus",0.811421600281824,0.30706546510327,0.69293453489673
"Elizabethkingia","Acinetobacter",0.811219006378044,0.307230364402639,0.692769635597361
"Elizabethkingia","Mucilaginibacter",0.811167626914403,0.307272170140412,0.692727829859588
"Paracoccus","Snodgrassella",0.810954878449249,0.307445215892808,0.692554784107192
"Mucilaginibacter","Pseudoxanthomonas",0.809858169189414,0.308335718666023,0.691664281333977
"Salinarimonas","Bdellovibrio",0.807522091086315,0.310224039134369,0.689775960865631
"Mucilaginibacter","Peredibacter",0.807243268347656,0.310448652479233,0.689551347520767
"Rhizobium","Snodgrassella",0.805670008269146,0.311713002400328,0.688286997599672
"Pedobacter","Peredibacter",0.804986286699998,0.312260879153955,0.687739120846045
"Atopococcus","Granulicatella",0.804362147261064,0.312760173886427,0.687239826113573
"Pedobacter","Paracoccus",0.802589973381297,0.314173540116528,0.685826459883472
"Terrimonas","Salinarimonas",0.801726300483586,0.314860047891451,0.685139952108549
"Snodgrassella","Peredibacter",0.801407673342495,0.315112937418876,0.684887062581124
"Nonlabens","Persicivirga",0.801349542102633,0.315159053413802,0.684840946586198
"Mucilaginibacter","Paracoccus",0.801180088675788,0.315293443734731,0.684706556265269
"Elizabethkingia","Bdellovibrio",0.800659897008445,0.315705640582771,0.684294359417229
"Corynebacterium","Micrococcus",0.800464504555871,0.315860329452853,0.684139670547147
"Salinarimonas","Pseudoxanthomonas",0.800186442469238,0.316080335935947,0.683919664064053
"Terrimonas","Bdellovibrio",0.796981019372339,0.318605540306239,0.681394459693761
"Persicivirga","Salinarimonas",0.796845241307264,0.318712063383813,0.681287936616187
"Nonlabens","Lactococcus",0.796029614340199,0.319351206088063,0.680648793911937
"Peredibacter","Bdellovibrio",0.795419632728143,0.319828365902602,0.680171634097398
"Bdellovibrio","Pseudoxanthomonas",0.795350800169037,0.319882165672739,0.680117834327261
"Nonlabens","Gluconacetobacter",0.795266439141108,0.319948090210656,0.680051909789344
"Nonlabens","Rhizobium",0.794813956382628,0.320301454584094,0.679698545415906
"Dietzia","Nocardioides",0.794098457240891,0.320859426197135,0.679140573802865
"Millisia","Macrococcus",0.792918719623028,0.321777314595802,0.678222685404198
"Gluconacetobacter","Snodgrassella",0.79268612320827,0.321957976133322,0.678042023866678
