"Node1","Node2","Association","Dissimilarity","Adjecency"
"Elizabethkingia","Staphylococcus",1,0,1
"Alkanindiges","Staphylococcus",1,0,1
"Nonlabens","Staphylococcus",1,0,1
"Lactococcus","Staphylococcus",1,0,1
"Streptococcus","Staphylococcus",1,0,1
"Bdellovibrio","Staphylococcus",1,0,1
"Pedobacter","Staphylococcus",1,0,1
"Rhizobium","Staphylococcus",1,0,1
"Ochrobactrum","Staphylococcus",1,0,1
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Staphylococcus",1,0,1
"Kocuria","Staphylococcus",1,0,1
"Lactobacillus","Staphylococcus",1,0,1
"Snodgrassella","Staphylococcus",1,0,1
"Peredibacter","Staphylococcus",1,0,1
"Lacticigenium","Staphylococcus",1,0,1
"Pseudoxanthomonas","Staphylococcus",1,0,1
"Mucilaginibacter","Staphylococcus",1,0,1
"Enhydrobacter","Staphylococcus",1,0,1
"Succinivibrio","Staphylococcus",1,0,1
"Salinarimonas","Staphylococcus",1,0,1
"Staphylococcus","Bordetella",1,0,1
"Staphylococcus","Macellibacteroides",1,0,1
"Staphylococcus","Leifsonia",1,0,1
"Macrococcus","Millisia",0.989625675931645,0.072021955223234,0.927978044776766
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.98744991763639,0.0792151575255968,0.920784842474403
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.982893969514482,0.0924825131728094,0.907517486827191
"Atopococcus","Macrococcus",0.977680532152788,0.105639641818807,0.894360358181193
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.970827297834415,0.120773966908406,0.879226033091594
"Succinispira","Papillibacter",0.964431832164913,0.133356979260718,0.866643020739282
"Succinivibrio","Akkermansia",0.962381724505291,0.137146409895973,0.862853590104027
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.962089326442934,0.137678381667322,0.862321618332678
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.959988189433038,0.141442233026352,0.858557766973648
"Staphylococcus","Gluconacetobacter",0.956908505781426,0.146784696441036,0.853215303558964
"Micrococcus","Millisia",0.953703817574153,0.15214496775419,0.84785503224581
"Oscillospira","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.95122125757355,0.156170967894885,0.843829032105115
"[Clostridium]","Desulfovibrio",0.950574817610466,0.157202389278176,0.842797610721824
"Atopococcus","Millisia",0.948418743585014,0.160594608276534,0.839405391723466
"Nonlabens","Pedobacter",0.945607944767083,0.164912181528408,0.835087818471592
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Prevotella",0.944618830630355,0.166404881793842,0.833595118206158
"Elizabethkingia","Lactococcus",0.942731289696165,0.169216887904007,0.830783112095993
"Lactonifactor","Arthrobacter",0.941938188726196,0.170384581570347,0.829615418429653
"Nonlabens","Bdellovibrio",0.94150117387891,0.171024597823076,0.828975402176924
"Alkanindiges","Lactococcus",0.939814291428718,0.173472920900182,0.826527079099818
"Macrococcus","Micrococcus",0.939080069031356,0.174527835843805,0.825472164156195
"[Clostridium]","Lactonifactor",0.936990946919749,0.177495145117058,0.822504854882942
"Alkanindiges","Pedobacter",0.936517771918284,0.178160360464548,0.821839639535452
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Bifidobacterium",0.936077606503552,0.178776946914931,0.821223053085069
"Alkanindiges","Nonlabens",0.935670936834005,0.179344728339022,0.820655271660978
"Bdellovibrio","Pedobacter",0.935508826987616,0.179570561357344,0.820429438642656
"Bdellovibrio","Pseudoxanthomonas",0.93486856506155,0.180459739191945,0.819540260808055
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.93486512304096,0.180464507534085,0.819535492465915
"Bdellovibrio","Kocuria",0.933746855209456,0.182007066882778,0.817992933117222
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.933236420186921,0.182706841433318,0.817293158566682
"Salinarimonas","Bordetella",0.932788491594337,0.183318723001312,0.816681276998688
"Pedobacter","Snodgrassella",0.930523796286859,0.186381602784638,0.813618397215362
"Snodgrassella","Pseudoxanthomonas",0.930517403264311,0.186390177766545,0.813609822233455
"Nonlabens","Peredibacter",0.929780734563664,0.187375646011343,0.812624353988657
"Nonlabens","Kocuria",0.929212015075304,0.188132911693696,0.811867088306303
"Rhizobium","Brevundimonas",0.927769470146311,0.190040166614441,0.809959833385559
"Dietzia","Anaerobiospirillum",0.925399729959079,0.193132428712686,0.806867571287314
"Alkanindiges","Peredibacter",0.925118249509732,0.193496447629236,0.806503552370764
"Pedobacter","Pseudoxanthomonas",0.925015708661896,0.193628886453061,0.806371113546939
"Alkanindiges","Bdellovibrio",0.92472254689967,0.194007027063879,0.805992972936121
"Dietzia","Ornithinimicrobium",0.924479681742551,0.194319734275046,0.805680265724954
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.923558252575636,0.195501595165313,0.804498404834687
"Nonlabens","Snodgrassella",0.923507015211082,0.195567104581673,0.804432895418327
