"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Succinispira",0.754489518869056,0.350364439641742,0.649635560358258
"Millisia","Atopococcus",0.738374433236708,0.361680499034225,0.638319500965775
"GW-34","ph2",0.736432998893542,0.363019972664355,0.636980027335645
"Methylotenera","Helicobacter",0.721876917062093,0.372909562050846,0.627090437949154
"Trueperella","ph2",0.719359284494897,0.374593590111405,0.625406409888595
"Micrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.717682415048723,0.375711049179604,0.624288950820396
"Barnesiella","Anaerobiospirillum",0.704390846777896,0.384453607878834,0.615546392121166
"Nonlabens","Snodgrassella",0.695703854665408,0.390061626755691,0.609938373244309
"Pelomonas","Helicobacter",0.69373613322346,0.391320755120745,0.608679244879255
"Trueperella","GW-34",0.691898163280531,0.392493208042808,0.607506791957192
"Nonlabens","Mucilaginibacter",0.690141490502873,0.393610536887116,0.606389463112884
"Brevundimonas","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.682679844070645,0.398321576072246,0.601678423927754
"Atopococcus","Granulicatella",0.677245819772064,0.401717674634772,0.598282325365229
"Roseburia","Treponema",0.673726326790363,0.403902013618178,0.596097986381822
"Elizabethkingia","Rhizobium",0.672276973980406,0.404798113891106,0.595201886108894
"Gulbenkiania","Helicobacter",0.670594301077127,0.405835988376384,0.594164011623616
"Nonlabens","Bdellovibrio",0.664738479990715,0.409427356199659,0.590572643800341
"Kocuria","Enhydrobacter",0.663775641267132,0.41001485261687,0.58998514738313
"Pelomonas","Methylotenera",0.66300829728207,0.41048246169473,0.58951753830527
"Pedobacter","Pseudoxanthomonas",0.656833250967176,0.414226235910296,0.585773764089704
"Atopococcus","GW-34",0.654583274641486,0.415581956633414,0.584418043366586
"Micrococcus","Succinispira",0.652620420854156,0.416761070126424,0.583238929873576
"Methylotenera","Gulbenkiania",0.647353739321398,0.419908478527525,0.580091521472475
"Aeriscardovia","ph2",0.638211014397763,0.425316932182483,0.574683067817517
"[Clostridium]","Succinispira",0.637435458963362,0.425772557263052,0.574227442736948
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Succinispira",0.635196819121792,0.427084992055567,0.572915007944433
"Peredibacter","Pseudoxanthomonas",0.631498877275404,0.429244174523427,0.570755825476573
"Pedobacter","Lactococcus",0.631300405193744,0.429359752891591,0.570640247108409
"Mucilaginibacter","Snodgrassella",0.630097926723582,0.430059340833575,0.569940659166425
"Aeriscardovia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.62857900541908,0.430941408187308,0.569058591812692
"Pelomonas","Gulbenkiania",0.627757731598623,0.431417586800409,0.568582413199591
