Node1,Node2,Association,Dissimilarity,Adjecency
Nonlabens,Snodgrassella,0.752403525,0.351849737,0.648150263
Nonlabens,Bdellovibrio,0.725366676,0.370562629,0.629437371
Nonlabens,Mucilaginibacter,0.716726053,0.376346879,0.623653121
ph2,GW-34,0.714243431,0.37799244,0.62200756
Helicobacter,Methylotenera,0.711060864,0.380091526,0.619908474
Succinispira,Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,0.705655995,0.383630033,0.616369967
Nonlabens,Peredibacter,0.704568808,0.384337867,0.615662133
Bdellovibrio,Snodgrassella,0.704529592,0.384363375,0.615636625
Snodgrassella,Mucilaginibacter,0.700404973,0.387036837,0.612963163
Helicobacter,Pelomonas,0.70034885,0.387073087,0.612926913
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,Brevundimonas,0.695077468,0.390462887,0.609537113
Atopococcus,Millisia,0.694881378,0.390588416,0.609411584
Trueperella,ph2,0.688734565,0.394503128,0.605496872
Bdellovibrio,Mucilaginibacter,0.684898088,0.39692689,0.60307311
Pedobacter,Pseudoxanthomonas,0.682875046,0.398199042,0.601800958
Anaerobiospirillum,Barnesiella,0.681544549,0.399033489,0.600966511
Pedobacter,Peredibacter,0.677501074,0.401558791,0.598441209
Lactococcus,Pedobacter,0.675646082,0.402712005,0.597287995
Lactococcus,Nonlabens,0.670797289,0.405710926,0.594289074
Enhydrobacter,Kocuria,0.665260091,0.409108732,0.590891268
Helicobacter,Gulbenkiania,0.664873885,0.409344668,0.590655332
Pseudoxanthomonas,Peredibacter,0.664005171,0.409874877,0.590125123
Nonlabens,Ochrobactrum,0.662800618,0.410608927,0.589391073
Lactococcus,Peredibacter,0.658087331,0.413468662,0.586531338
Nonlabens,Pedobacter,0.656573971,0.414382691,0.585617309
Peredibacter,Mucilaginibacter,0.655559938,0.414994013,0.585005987
Methylotenera,Pelomonas,0.653468028,0.416252311,0.583747689
Lactococcus,Pseudoxanthomonas,0.650441777,0.418065918,0.581934082
Trueperella,GW-34,0.650113429,0.418262221,0.581737779
Elizabethkingia,Rhizobium,0.650032168,0.418310789,0.581689211
Snodgrassella,Peredibacter,0.646712675,0.420289974,0.579710026
Bdellovibrio,Ochrobactrum,0.642440045,0.422823814,0.577176186
Micrococcus,Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,0.637250346,0.425881236,0.574118764
Bdellovibrio,Peredibacter,0.636106288,0.42655229,0.57344771
Nonlabens,Pseudoxanthomonas,0.632909218,0.428421978,0.571578022
Alkanindiges,Bdellovibrio,0.630516905,0.429815714,0.570184286
Atopococcus,Granulicatella,0.624233562,0.433454979,0.566545021
Elizabethkingia,Alkanindiges,0.623504998,0.433874983,0.566125017
Lactococcus,Snodgrassella,0.621824334,0.434842308,0.565157692
Gulbenkiania,Methylotenera,0.621718073,0.434903396,0.565096604
Roseburia,Treponema,0.620279656,0.435729471,0.564270529
Aeromonas,Gulbenkiania,0.618024925,0.437021209,0.562978791
Gulbenkiania,Pelomonas,0.612904142,0.439940824,0.560059176
Snodgrassella,Ochrobactrum,0.611943584,0.440486331,0.559513669
Ochrobactrum,Mucilaginibacter,0.611874379,0.440525607,0.559474393
Pedobacter,Snodgrassella,0.608049182,0.442691099,0.557308901
Acinetobacter,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,0.606966792,0.443301933,0.556698067
Pseudoxanthomonas,Snodgrassella,0.604358149,0.444770644,0.555229356
Ochrobactrum,Peredibacter,0.602681958,0.445711814,0.554288186
Rhizobium,Brevundimonas,0.601678257,0.446274435,0.553725565
Helicobacter,Sphingobium,0.601328739,0.44647019,0.55352981
Enhydrobacter,Rothia,0.599690196,0.447386748,0.552613252
Bdellovibrio,Pedobacter,0.599253113,0.447630923,0.552369077
Lactococcus,Bdellovibrio,0.598716812,0.447930345,0.552069655
ph2,Aeriscardovia,0.59656331,0.449130654,0.550869346
Pedobacter,Mucilaginibacter,0.595821662,0.449543289,0.550456711
Rheinheimera,Aeromonas,0.595222481,0.449876382,0.550123618
Alkanindiges,Rhizobium,0.594186918,0.450451486,0.549548514
Lactococcus,Mucilaginibacter,0.593851021,0.45063787,0.54936213
Atopococcus,GW-34,0.590533593,0.452474533,0.547525467
Rheinheimera,Gulbenkiania,0.585473263,0.455261868,0.544738132
Pseudoxanthomonas,Mucilaginibacter,0.584675174,0.455699915,0.544300085
Alkanindiges,Nonlabens,0.583937426,0.456104469,0.543895531
GW-34,Petrimonas,0.582313922,0.456993478,0.543006522
Roseburia,Atopostipes,0.579007881,0.458798496,0.541201504
CF231,Oscillospira,0.576277701,0.460283771,0.539716229
Alkanindiges,Pedobacter,0.576213585,0.460318593,0.539681407
Granulicatella,Anaerobiospirillum,0.575556526,0.460675305,0.539324695
Helicobacter,Deinobacterium,0.573010656,0.462054836,0.537945164
Micrococcus,Succinispira,0.571577372,0.462829681,0.537170319
Pedobacter,Ochrobactrum,0.571049671,0.463114634,0.536885366
GW-34,Prevotella,0.566188184,0.465731584,0.534268416
Bdellovibrio,Pseudoxanthomonas,0.565706705,0.465989965,0.534010035
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus,Aeriscardovia,0.565676634,0.466006098,0.533993902
Millisia,GW-34,0.564281158,0.466754133,0.533245867
Enhydrobacter,Aeromonas,0.562870957,0.467508846,0.532491154
ph2,Helcococcus,0.562827164,0.467532264,0.532467736
Acinetobacter,Brevundimonas,0.562550514,0.467680172,0.532319828
Atopococcus,Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,0.558235052,0.469981355,0.530018645
Anaerobiospirillum,Prevotella,0.555822011,0.47126319,0.52873681
Enhydrobacter,Gulbenkiania,0.554955815,0.471722474,0.528277526
Enhydrobacter,Rheinheimera,0.554155499,0.472146429,0.527853571
Succinispira,[Clostridium],0.553735262,0.472368891,0.527631109
Atopostipes,Anaerobiospirillum,0.553432259,0.472529227,0.527470773
Alkanindiges,Brevundimonas,0.552609343,0.472964405,0.527035595
Helicobacter,Aeromonas,0.551797981,0.473393082,0.526606918
Roseburia,Prevotella,0.551545377,0.473526463,0.526473537
Corynebacterium,Millisia,0.54998651,0.474348759,0.525651241
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium,0.549304629,0.474708,0.525292
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,Novosphingobium,0.549235704,0.474744298,0.525255702
Granulicatella,Barnesiella,0.548328737,0.475221666,0.524778334
Succinispira,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium,0.548141916,0.475319937,0.524680063
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,[Clostridium],0.547706456,0.475548916,0.524451084
Alkanindiges,Snodgrassella,0.544538021,0.477211682,0.522788318
Millisia,Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium,0.543228051,0.477897452,0.522102548
Helicobacter,Bergeyella,0.543086651,0.477971416,0.522028584
Granulicatella,Atopostipes,0.542253529,0.478406977,0.521593023
Elizabethkingia,Acinetobacter,0.539405685,0.47989286,0.52010714
Aeromonas,Methylotenera,0.536519503,0.481394068,0.518605932
Sphingobium,Methylotenera,0.534573532,0.482403601,0.517596399
GW-34,Aeriscardovia,0.533440563,0.482990392,0.517009608
Lactococcus,Ochrobactrum,0.531593992,0.483945249,0.516054751
Micrococcus,Ornithinimicrobium,0.52965686,0.484944915,0.515055085
Enhydrobacter,Brevundimonas,0.529555941,0.484996938,0.515003062
Alkanindiges,Peredibacter,0.529414208,0.485069991,0.514930009
ph2,Serinibacter,0.528964745,0.485301584,0.514698416
Sphingobium,Pelomonas,0.52886494,0.485352995,0.514647005
Aeromonas,Pelomonas,0.528102035,0.4857458,0.5142542
Acinetobacter,Rhizobium,0.528091442,0.485751252,0.514248748
Brevundimonas,Gulbenkiania,0.527692912,0.485956319,0.514043681
Succinispira,Lactonifactor,0.527061961,0.486280803,0.513719197
Granulicatella,Treponema,0.52700114,0.486312071,0.513687929
Atopococcus,[Clostridium],0.526808471,0.486411107,0.513588893
Pelomonas,Deinobacterium,0.526631368,0.486502123,0.513497877
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,Lactonifactor,0.526215819,0.486715616,0.513284384
