"Node1","Node2","Association","Dissimilarity","Adjecency"
"Atopococcus","Granulicatella",0.863526770122736,0.261221390660551,0.738778609339449
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.83551191267878,0.286782223404119,0.713217776595881
"Millisia","Atopostipes",0.829012309529476,0.292393305729221,0.707606694270779
"Atopococcus","Atopostipes",0.811050838019137,0.307367176176037,0.692632823823963
"Atopostipes","Papillibacter",0.810702215682913,0.307650600777154,0.692349399222846
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.80786027365786,0.309951388399972,0.690048611600028
"Granulicatella","Papillibacter",0.798059965330107,0.317757796654852,0.682242203345148
"Gluconacetobacter","Snodgrassella",0.796102920467659,0.319293814168347,0.680706185831653
"Lactobacillus","Pediococcus",0.792882326537292,0.321805588409142,0.678194411590858
"Micrococcus","Granulicatella",0.790625252336783,0.323554282666153,0.676445717333847
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.782717699471163,0.329607570095741,0.670392429904259
"Nonlabens","Lactococcus",0.782573922367337,0.329716603792304,0.670283396207696
"Atopostipes","Granulicatella",0.77805804368998,0.333123067581652,0.666876932418348
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.776989678058772,0.333923884995689,0.666076115004311
"Atopococcus","Papillibacter",0.7720928990961,0.33757006747037,0.66242993252963
"Millisia","Atopococcus",0.769202157545578,0.33970416722085,0.66029583277915
"Millisia","GW-34",0.766397808073786,0.341761753218681,0.658238246781319
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","[Clostridium]",0.761246079750615,0.345509710608389,0.654490289391611
"Deinococcus","Enhydrobacter",0.759459493014697,0.346800019453073,0.653199980546927
"Micrococcus","Atopococcus",0.75225169098928,0.351957603278236,0.648042396721764
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.750887915950382,0.352924980732179,0.647075019267821
"Granulicatella","ph2",0.748894029748205,0.354334566654027,0.645665433345973
"Millisia","Granulicatella",0.746755917125882,0.355839909842978,0.644160090157022
"Millisia","ph2",0.742911872164426,0.358530422583338,0.641469577416662
"Corynebacterium","Atopococcus",0.742292605127186,0.35896197213132,0.64103802786868
"Collinsella","Butyricicoccus",0.739676237563804,0.360779546562853,0.639220453437147
"Granulicatella","[Clostridium]",0.738116641241372,0.361858645577681,0.638141354422319
"Lactococcus","Salinarimonas",0.736027935217461,0.363298819694297,0.636701180305703
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.734711135634801,0.364203833289271,0.635796166710729
"Millisia","Papillibacter",0.734272249723896,0.364504972720609,0.635495027279391
"Prevotella","Treponema",0.732162012138944,0.365949441768297,0.634050558231703
"Nonlabens","Salinarimonas",0.731932463768808,0.366106225180064,0.633893774819936
"Rothia","Enhydrobacter",0.730395471352387,0.367154278640202,0.632845721359798
"Collinsella","Dorea",0.730124443594325,0.367338778517648,0.632661221482352
"[Prevotella]","Butyricicoccus",0.728931555567513,0.368149727986105,0.631850272013895
"Collinsella","[Prevotella]",0.728604771641605,0.368371570807517,0.631628429192483
"Atopococcus","ph2",0.727009761696327,0.369452458581394,0.630547541418606
"Dorea","Butyricicoccus",0.725598220771779,0.370406384413269,0.629593615586731
"Deinococcus","Moraxella",0.724981559635517,0.37082235663757,0.62917764336243
"Dorea","Succinivibrio",0.722629096161778,0.372404956893851,0.627595043106149
