"Node1","Node2","Association","Dissimilarity","Adjecency"
"Kocuria","Lactococcus",0.902298535937335,0.221022017073712,0.778977982926288
"Marmoricola","Rhodocytophaga",0.897993263531533,0.225839253085538,0.774160746914462
"Rhizobium","Pseudoxanthomonas",0.891761881045217,0.232635034931095,0.767364965068905
"Lactobacillus","Sharpea",0.848620952892149,0.275117290539736,0.724882709460264
"Eggerthella","[Prevotella]",0.74958840161074,0.35384431491071,0.64615568508929
"Pediococcus","Butyrivibrio",0.738512731181185,0.361584892396527,0.638415107603473
"Devriesea","Roseburia",0.729910956674438,0.367484042732172,0.632515957267828
"Beutenbergia","Oceaniovalibus",0.692972854287921,0.391808081662489,0.608191918337511
"Bordetella","Pantoea",0.648437518661889,0.41926273465341,0.58073726534659
"Guggenheimella","Helcococcus",0.643575193978506,0.422152108855028,0.577847891144972
"Brooklawnia","Escherichia",0.578212834967245,0.459231512982698,0.540768487017302
"Aeriscardovia","Macellibacteroides",0.573560380391262,0.461757306173242,0.538242693826758
"YRC22","Rheinheimera",0.547327511110022,0.475748089270981,0.524251910729019
"Enterococcus","Prevotella",0.521477967159138,0.489143145122602,0.510856854877398
"Elizabethkingia","Acinetobacter",0.503950908522448,0.498020627824567,0.501979372175433
"Kribbia","Kurthia",0.503235340663594,0.49837970431008,0.50162029568992
"Trueperella","Lactonifactor",0.484099176189413,0.50788818838923,0.49211181161077
"Butyricicoccus","Faecalibacterium",0.454612794646367,0.522200730253048,0.477799269746952
"Caldimonas","Gulbenkiania",0.452931568164805,0.523004986513128,0.476995013486872
"Butyricicoccus","Erythrobacter",0.452849098363117,0.523044406163035,0.476955593836965
"Faecalibacterium","Erythrobacter",0.451085402079883,0.52388672340503,0.47611327659497
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.448712674773801,0.525017773616379,0.474982226383621
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinispira",0.444465169501477,0.527036445845315,0.472963554154685
"Ilumatobacter","Blastococcus",0.428882683024271,0.534376888055485,0.465623111944515
"Elizabethkingia","Alkanindiges",0.419303588511394,0.53883968464127,0.46116031535873
"Serinibacter","Brevibacterium",0.414731953804955,0.540956581527134,0.459043418472866
"Ochrobactrum","Bordetella",0.414487827051907,0.541069391551626,0.458930608448374
"Weissella","Sporobacter",0.409622169820075,0.543312907163048,0.456687092836952
"Flavobacterium","Atopostipes",0.392546671088562,0.551114021283907,0.448885978716093
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Atopostipes",0.390204757999118,0.552175353488764,0.447824646511236
"Staphylococcus","Lysobacter",0.38856459426299,0.552917446702946,0.447082553297054
"Selenomonas","Massilia",0.378455299434632,0.557469595837014,0.442530404162986
"Alistipes","Anaerorhabdus",0.368491374358231,0.561920201470711,0.438079798529289
"Corynebacterium","Macrococcus",0.367407005609211,0.562402433489929,0.437597566510071
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.36458898376388,0.56365371294622,0.43634628705378
"Brevundimonas","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.363986780437061,0.563920747784181,0.436079252215819
"Flavobacterium","Nitrobacteria",0.363365395855323,0.564196155669585,0.435803844330415
"rc4-4","Oscillospira",0.358554616682626,0.56632383991731,0.43367616008269
"Chelatococcus","Psychrobacter",0.358492002313878,0.56635147995133,0.43364852004867
"Defluviitalea","Psychrobacter",0.357935249668657,0.566597189514448,0.433402810485552
"Alkalibacterium","Oscillospira",0.357868476849414,0.566626650957483,0.433373349042517
"Defluviitalea","Chelatococcus",0.357378497061801,0.566842792552838,0.433157207447162
"Alkalibacterium","rc4-4",0.357182336939317,0.566929300292675,0.433070699707325
"Olsenella","Arcobacter",0.353567638908392,0.568521046704345,0.431478953295655
"CF231","Campylobacter",0.349543295885863,0.570287955384881,0.429712044615119
"Brevundimonas","Aurantimonas",0.339887249542413,0.574505330896758,0.425494669103242
"Barnesiella","Succinispira",0.332220732863602,0.577831838486076,0.422168161513924
"Olsenella","Akkermansia",0.332061733429745,0.577900625787105,0.422099374212895
"Atopococcus","Granulicatella",0.324970139564945,0.580960351674301,0.419039648325699
"Blastococcus","Brooklawnia",0.318520406837325,0.583729215117196,0.416270784882804
"Trueperella","ph2",0.316421538594197,0.584627428968999,0.415372571031001
"Kribbia","Ornithinimicrobium",0.314350937382942,0.58551219569581,0.41448780430419
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","[Clostridium]",0.305330727658559,0.58935102966799,0.41064897033201
"Papillibacter","Desulfovibrio",0.304601478136973,0.589660292822497,0.410339707177503
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus","Sphingobium",0.302088068725067,0.590724949225498,0.409275050774502
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Papillibacter",0.290153564657692,0.595754326607163,0.404245673392837
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Enhydrobacter",0.289521664487337,0.596019435720289,0.403980564279711
"Amorphomonas","Oceanibaculum",0.276220285617144,0.601572819525141,0.398427180474859
"Deinococcus","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.274212503547857,0.602406630297237,0.397593369702763
"Nitrobacteria","Massilia",0.271200299726099,0.603655406781841,0.396344593218159
"Caulobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.27045479395687,0.603964074280553,0.396035925719447
"Serinibacter","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.266605904119654,0.605555156810817,0.394444843189183
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.262807126168596,0.607121435065261,0.392878564934739
"Macellibacteroides","Weissella",0.262792420817758,0.60712749039318,0.39287250960682
"Aeriscardovia","Weissella",0.261205222674401,0.607780707708627,0.392219292291373
"Brevibacterium","Acinetobacter",0.253580981082771,0.610908757064928,0.389091242935072
"Elizabethkingia","Novosphingobium",0.252233550180942,0.611459912757598,0.388540087242402
"Streptococcus","Aeromonas",0.249265652591424,0.612672158421034,0.387327841578966
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.247853494175792,0.613248116925037,0.386751883074963
"Butyrivibrio","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.242929659884765,0.615252119100469,0.384747880899531
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Anaerobiospirillum",0.241679002840373,0.615760098236167,0.384239901763833
"Flavobacterium","Desulfovibrio",0.241078611346448,0.616003810318391,0.383996189681609
"Arthrobacter","Rheinheimera",0.237533874197438,0.61744073634745,0.38255926365255
"Serinibacter","Alistipes",0.233331616052627,0.619139880781142,0.380860119218858
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Akkermansia",0.230545829731145,0.620263722245971,0.379736277754029
"Sphingobacterium","Thermomonas",0.215460726101359,0.626314327593837,0.373685672406163
"Desulfovibrio","Akkermansia",0.213387789786603,0.627141216239771,0.372858783760229
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.211704588591713,0.627811839410618,0.372188160589382
"Eggerthella","Weeksella",0.210597824882368,0.628252407523295,0.371747592476705
"Kribbia","Guggenheimella",0.208948789119187,0.628908264725792,0.371091735274208
"Kurthia","Lysobacter",0.206103765137232,0.63003818728025,0.36996181271975
"Sporobacter","Campylobacter",0.199278054471157,0.632740841707268,0.367259158292732
"Guggenheimella","ph2",0.198092034939005,0.633209272303002,0.366790727696998
"Millisia","Sphingomonas",0.196915899470713,0.633673457124917,0.366326542875083
"Millisia","GW-34",0.196291877127304,0.633919601713299,0.366080398286701
"Deinococcus","Novosphingobium",0.196230286341755,0.633943890915531,0.366056109084469
"Dietzia","Nocardioides",0.195894862772352,0.634076153639154,0.365923846360846
"Arthrobacter","Alistipes",0.187871750467801,0.637231609986588,0.362768390013412
"Staphylococcus","Nitrobacteria",0.187145875088105,0.637516323285881,0.362483676714119
"Rothia","Isobaculum",0.186169856860142,0.637898950908315,0.362101049091685
"[Prevotella]","Aquamicrobium",0.185020244206198,0.638349338447923,0.361650661552077
"Helcobacillus","Dietzia",0.182665239958534,0.639270975424923,0.360729024575077
"Devriesea","Sphingobium",0.181161232463387,0.639858878010071,0.360141121989929
"Serinibacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.178758515142506,0.640796958816712,0.359203041183288
"Lactobacillus","Anaerobiospirillum",0.178001789659681,0.641092119098464,0.358907880901536
"Sharpea","Anaerobiospirillum",0.17794470326444,0.641114380097483,0.358885619902517
"Barnesiella","[Clostridium]",0.177618451425587,0.641241588082999,0.358758411917001
"Nitrobacteria","Denitromonas",0.177551629168365,0.64126763945783,0.35873236054217
"Pedobacter","Alkanindiges",0.176865598952315,0.641535034525662,0.358464965474338
"Trueperella","Petrimonas",0.175896760656044,0.6419124704132,0.3580875295868
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Denitromonas",0.174344081177438,0.642516894261373,0.357483105738627
"Enterococcus","Lactonifactor",0.17215908547868,0.643366503060783,0.356633496939217
"[Prevotella]","Oceaniovalibus",0.166641749761999,0.645506874571449,0.354493125428551
"Corynebacterium","Micrococcus",0.165641036585173,0.645894327043839,0.354105672956161
"Micrococcus","Granulicatella",0.165416934848622,0.645981062087496,0.354018937912504
"Arthrobacter","Anaerorhabdus",0.157336841911777,0.649100592392359,0.350899407607641
"Rothia","[Clostridium]",0.157130730121927,0.649179971147475,0.350820028852525
"Millisia","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.156018186314085,0.649608271840005,0.350391728159995
"Roseburia","Novosphingobium",0.155021770550581,0.649991626657382,0.350008373342618
"Rothia","Denitromonas",0.153399048837226,0.6506154590704,0.3493845409296
"Enterococcus","Petrimonas",0.153384723399673,0.650620963618729,0.349379036381271
"Nocardioides","Atopostipes",0.152911909156336,0.650802616329891,0.349197383670109
"Deinococcus","Brooklawnia",0.152753709189281,0.650863384594155,0.349136615405845
"ph2","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.150798203242239,0.651614071655056,0.348385928344944
"Arcobacter","Akkermansia",0.149636449135795,0.652059641008476,0.347940358991524
"Elizabethkingia","Enhydrobacter",0.148318846259806,0.652564615091944,0.347435384908056
"Aurantimonas","Bordetella",0.146963732271813,0.653083558102708,0.346916441897292
"Trueperella","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.146111662171613,0.65340964862343,0.34659035137657
"Sphingomonas","Desulfovibrio",0.144324866894464,0.654092934186548,0.345907065813452
"Oceanibaculum","Gulbenkiania",0.138997003077313,0.656126129994336,0.343873870005664
"Oceanibaculum","Caldimonas",0.138995015539481,0.656126887294111,0.343873112705889
"Amorphomonas","Caldimonas",0.138564024227458,0.656291084722527,0.343708915277473
"Amorphomonas","Gulbenkiania",0.138521226731309,0.656307387307461,0.343692612692539
"Devriesea","Novosphingobium",0.138110029876858,0.656464001344758,0.343535998655242
"Ornithinimicrobium","Atopococcus",0.137658648030341,0.656635877777654,0.343364122222346
"Isobaculum","Guggenheimella",0.135535275041654,0.657443809370179,0.342556190629821
"Deinococcus","Lacticigenium",0.133411399184977,0.658250940301274,0.341749059698726
"Bergeyella","Gallicola",0.132086925866486,0.658753775751424,0.341246224248576
"Bergeyella","Syntrophococcus",0.131904034105613,0.658823180335356,0.341176819664644
"Gallicola","Syntrophococcus",0.13172114234455,0.658892577608615,0.341107422391385
"Luteimicrobium","Gallicola",0.131421044516025,0.659006432246292,0.340993567753708
"Bergeyella","Dongia",0.13127116196475,0.659063289083548,0.340936710916452
"Luteimicrobium","Syntrophococcus",0.131238152755381,0.659075810223915,0.340924189776085
"Gallicola","Dongia",0.13108827020389,0.659132661076702,0.340867338923298
"Luteimicrobium","Bergeyella",0.130755163165653,0.659258991912263,0.340741008087737
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Acholeplasma",0.130644317274554,0.659301024845801,0.340698975154199
"Luteimicrobium","Dongia",0.130605280614531,0.659315826969696,0.340684173030304
"Bergeyella","Advenella",0.130553667430059,0.659335397415436,0.340664602584564
"Syntrophococcus","Dongia",0.130455398063079,0.65937265712832,0.34062734287168
"Gallicola","Advenella",0.130370775669243,0.659404740781698,0.340595259218302
"Dietzia","Lysobacter",0.130352678414936,0.659411601954752,0.340588398045248
"Leifsonia","Gallicola",0.130265751768923,0.659444557271905,0.340555442728095
"Leifsonia","Syntrophococcus",0.130082860007723,0.659513889160902,0.340486110839098
"Luteimicrobium","Advenella",0.129887786079934,0.659587831118823,0.340412168881177
"Bergeyella","Oligella",0.129863621035624,0.659596990200977,0.340403009799023
"Syntrophococcus","Advenella",0.12973790352843,0.659644637843578,0.340355362156422
"Gallicola","Oligella",0.129680729274835,0.659666306068896,0.340333693931104
"Leifsonia","Bergeyella",0.129599870418921,0.659696949205117,0.340303050794883
"Sporobacter","Acholeplasma",0.12959937503185,0.65969713693791,0.34030286306209
"Staphylococcus","Caulobacter",0.129552707470975,0.659714821922709,0.340285178077291
"Leifsonia","Dongia",0.129449987866857,0.659753746534699,0.340246253465301
"Luteimicrobium","Oligella",0.129197739685497,0.659849323828745,0.340150676171255
"Syntrophococcus","Oligella",0.129047857134023,0.659906108043401,0.340093891956599
"Dongia","Advenella",0.129020408993746,0.659916506463603,0.340083493536397
"Leifsonia","Advenella",0.128732493332196,0.660025570212171,0.339974429787829
"Blastococcus","Kribbia",0.128535221371067,0.660100287315849,0.339899712684151
"Leifsonia","Luteimicrobium",0.12844457767143,0.66013461594154,0.33986538405846
"Dongia","Oligella",0.128330362599358,0.660177868987079,0.339822131012921
"Leifsonia","Oligella",0.128042446937822,0.660286889564748,0.339713110435252
"Advenella","Oligella",0.127640316204995,0.660439128078813,0.339560871921187
"[Clostridium]","Denitromonas",0.126545907343546,0.660853271406162,0.339146728593838
"Aquamicrobium","Pantoea",0.12362120374388,0.661958758630823,0.338041241369177
"Petrimonas","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.122843667386448,0.662252343375828,0.337747656624172
"Nocardioides","Macrococcus",0.121689615861754,0.662687854173534,0.337312145826466
"Bifidobacterium","Anaerobiospirillum",0.120867870719096,0.662997786301321,0.337002213698679
"Ochrobactrum","Pantoea",0.119161605846573,0.66364086453195,0.33635913546805
"ph2","Acholeplasma",0.118694839007922,0.663816676873999,0.336183323126001
"Millisia","Nocardioides",0.117943297998527,0.66409965441998,0.33590034558002
"Barnesiella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.117668114200449,0.664203239151824,0.335796760848176
"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium","Albidovulum",0.115905932946968,0.664866177156363,0.335133822843637
"Bulleidia","Albidovulum",0.115772074375348,0.664916508151457,0.335083491848543
"Bulleidia","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.115638215803702,0.664966835337033,0.335033164662967
"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium","Porphyrobacter",0.115490347602482,0.665022425335236,0.334977574664764
"Bulleidia","Porphyrobacter",0.115356489030888,0.665072744505859,0.334927255494141
"Albidovulum","Porphyrobacter",0.115074762257994,0.665178636811949,0.334821363188051
"Arthrobacter","Nocardioides",0.114940713734225,0.665229015552454,0.334770984447546
"Haloplasma","Albidovulum",0.114914872134315,0.665238727024248,0.334761272975752
"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium","Ruminobacter",0.114876687383184,0.665253076887592,0.334746923112408
"Haloplasma","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.114781013562759,0.665289029834868,0.334710970165132
"Bulleidia","Ruminobacter",0.114742828811525,0.665303378613274,0.334696621386726
