"Node1","Node2","Association","Dissimilarity","Adjecency"
"Faecalibacterium","Bibersteinia",0.808534460196313,0.309407126456136,0.690592873543864
"Ochrobactrum","Bordetella",0.808534459441923,0.309407127065681,0.690592872934319
"Devriesea","Sharpea",0.805618742688919,0.311754115699441,0.688245884300559
"Rubricoccus","Pseudoxanthomonas",0.799657265198545,0.316498605685282,0.683501394314718
"Gaiella","Thermomonas",0.784478422321822,0.328269384559525,0.671730615440475
"Macellibacteroides","Peptostreptococcus",0.760414652437845,0.346110782526458,0.653889217473542
"Desulfovibrio","Treponema",0.735354249267905,0.363762113703513,0.636237886296487
"Streptobacillus","Caulobacter",0.677378752810293,0.401634938214859,0.598365061785141
"Granulicatella","Oscillospira",0.652268064792582,0.416972382303324,0.583027617696676
"GW-34","ph2",0.530484577453964,0.484518019554503,0.515481980445497
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Psychrobacter",0.521628592251927,0.489066154905486,0.510933845094514
"Rothia","Macrococcus",0.515714536531158,0.492080005420278,0.507919994579722
"Helcococcus","Bulleidia",0.506455938257331,0.496761543269338,0.503238456730662
"Kurthia","Roseburia",0.486130027245391,0.506887548059039,0.493112451940961
"Millisia","Atopococcus",0.46843299884043,0.515541948419122,0.484458051580878
"[Clostridium]","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.467839862549968,0.51582949578811,0.48417050421189
"Aeriscardovia","Enterococcus",0.449260496622426,0.52475685006371,0.47524314993629
"[Prevotella]","Sporobacter",0.443809280964866,0.527347475122017,0.472652524877983
"YRC22","Atopostipes",0.436095689733611,0.530991671434868,0.469008328565132
"Ornithobacterium","Massilia",0.413224397645698,0.541652841935821,0.458347158064179
"Nonlabens","Aquamicrobium",0.408266449274641,0.543936370693006,0.456063629306994
"Dysgonomonas","Kerstersia",0.408235034012518,0.543950809351122,0.456049190648878
"Salinarimonas","Paracoccus",0.407482751414082,0.544296448907173,0.455703551092827
"Planktophila","Terrimonas",0.407432224279151,0.544319655956337,0.455680344043663
"Nonlabens","Gluconacetobacter",0.406308673132372,0.544835446198037,0.455164553801963
"Dysgonomonas","Proteus",0.406308516779006,0.544835517941421,0.455164482058579
"Salinarimonas","Bdellovibrio",0.405834720842338,0.545052877782359,0.454947122217641
"Planktophila","Peredibacter",0.405801170904287,0.545068265951941,0.454931734048059
"Kerstersia","Proteus",0.404381999545537,0.545718792261391,0.454281207738609
"Aquamicrobium","Gluconacetobacter",0.404350896990197,0.545733040510561,0.454266959489439
"Paracoccus","Bdellovibrio",0.404186690265763,0.545808258335396,0.454191741664604
"Terrimonas","Peredibacter",0.404170117528462,0.545815849198032,0.454184150801968
"Beutenbergia","Blastococcus",0.395246393965978,0.549887991337337,0.450112008662663
"Prevotella","Flavobacterium",0.394753704429464,0.550111941140408,0.449888058859592
"Beutenbergia","Haloplasma",0.394422943527174,0.550262235880687,0.449737764119313
"Blastococcus","Haloplasma",0.393599495358956,0.550636225034752,0.449363774965248
"CF231","Atopostipes",0.372845779927431,0.559979562159446,0.440020437840554
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.365880725397816,0.563080489185243,0.436919510814757
"Bergeyella","Pedobacter",0.364432586546124,0.563723076276764,0.436276923723236
"Rhizobium","Enhydrobacter",0.357226641798475,0.56690976274956,0.43309023725044
"Petrimonas","Campylobacter",0.353824725104709,0.568407985031567,0.431592014968433
"Streptococcus","Acinetobacter",0.35332910034066,0.568625931372875,0.431374068627125
"Granulicatella","Acholeplasma",0.350506852556397,0.569865399653112,0.430134600346888
"Helcococcus","Butyricicoccus",0.338028015399187,0.575313820710407,0.424686179289593
"Petrimonas","Oligella",0.335796515211433,0.576282693124029,0.423717306875971
"Butyricicoccus","Bulleidia",0.334854296709824,0.57669129666147,0.42330870333853
"Micrococcus","Lactonifactor",0.333428311857198,0.577309140817466,0.422690859182534
"Lactonifactor","Anaerorhabdus",0.329095855230214,0.579182244535252,0.420817755464748
"Elizabethkingia","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.321674397031673,0.582376855209892,0.417623144790108
"Weissella","Halomonas",0.317932517657839,0.583980942472509,0.416019057527491
"Methylotenera","Helicobacter",0.315705034712996,0.584933742096916,0.415066257903084
"Pelomonas","Helicobacter",0.314910716043022,0.585273134509426,0.414726865490574
"Pelomonas","Methylotenera",0.314116397584031,0.585612330136571,0.414387669863429
"Kurthia","Lysobacter",0.310063924187819,0.587339797652169,0.412660202347831
"Arthrobacter","Sphingobacterium",0.295173150978453,0.593644190160043,0.406355809839957
"Papillibacter","Succinispira",0.28618525777208,0.597417250432192,0.402582749567808
"CF231","YRC22",0.28489593767742,0.597956546214932,0.402043453785068
"Serinibacter","Brooklawnia",0.273321322611999,0.602776358771643,0.397223641228357
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides","Butyrivibrio",0.273318832449064,0.60277739155966,0.39722260844034
"Trueperella","Brooklawnia",0.272290740094502,0.603203638875587,0.396796361124413
"Gallicola","Butyrivibrio",0.272282999451751,0.603206847005341,0.396793152994659
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.271366626703762,0.603586519604372,0.396413480395628
"Serinibacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.271360208122298,0.603589178116085,0.396410821883915
"Trueperella","Serinibacter",0.271260157576947,0.603630616529286,0.396369383470714
"Gallicola","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.271247166454388,0.603635996916027,0.396364003083973
"Kribbia","GW-34",0.270679800111954,0.603870929871626,0.396129070128374
"Gallicola","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.270330793706412,0.604015399759637,0.395984600240363
"Trueperella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.270329625605047,0.604015883232781,0.395984116767219
"Butyrivibrio","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.269414420958452,0.60439456443682,0.39560543556318
"Brooklawnia","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.269399093632217,0.604400904353966,0.395599095646034
"Kribbia","ph2",0.26885926235571,0.604624155010487,0.395375844989513
"Arsenicicoccus","Moraxella",0.265695270236911,0.605930990197353,0.394069009802647
"Acinetobacter","Enhydrobacter",0.265476317689954,0.606021320709943,0.393978679290057
"Corynebacterium","Nocardioides",0.261881829088138,0.607502333704103,0.392497666295897
"Streptococcus","Sphingomonas",0.260685456557504,0.607994466850849,0.392005533149151
"Flavobacterium","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.258012778900901,0.609092448278215,0.390907551721785
"Sphingobacterium","Aeromonas",0.254825284218405,0.61039934296393,0.38960065703607
"Ornithinicoccus","Ornithobacterium",0.253154157496967,0.611083399587582,0.388916600412418
"Bergeyella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.251954590465423,0.61157395690733,0.38842604309267
"Pedobacter","Alkanindiges",0.2421711028888,0.615560272073824,0.384439727926176
"Bergeyella","Gulbenkiania",0.241617412726513,0.615785103454723,0.384214896545277
"Persicivirga","Peptostreptococcus",0.229550259137526,0.620664861605067,0.379335138394933
"Luteimicrobium","Xanthobacter",0.228977957183078,0.620895338530143,0.379104661469857
"Luteimicrobium","Porphyrobacter",0.228705241218859,0.621005136364081,0.378994863635919
"Xanthobacter","Porphyrobacter",0.228432525022397,0.621114914881941,0.378885085118059
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla","Methylotenera",0.228355349503443,0.621145977406502,0.378854022593498
"Leifsonia","Xanthobacter",0.227341594555827,0.621553861481116,0.378446138518884
"Pelomonas","Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",0.227317035182409,0.62156373961871,0.37843626038129
"Leifsonia","Porphyrobacter",0.227068878590955,0.621663543007407,0.378336456992593
"Kineosporia","Trachelomonas",0.226615803415377,0.621845719043166,0.378154280956834
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla","Helicobacter",0.226396537058077,0.621933864225901,0.378066135774099
"Leifsonia","Luteimicrobium",0.225705231919288,0.622211687482931,0.377788312517069
"[Clostridium]","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.224691689692285,0.622618787986564,0.377381212013436
"Helcobacillus","Acidovorax",0.216915592531217,0.625733332765957,0.374266667234043
"Micrococcus","Staphylococcus",0.213698136835138,0.627017489056271,0.372982510943729
"Syntrophococcus","[Clostridium]",0.213587914530784,0.627061434577672,0.372938565422328
"Deinobacterium","Sphingobacterium",0.213034680990462,0.627281961724366,0.372718038275634
"Arthrobacter","Kocuria",0.205237194602996,0.630381949851439,0.369618050148561
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.202350436836657,0.631525756863227,0.368474243136773
"Kineosporia","Streptobacillus",0.193507984939398,0.635016541147001,0.364983458852999
"Bifidobacterium","Lacticigenium",0.189152930687343,0.636728776368972,0.363271223631028
"Dietzia","Ornithinimicrobium",0.189027734642851,0.63677793042675,0.36322206957325
"Tetrasphaera","Aurantimonas",0.188832638050683,0.636854521044373,0.363145478955627
"ph2","Defluviitalea",0.186216261092219,0.637880764292113,0.362119235707887
"Olsenella","Defluviitalea",0.186049790734994,0.637946004480397,0.362053995519603
"GW-34","Defluviitalea",0.184882315395009,0.638403353924849,0.361596646075151
"Weissella","Acholeplasma",0.184419677391037,0.638584498171136,0.361415501828864
"Acidovorax","Rheinheimera",0.180505294325711,0.640115109052383,0.359884890947617
"[Prevotella]","Granulicatella",0.177193286188964,0.641407325266494,0.358592674733506
"Helcobacillus","Dietzia",0.176742218758763,0.641583112792582,0.358416887207418
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Mucilaginibacter",0.17500415997495,0.642260009663162,0.357739990336838
"Sphingobium","Rheinheimera",0.174682613396959,0.642385159621173,0.357614840378827
"Roseburia","Sporobacter",0.171644718342801,0.643566345320045,0.356433654679955
"Elizabethkingia","Acinetobacter",0.171011765276473,0.643812175530848,0.356187824469152
"Defluviitalea","Campylobacter",0.170965474054854,0.643830150717231,0.356169849282769
"Luteimicrobium","Oceanobacillus",0.168263604013374,0.644878436601282,0.355121563398718
"Oceanobacillus","Xanthobacter",0.168234751386066,0.644889621801256,0.355110378198744
"Leifsonia","Oceanobacillus",0.166643227994926,0.645506302062604,0.354493697937396
"Oceanobacillus","Porphyrobacter",0.166318948730129,0.645631880900359,0.354368119099641
"Pedobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.165926246083263,0.645783924357341,0.354216075642659
"Brevundimonas","Rheinheimera",0.162376443731722,0.647156687467679,0.352843312532321
"Deinobacterium","Nocardioides",0.160760106905932,0.647780785873612,0.352219214126388
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Caldimonas",0.160741666732117,0.647787902506632,0.352212097493368
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.160366818582661,0.647932551048849,0.352067448951151
"Rothia","Enhydrobacter",0.159650497447213,0.648208879356333,0.351791120643667
"Bifidobacterium","Lysobacter",0.159209047396115,0.648379114640457,0.351620885359543
"Gulbenkiania","Rheinheimera",0.159004894131763,0.648457826642657,0.351542173357343
"Olsenella","Trachelomonas",0.15757873842711,0.649007419669795,0.350992580330205
"Micrococcus","Ornithobacterium",0.157540986181593,0.649021961808076,0.350978038191924
"Succinispira","Akkermansia",0.156750943804464,0.649326210850731,0.350673789149269
"Atopostipes","Butyricicoccus",0.15526576767033,0.649897773626618,0.350102226373382
"Corynebacterium","Millisia",0.155131356817329,0.6499494761836,0.3500505238164
"Eggerthella","Staphylococcus",0.154686742886755,0.650120472340798,0.349879527659202
"Pediococcus","Albidovulum",0.15412672099219,0.650335789807008,0.349664210192992
"Lactobacillus","Desulfovibrio",0.152589086179898,0.65092661407416,0.34907338592584
"Streptococcus","Alkanindiges",0.151541211535604,0.651328944721634,0.348671055278366
"Eggerthella","Alistipes",0.1511740533613,0.651469856032764,0.348530143967236
"Kribbia","Oligella",0.149379356443376,0.652158203029228,0.347841796970772
"Ilumatobacter","Denitromonas",0.14774162372774,0.652785713795982,0.347214286204018
"Ornithinimicrobium","Thermomonas",0.145200666664826,0.65375811021171,0.34624188978829
"Helcobacillus","Kocuria",0.143708521467338,0.654328464355885,0.345671535644115
"Kurthia","Weissella",0.140311914575115,0.655624925328836,0.344375074671164
"Gaiella","Trachelomonas",0.139003748044712,0.656123559992814,0.343876440007186
"Trachelomonas","Thermomonas",0.134736611620697,0.657747439515846,0.342252560484154
"Kurthia","Acidovorax",0.134639455628852,0.657784366023983,0.342215633976017
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Acholeplasma",0.134566755822123,0.657811996005651,0.342188003994349
"Brevibacterium","Akkermansia",0.13361966207241,0.658171838476697,0.341828161523303
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides","Akkermansia",0.132472179909789,0.65860755389314,0.34139244610686
"Arthrobacter","Gulbenkiania",0.130843466611092,0.659225505191094,0.340774494808906
"Sphingobacterium","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.130414648443442,0.659388107094963,0.340611892905037
"Alistipes","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.130145525585993,0.659490134275717,0.340509865724283
"Eggerthella","Olsenella",0.128009683257339,0.660299294540991,0.339700705459009
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Sporobacter",0.125993945872234,0.661062044791473,0.338937955208527
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla","Aeromonas",0.125582938094449,0.661217461167486,0.338782538832514
"Novosphingobium","Enhydrobacter",0.123860506185754,0.66186837581737,0.33813162418263
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.123710125478794,0.661925174971162,0.338074825028838
"Eggerthella","Akkermansia",0.120836834218983,0.663009489291449,0.336990510708551
