"Node1","Node2","Association","Dissimilarity","Adjecency"
"Advenella","Kerstersia",0.758763133275148,0.347301646069272,0.652698353930728
"Solirubrobacter","Chelatococcus",0.758325538265507,0.34761649970513,0.65238350029487
"Beutenbergia","Blastococcus",0.758293938137235,0.347639225248508,0.652360774751492
"Abiotrophia","Actinobacillus",0.75822300135374,0.347690234725006,0.652309765274994
"Marmoricola","Rhodocytophaga",0.75814254363774,0.347748081491659,0.652251918508341
"Weeksella","Escherichia",0.758067017003599,0.347802374198625,0.652197625801375
"Peredibacter","Pseudoxanthomonas",0.708308247946771,0.381897729800289,0.618102270199711
"Isobaculum","Guggenheimella",0.661893928299673,0.41116059617887,0.58883940382113
"Ochrobactrum","Pantoea",0.645578329998963,0.420964173060509,0.579035826939491
"rc4-4","Succinivibrio",0.631343086055579,0.429334900715293,0.570665099284707
"Ornithinicoccus","Bergeyella",0.5749968417637,0.460978935655578,0.539021064344422
"Roseburia","Treponema",0.567023566039963,0.465282942928299,0.534717057071701
"Chloronema","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.558422091557729,0.469881851342585,0.530118148657415
"Kineosporia","Streptobacillus",0.557230932980814,0.470515178830176,0.529484821169824
"Alkalibacterium","Ruminobacter",0.542912538300801,0.478062475885317,0.521937524114683
"Petrimonas","GW-34",0.507317364079865,0.496327833150699,0.503672166849301
"Brevundimonas","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.500921164793796,0.49953920527132,0.50046079472868
"Pedobacter","Sphingobacterium",0.489575733827909,0.505185246306784,0.494814753693216
"Kribbia","Brooklawnia",0.48938152827176,0.505281343277307,0.494718656722693
"Enterococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.467522118369809,0.515983469517285,0.484016530482715
"Albidovulum","Porphyrobacter",0.466900120054091,0.516284746988476,0.483715253011524
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides","Acidovorax",0.465062948469314,0.517173593453246,0.482826406546754
"Gaiella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.447669227915482,0.525514401365233,0.474485598634767
"Sporobacter","Akkermansia",0.408657132283757,0.543756778218094,0.456243221781906
"Corynebacterium","Millisia",0.404464743409319,0.545680885037528,0.454319114962472
"Eggerthella","[Prevotella]",0.386083562454527,0.554038102275229,0.445961897724771
"Serinibacter","Haloplasma",0.383157957353888,0.555356661365519,0.444643338634481
"Herbiconiux","Sphaerotilus",0.383110351740297,0.555378091150391,0.444621908849609
"Barnesiella","Anaerobiospirillum",0.381982327616216,0.555885632294892,0.444114367705108
"Herbiconiux","Aquaspirillum",0.381297232900939,0.556193656516802,0.443806343483198
"Sphaerotilus","Aquaspirillum",0.379484104717227,0.557008031936153,0.442991968063847
"Selenomonas","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",0.378527370831969,0.557437274125094,0.442562725874906
"YRC22","Desulfovibrio",0.369268734366189,0.561574245150991,0.438425754849009
