"Node1","Node2","Association","Dissimilarity","Adjecency"
"Anaerobiospirillum","Barnesiella",0.574243381561576,0.461387374360431,0.538612625639569
"Anaerococcus","Succinivibrio",0.440545269229951,0.528892583976202,0.471107416023798
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Aeriscardovia",0.390518372732351,0.552033344675686,0.447966655324314
"Succinispira","Akkermansia",0.380878606091756,0.556381790638516,0.443618209361484
"ph2","GW-34",0.375513777929515,0.558787178660394,0.441212821339606
"Helcococcus","Isobaculum",0.362675161221162,0.56450192151083,0.43549807848917
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","YRC22",0.347669259328918,0.571108895339182,0.428891104660818
"Aeromonas","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.329837044773272,0.578862226797848,0.421137773202152
"Treponema","Oscillospira",0.329787246043982,0.578883733557965,0.421116266442035
"Ochrobactrum","Peredibacter",0.32280851630511,0.581889802151099,0.418110197848901
"Helicobacter","Pelomonas",0.316704035132534,0.584506614533773,0.415493385466227
"Snodgrassella","Mucilaginibacter",0.309640820538971,0.587519863264651,0.412480136735349
"Methylotenera","Pelomonas",0.309361895254697,0.587638538876282,0.412361461123718
"Nonlabens","Snodgrassella",0.309127139716996,0.587738402813277,0.412261597186723
"Nonlabens","Mucilaginibacter",0.307639646730574,0.588370781595001,0.411629218404999
"Helicobacter","Methylotenera",0.300181080499196,0.591531452883447,0.408468547116553
"ph2","Pediococcus",0.300103571945138,0.591564209555844,0.408435790444156
"Pseudoxanthomonas","Peredibacter",0.299623022014873,0.591767259142109,0.408232740857891
"Atopococcus","Millisia",0.297030889986557,0.592861328648379,0.407138671351621
"Elizabethkingia","Rhizobium",0.28635836268937,0.597344807171968,0.402655192828032
"Rothia","Bergeyella",0.282066713900572,0.599138250364399,0.400861749635601
"Sphingobium","Sphingomonas",0.273335904580403,0.602770310906068,0.397229689093932
"Micrococcus","Ornithinimicrobium",0.268405644169959,0.604811687978184,0.395188312021816
"GW-34","Petrimonas",0.263986767658303,0.606635488716946,0.393364511283054
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Helcococcus",0.263943551539525,0.606653298210961,0.393346701789039
"Acinetobacter","Sphingobacterium",0.247139613444529,0.613539072331775,0.386460927668225
"Acinetobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.241851861599436,0.615689913187054,0.384310086812946
"Deinococcus","Deinobacterium",0.241205656623801,0.615952247895971,0.384047752104029
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Brevundimonas",0.239890672117153,0.61648573701378,0.38351426298622
"Pedobacter","Peredibacter",0.229180983985826,0.620813585552932,0.379186414447068
"Corynebacterium","Millisia",0.223833058151971,0.622963458738965,0.377036541261035
"Pedobacter","Sphingobacterium",0.222796179806455,0.623379427072126,0.376620572927874
"Enhydrobacter","Gulbenkiania",0.218373409189533,0.625150618175519,0.374849381824481
"ph2","Serinibacter",0.216896161453315,0.625741096040002,0.374258903959998
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.214792225951885,0.626581109692957,0.373418890307043
"Gulbenkiania","Sphingobacterium",0.211109433367167,0.628048790554059,0.371951209445941
"Haloplasma","Campylobacter",0.202030549374575,0.631652376954851,0.368347623045149
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Lactonifactor",0.200225043443746,0.632366569545013,0.367633430454987
"Alistipes","Oscillospira",0.199392753181843,0.632695521881638,0.367304478118362
"Wautersiella","Isobaculum",0.197968574806502,0.633258014238074,0.366741985761926
"Alysiella","Deinobacterium",0.194932867163915,0.634455330514326,0.365544669485674
"Trueperella","Aeriscardovia",0.184837657243984,0.638420841904467,0.361579158095533
"Roseburia","Treponema",0.184432770956608,0.638579372139201,0.361420627860799
"Kribbia","Serinibacter",0.183147551927179,0.639082329623039,0.360917670376961
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Novosphingobium",0.182799687400971,0.639218394838192,0.360781605161808
"Alkanindiges","Brevundimonas",0.182746706773858,0.639239115365347,0.360760884634653
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.177614634344726,0.64124307624148,0.35875692375852
"Pedobacter","Pseudoxanthomonas",0.176958471326516,0.641498842038505,0.358501157961495
"Atopococcus","Granulicatella",0.166512780055336,0.645556821644952,0.354443178355048
"Succinispira","Papillibacter",0.162181621758257,0.647231943835339,0.352768056164661
"Corynebacterium","Serinibacter",0.15791097825622,0.648879427067841,0.351120572932159
"Lactococcus","Peredibacter",0.153936419395666,0.650408940822747,0.349591059177253
"Prevotella","Barnesiella",0.152646516364079,0.650904556611766,0.349095443388234
"Aeromonas","Methylotenera",0.151659251952348,0.65128363561802,0.34871636438198
"Granulicatella","Barnesiella",0.150473083715715,0.651738795946768,0.348261204053232
"Helcobacillus","Bergeyella",0.149910197729727,0.651954677209341,0.348045322790659
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.14920009693491,0.652226917209452,0.347773082790548
"Serinibacter","Campylobacter",0.147159556373611,0.653008592449743,0.346991407550257
"Micrococcus","Helcobacillus",0.146578750594946,0.653230912237416,0.346769087762584
"Weissella","Sporobacter",0.132155164459085,0.658727878391721,0.341272121608279
"Flavobacterium","Nocardioides",0.132152158291671,0.658729019289544,0.341270980710456
"Sporobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.129656240295917,0.659675586824343,0.340324413175657
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.126128692541947,0.66101108442221,0.33898891557779
"Trueperella","ph2",0.124003747896953,0.661814268546337,0.338185731453663
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.123142223614154,0.66213962892499,0.33786037107501
"Gulbenkiania","Methylotenera",0.121096867703867,0.662911431601588,0.337088568398412
"Staphylococcus","Bergeyella",0.119906344970523,0.663360254699314,0.336639745300686
"Arthrobacter","Aeromonas",0.119219528292567,0.663619044221695,0.336380955778305
"Anaerorhabdus","YRC22",0.119130612465986,0.663652539938639,0.336347460061361
"Rhizobium","Gulbenkiania",0.119050166628406,0.663682843446926,0.336317156553074
"Helcobacillus","Lysobacter",0.117390545868024,0.664307705108098,0.335692294891902
"Alistipes","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.116815539740473,0.664524062867375,0.335475937132625
"Bifidobacterium","Anaerococcus",0.116157170427372,0.664771701252629,0.335228298747371
"Helicobacter","Deinobacterium",0.115243101924413,0.66511536520952,0.33488463479048
"Succinispira","[Clostridium]",0.114724795892215,0.66531015478038,0.33468984521962
"Barnesiella","Haloplasma",0.11455077367934,0.665375542953248,0.334624457046752
"Atopostipes","Barnesiella",0.114096202481148,0.665546316013714,0.334453683986286
"Elizabethkingia","Alkanindiges",0.113018893197084,0.665950864104446,0.334049135895554
"Pelomonas","Deinobacterium",0.112149555802011,0.666277136107037,0.333722863892963
"Elizabethkingia","Acinetobacter",0.111786715916506,0.666413266705989,0.333586733294011
"Isobaculum","Pediococcus",0.110469509039208,0.666907224042742,0.333092775957258
