"Node1","Node2","Association","Dissimilarity","Adjecency"
"Lactococcus","Selenomonas",0.808534390824629,0.309407182508237,0.690592817491763
"Guggenheimella","Oceaniovalibus",0.805922905727518,0.31151010759884,0.68848989240116
"[Prevotella]","Aeromonas",0.765887328410232,0.34213496722037,0.65786503277963
"Rothia","Weissella",0.70832075117593,0.381889544779685,0.618110455220315
"GW-34","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",0.687150376019052,0.395505767328966,0.604494232671034
"Helcobacillus","Ornithinimicrobium",0.668983592557746,0.406826994828425,0.593173005171575
"Pedobacter","Helcococcus",0.570528922676725,0.463395661030223,0.536604338969777
"Barnesiella","Brevundimonas",0.559620704687638,0.469243697513542,0.530756302486458
"Serinibacter","Kribbia",0.556681509465153,0.470807014887654,0.529192985112346
"Nitrobacteria","Oligella",0.5484092783867,0.475179293326898,0.524820706673102
"Caulobacter","Rheinheimera",0.514152403039176,0.492873004414334,0.507126995585666
"Alistipes","[Clostridium]",0.509108290940249,0.495424923202169,0.504575076797831
"Millisia","Micrococcus",0.499268732178375,0.500365500320328,0.499634499679672
"Ilumatobacter","Beutenbergia",0.498060402000869,0.500968860309267,0.499031139690733
"Caulobacter","Anaerobiospirillum",0.445788340961709,0.526408424627822,0.473591575372178
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.441150079344173,0.528606621532415,0.471393378467585
"Oscillospira","Rhizobium",0.422559358367976,0.537327014783374,0.462672985216626
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.421230925863123,0.537944734213877,0.462055265786123
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Macellibacteroides",0.419067535484515,0.538949192649681,0.461050807350319
"Arthrobacter","Acholeplasma",0.415575806255957,0.540566459255494,0.459433540744506
"Enterococcus","Pusillimonas",0.408259096297677,0.543939750203239,0.456060249796761
"Brooklawnia","Haloplasma",0.408238050447402,0.543949422994729,0.456050577005271
"Enterococcus","Massilia",0.40630862131684,0.544835469973807,0.455164530026193
"Brooklawnia","Bulleidia",0.406308514800358,0.544835518849332,0.455164481150668
"Haloplasma","Bulleidia",0.404378979153261,0.545720175935771,0.454279824064229
"Pusillimonas","Massilia",0.404358146337613,0.545729719578468,0.454270280421532
"Macellibacteroides","Lactobacillus",0.399740782928413,0.54784086059347,0.45215913940653
"rc4-4","Butyricicoccus",0.392290957494042,0.551230007576673,0.448769992423327
"Blastococcus","Sphingobium",0.389101358779125,0.552674696915317,0.447325303084683
"Corynebacterium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.37451393679185,0.559234326203314,0.440765673796686
"Millisia","Macrococcus",0.374311091643595,0.559324998706658,0.440675001293342
"Atopostipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.374093380992828,0.55942229979112,0.44057770020888
"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium","Halomonas",0.367498039206984,0.562361965638243,0.437638034361757
"Abiotrophia","Halomonas",0.367495131385111,0.562363258319251,0.437636741680749
"Abiotrophia","Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",0.367492223700655,0.562364550936199,0.437635449063801
"Salinarimonas","Ochrobactrum",0.345738103819599,0.571953624072967,0.428046375927033
"Petrimonas","Anaerorhabdus",0.344685318335415,0.5724136099293,0.4275863900707
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Anaerosinus",0.34312077621223,0.573096511849344,0.426903488150656
"Serinibacter","Flavobacterium",0.342154717073839,0.573517777809093,0.426482222190907
"Granulicatella","Acinetobacter",0.340227272027861,0.574357348682917,0.425642651317083
"Porphyrobacter","Lysobacter",0.332344578374792,0.577778254014984,0.422221745985016
"Dietzia","Nocardioides",0.329991439897248,0.578795542528945,0.421204457471055
"Trueperella","Serinibacter",0.329295340956369,0.579096131503065,0.420903868496935
"Brevibacterium","Acholeplasma",0.311878627020866,0.586566864466079,0.413433135533921
"CF231","Treponema",0.308144972622606,0.588156028353614,0.411843971646386
"Kurthia","Anaerorhabdus",0.30592218038503,0.58910008471183,0.41089991528817
"Prevotella","Akkermansia",0.295778431373628,0.593389235083673,0.406610764916327
"Barnesiella","CF231",0.285530352993458,0.59769124429196,0.40230875570804
"Kocuria","Staphylococcus",0.282416176458137,0.598992413784124,0.401007586215876
"Butyricimonas","Dorea",0.273326484082314,0.602774218060829,0.397225781939171
"Coprococcus","Cedecea",0.273324850334742,0.602774895655608,0.397225104344392
"Marmoricola","Sanguibacter",0.273085011103583,0.602874360417001,0.397125639582999
"YRC22","Isobaculum",0.272880142146745,0.602959309511535,0.397040690488465
"Collinsella","Dorea",0.272287994592978,0.603204776757869,0.396795223242131
"Mucispirillum","Cedecea",0.272286434662443,0.603205423275337,0.396794576724663
"Leifsonia","Sanguibacter",0.272062075297223,0.603298402410771,0.396701597589229
"Eggerthella","Isobaculum",0.271875880770036,0.603375554373047,0.396624445626953
"Coprococcus","Escherichia",0.271366221665555,0.603586687367459,0.396413312632541
"Butyricimonas","Faecalibacterium",0.271365495087661,0.603586988309199,0.396413011690801
"Marmoricola","Dongia",0.271261570142124,0.603630031500205,0.396369968499795
"Collinsella","Butyricimonas",0.271249505103821,0.603635028347502,0.396364971652498
"Mucispirillum","Coprococcus",0.271248018990148,0.603635643832375,0.396364356167625
"YRC22","Arcobacter",0.271175416223779,0.603665712036149,0.396334287963851
"Leifsonia","Marmoricola",0.271039139490954,0.603722146566219,0.396277853433781
"Eggerthella","YRC22",0.270871619393953,0.60379151228137,0.39620848771863
"Syntrophococcus","Psychrobacter",0.270694435994911,0.60386487064785,0.39613512935215
"Olsenella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.270626375711535,0.603893046941454,0.396106953058546
"Mucispirillum","Escherichia",0.270327805993256,0.604016636363082,0.395983363636918
"Collinsella","Faecalibacterium",0.270327005598487,0.604016967643092,0.395983032356908
"Leifsonia","Dongia",0.2702386343358,0.604053543017587,0.395946456982413
"Eggerthella","Arcobacter",0.270171154847057,0.60408147014825,0.39591852985175
"Isobaculum","Arcobacter",0.269470690301619,0.604371288902104,0.395628711097896
"Sanguibacter","Dongia",0.269438129176692,0.604384757759206,0.395615242240794
"Cedecea","Escherichia",0.269407592996331,0.604397388728504,0.395602611271496
"Dorea","Faecalibacterium",0.269404506093022,0.604398665578845,0.395601334421155
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Lactonifactor",0.268517528036146,0.604765438812377,0.395234561187623
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Desulfovibrio",0.268331341887684,0.604842400180541,0.395157599819459
"Prevotella","Succinivibrio",0.264772678774144,0.606311521095326,0.393688478904674
"Lactobacillus","Sporobacter",0.252781119793442,0.611235993789043,0.388764006210957
"Beutenbergia","Brevibacterium",0.249590055056211,0.612539772155159,0.387460227844841
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.248859299030337,0.612837947980403,0.387162052019597
"Deinococcus","Macellibacteroides",0.246346045524667,0.613862343883111,0.386137656116889
"[Prevotella]","Peptostreptococcus",0.243857411181074,0.614875023406759,0.385124976593241
"Nitriliruptor","Salinarimonas",0.237048546041757,0.617637213078293,0.382362786921707
"Macrococcus","Atopococcus",0.236335563033316,0.617925738647729,0.382074261352271
"Papillibacter","Akkermansia",0.23578043114083,0.618150292752163,0.381849707247837
"Dietzia","Ornithinimicrobium",0.222966171329901,0.6233112499667,0.3766887500333
"Elizabethkingia","Kurthia",0.222940918636903,0.623321378328667,0.376678621671333
