"Node1","Node2","Association","Dissimilarity","Adjecency"
"Luteimicrobium","Aeriscardovia",0.80853443116837,0.309407149910624,0.690592850089376
"Ilumatobacter","Albidovulum",0.808534426958192,0.309407153312434,0.690592846687566
"Ornithinicoccus","Solirubrobacter",0.808534426648994,0.309407153562265,0.690592846437735
"Eggerthella","[Prevotella]",0.807391646127276,0.310329142905338,0.689670857094662
"Gluconacetobacter","Snodgrassella",0.806986701422855,0.31065519356446,0.68934480643554
"Erythrobacter","Azospira",0.805862102372213,0.31155890103461,0.68844109896539
"Ruminobacter","Escherichia",0.804552778220408,0.312607758844524,0.687392241155476
"Syntrophococcus","Advenella",0.682427743514053,0.398479771435105,0.601520228564895
"Lactobacillus","Pediococcus",0.675238962321452,0.402964662022955,0.597035337977045
"Peredibacter","Aeromonas",0.671214136332064,0.405453982387605,0.594546017612395
"Oscillospira","Campylobacter",0.624293699123679,0.433420293062243,0.566579706937757
"Oligella","Acholeplasma",0.571330909950979,0.46296279010792,0.53703720989208
"Aquamicrobium","Oceaniovalibus",0.533202119371907,0.483113796443495,0.516886203556505
"Prevotella","Treponema",0.499648852453444,0.500175542957948,0.499824457042052
"Desulfovibrio","Arcobacter",0.491314080756326,0.504324260393883,0.495675739606117
"Leifsonia","Denitromonas",0.475703169779324,0.512004311613035,0.487995688386965
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus","Anaerosinus",0.47024789881614,0.514661102660702,0.485338897339298
"Arthrobacter","Nocardioides",0.46746753173949,0.516009916697591,0.483990083302409
"Trueperella","Alkalibacterium",0.464455941604802,0.517466935366502,0.482533064633498
"Saccharibacter","Massilia",0.451628885601667,0.523627307537686,0.476372692462314
"YRC22","rc4-4",0.450356766895621,0.524234314550459,0.475765685449541
"Trachelomonas","Mucilaginibacter",0.44871476443705,0.525016778571386,0.474983221428614
"CF231","Alistipes",0.441278471512958,0.528545896061564,0.471454103938436
"Chloronema","Anaerococcus",0.438144527945091,0.53002616541776,0.46997383458224
"Helcobacillus","Micrococcus",0.432294035736236,0.532778548866114,0.467221451133886
"Olsenella","Kurthia",0.416044449079597,0.540349678874894,0.459650321125106
"Granulicatella","Papillibacter",0.412637336900472,0.541923732226006,0.458076267773994
"Butyricimonas","Parabacteroides",0.408255509056208,0.543941398931811,0.456058601068189
"Brooklawnia","Sanguibacter",0.408252285891761,0.543942880323035,0.456057119676965
"Weeksella","Gallicola",0.408245227342073,0.543946124472786,0.456053875527214
"Terrimonas","Sphingobacterium",0.407840364436668,0.544132169405252,0.455867830594748
"Macellibacteroides","Sporobacter",0.406612201772554,0.544696153019023,0.455303846980977
"Butyricimonas","Allobaculum",0.406308610128714,0.544835475107526,0.455164524892474
"Brooklawnia","Cedecea",0.406308593888073,0.54483548255961,0.45516451744039
"Weeksella","Dongia",0.40630855932369,0.544835498419619,0.455164501580381
"Gallicola","Dongia",0.4043718929753,0.545723422176793,0.454276577823207
"Sanguibacter","Cedecea",0.404364901992126,0.545726624789314,0.454273375210686
"Parabacteroides","Allobaculum",0.404361711268364,0.545728086473308,0.454271913526692
"Amorphomonas","Oceanibaculum",0.403687742986392,0.546036746480312,0.453963253519688
"Trachelomonas","Thermomonas",0.387346806178743,0.553467792116785,0.446532207883215
"Collinsella","Dorea",0.384424901917982,0.554786038974494,0.445213961025506
"Peptostreptococcus","Butyricicoccus",0.383270103275005,0.55530617533258,0.44469382466742
"Weissella","ph2",0.376590770937665,0.558305126728358,0.441694873271642
"Millisia","Atopostipes",0.375422770194222,0.558827893812477,0.441172106187523
"Chloronema","Sharpea",0.371959754001467,0.560374984273269,0.439625015726731
"Pedobacter","Acinetobacter",0.365026134186714,0.563459788189577,0.436540211810423
"Rubricoccus","Gulbenkiania",0.34398974282022,0.572717319966744,0.427282680033256
"Chelatococcus","Aquamicrobium",0.342822858589623,0.573226456738686,0.426773543261314
