"from","to","weight","association"
3,4,0.666733899468323,1
3,5,0.574260625345169,1
4,5,0.569355370102838,1
1,6,0.51279686457448,1
1,7,0.0326951426498167,-1
5,7,0.0948927601417098,-1
6,7,0.0888831608774527,-1
1,8,0.507298439064906,1
3,8,0.0368513828144514,-1
4,8,0.0717969395011212,-1
5,8,0.155281509266118,-1
6,8,0.553370877448723,1
3,9,0.666892997948848,1
4,9,0.621232543720636,1
6,9,0.127957544063576,-1
8,9,0.0920598298449624,-1
3,10,0.605436032822119,1
4,10,0.565998783853869,1
6,10,0.12033552532388,-1
8,10,0.111018553472218,-1
9,10,0.86972255838921,1
3,11,0.497828490878081,1
5,11,0.811685362839281,1
6,11,0.49864516972549,1
7,11,0.0628490330502585,-1
3,12,0.546878214763159,1
4,12,0.472375774928866,1
6,12,0.0409877821819604,-1
7,12,0.532428375681793,1
8,12,0.0741554480874176,-1
9,12,0.655966658733381,1
10,12,0.667420245910892,1
1,13,0.0350537429302668,-1
5,13,0.130061759804166,-1
7,13,0.734892007734789,1
9,13,0.139746397782859,-1
10,13,0.128159649706328,-1
11,13,0.119401607181376,-1
3,14,0.755601186907532,1
4,14,0.669681084827622,1
5,14,0.591845853987483,1
8,14,0.0390173352086035,-1
9,14,0.651422808297578,1
10,14,0.615007532130499,1
11,14,0.481918602950826,1
12,14,0.514564709697525,1
3,15,0.756913103012286,1
4,15,0.678356117361965,1
5,15,0.608866521526243,1
8,15,0.0333672535219287,-1
9,15,0.664428571486818,1
10,15,0.605933264971124,1
11,15,0.507383467129731,1
12,15,0.514448198711421,1
14,15,0.772526395631988,1
3,16,0.699983324585767,1
4,16,0.607074464501137,1
5,16,0.553354384040665,1
8,16,0.0498433178378447,-1
9,16,0.621345928260731,1
10,16,0.589102247211154,1
11,16,0.473512682208216,1
12,16,0.501762482196031,1
14,16,0.724606022010411,1
15,16,0.742495819419085,1
3,17,0.732833610491706,1
4,17,0.649502477234685,1
5,17,0.578584630316941,1
8,17,0.0390952193099686,-1
9,17,0.638655576780592,1
10,17,0.570827367483746,1
11,17,0.494893593599442,1
12,17,0.521903225759126,1
14,17,0.728918902702667,1
15,17,0.773531689276636,1
16,17,0.707730184494378,1
3,18,0.161262673576803,-1
6,18,0.65726168447151,1
7,18,0.118588539102559,-1
8,18,0.530044411377278,1
9,18,0.102821342032499,-1
10,18,0.0986282229905221,-1
11,18,0.476506640758428,1
12,18,0.0371576190357166,-1
16,18,0.163019015819418,-1
5,19,0.146273815985008,-1
1,20,0.0424438014066896,-1
5,20,0.127453146838968,-1
7,20,0.737649681761628,1
9,20,0.151211942595234,-1
10,20,0.142774181611044,-1
11,20,0.119580622933069,-1
13,20,0.778128957547042,1
5,21,0.157112675268485,-1
1,22,0.476750140716947,1
4,22,0.155014702369095,-1
6,22,0.587497487398735,1
7,22,0.149199698903579,-1
8,22,0.507650775033796,1
9,22,0.13844874517992,-1
10,22,0.122398277273389,-1
11,22,0.455271063006682,1
12,22,0.0845224403182374,-1
18,22,0.535291676506224,1
5,23,0.102461192440817,-1
8,23,0.476466454219816,1
11,23,0.104995722811611,-1
1,24,0.760398016279379,1
3,24,0.122298824147148,-1
4,24,0.144919859429721,-1
6,24,0.601316313255215,1
7,24,0.0738405672738022,-1
8,24,0.734306848766645,1
12,24,0.0878694847082081,-1
13,24,0.115337169725372,-1
14,24,0.120962624926412,-1
15,24,0.126678409524365,-1
16,24,0.115645433028386,-1
17,24,0.117022805352825,-1
18,24,0.554374131086207,1
20,24,0.110585177386677,-1
22,24,0.569054880760208,1
23,24,0.477316039069996,1
1,25,0.689970991762502,1
3,25,0.101890327192773,-1
4,25,0.129601241546037,-1
6,25,0.546306179183146,1
7,25,0.120801729535634,-1
8,25,0.772390665110278,1
12,25,0.11265449524457,-1
13,25,0.140109981172622,-1
14,25,0.0994834054115431,-1
15,25,0.1024668410624,-1
16,25,0.097729251769235,-1
17,25,0.100249361261548,-1
18,25,0.493226689105108,1
20,25,0.132665345397542,-1
22,25,0.518724281174333,1
23,25,0.554559275171904,1
24,25,0.916721947211401,1
2,26,0.160648780756615,-1
3,26,0.695269663482049,1
4,26,0.608895616028132,1
5,26,0.57333898542638,1
8,26,0.0489193184374082,-1
9,26,0.629365093036758,1
10,26,0.596939999428575,1
11,26,0.506647320175073,1
12,26,0.505727482102287,1
14,26,0.7106846775247,1
15,26,0.766559793570754,1
16,26,0.645717141573612,1
17,26,0.681776221303617,1
24,26,0.127871391938647,-1
25,26,0.113266630745413,-1
3,27,0.48668387631387,1
4,27,0.482631079995045,1
5,27,0.816840685394957,1
6,27,0.495906611357791,1
7,27,0.0675113799952266,-1
11,27,0.829881485640979,1
13,27,0.119246487426942,-1
14,27,0.469326474279565,1
15,27,0.51174545852044,1
16,27,0.461647116678031,1
17,27,0.465516359541143,1
18,27,0.479402889026597,1
20,27,0.118958300662418,-1
23,27,0.092647049853763,-1
26,27,0.481441187501451,1
1,28,0.0635593808208262,-1
5,28,0.131393244989641,-1
7,28,0.662615392715758,1
9,28,0.15283488118741,-1
10,28,0.140068687444797,-1
11,28,0.124932101787384,-1
13,28,0.708167974311201,1
20,28,0.645341769860209,1
24,28,0.128003162058558,-1
25,28,0.162527130631964,-1
27,28,0.119192054862931,-1
3,29,0.758592142151095,1
4,29,0.674292641844908,1
5,29,0.586628027922538,1
8,29,0.0397461129263128,-1
9,29,0.636705030379046,1
10,29,0.59078997655527,1
11,29,0.501410320650303,1
12,29,0.524755027886295,1
14,29,0.722375131164465,1
15,29,0.76571198100253,1
16,29,0.720490170843286,1
17,29,0.736323412453,1
18,29,0.161997306991754,-1
24,29,0.127259203870318,-1
25,29,0.0969282128496626,-1
26,29,0.708078009906479,1
27,29,0.504297789595505,1
1,30,0.13791501291262,-1
3,30,0.102717955976366,-1
4,30,0.112464687110682,-1
9,30,0.027481049440679,-1
10,30,0.0206753579720417,-1
12,30,0.125669749541849,-1
13,30,0.635899452426076,1
14,30,0.108843887229714,-1
15,30,0.102747657131491,-1
16,30,0.124298037348583,-1
17,30,0.129496774144233,-1
18,30,0.50535246742274,1
20,30,0.617874050624802,1
23,30,0.152974547320416,-1
26,30,0.111664812694192,-1
28,30,0.586909656873062,1
29,30,0.118143598801862,-1
1,31,0.529448887643911,1
3,31,0.63689218858422,1
4,31,0.616267249371058,1
5,31,0.677047505833846,1
7,31,0.0846892309951638,-1
8,31,0.163175285137368,-1
9,31,0.63720362390448,1
10,31,0.617242982693129,1
11,31,0.641788617356135,1
13,31,0.0459621720431237,-1
14,31,0.635866210865599,1
15,31,0.657527958619326,1
16,31,0.584770963575192,1
17,31,0.600016951377802,1
20,31,0.0500412015793859,-1
26,31,0.635258108962487,1
27,31,0.620598158769381,1
28,31,0.0739116127312374,-1
29,31,0.623426422707478,1
30,31,0.0562822491903144,-1
5,32,0.162553523675856,-1
1,33,0.032607834695731,-1
5,33,0.118213504576275,-1
7,33,0.776216349074513,1
9,33,0.138948291045178,-1
10,33,0.148206474549692,-1
11,33,0.11047630553433,-1
13,33,0.805571346877304,1
20,33,0.763949947466261,1
24,33,0.110595372684101,-1
25,33,0.136365921333932,-1
27,33,0.110020474387931,-1
28,33,0.689929510987801,1
30,33,0.627346597895433,1
31,33,0.0471315530105018,-1
3,34,0.752428435927628,1
4,34,0.637693749295405,1
5,34,0.548572792759914,1
6,34,0.154247478070286,-1
8,34,0.0357449583580053,-1
9,34,0.641759847747628,1
10,34,0.59083061908578,1
12,34,0.555936525816026,1
14,34,0.723236576029232,1
15,34,0.760730919808599,1
16,34,0.692233676775728,1
17,34,0.726129199674185,1
24,34,0.113491296731455,-1
25,34,0.0969897339812499,-1
26,34,0.787582971681498,1
27,34,0.458150281148206,1
29,34,0.72516787885247,1
30,34,0.112316102774742,-1
31,34,0.610408530747702,1
5,35,0.153611585085757,-1
6,35,0.0423859842583603,-1
7,35,0.596598556524013,1
8,35,0.141974908545992,-1
9,35,0.546064200265605,1
10,35,0.585600880441505,1
11,35,0.0994001775957706,-1
12,35,0.832511767569855,1
18,35,0.0407223979139829,-1
22,35,0.0829953017544464,-1
23,35,0.467957024262978,1
24,35,0.120370800985563,-1
27,35,0.104019783181667,-1
30,35,0.159006052616264,-1
1,36,0.476524394787861,1
3,36,0.159244543001495,-1
6,36,0.718979804046794,1
7,36,0.101062014072117,-1
8,36,0.552757238009561,1
9,36,0.103225618051304,-1
10,36,0.0963283516990679,-1
11,36,0.496420662637904,1
12,36,0.0224830950057755,-1
18,36,0.696431458765613,1
22,36,0.61774387888347,1
24,36,0.582274354884777,1
25,36,0.511050151262813,1
27,36,0.489646241663987,1
30,36,0.472296859027103,1
34,36,0.147859518997263,-1
35,36,0.032505919286271,-1
13,37,0.469248256903577,1
20,37,0.489221931642478,1
19,38,0.466381398844407,1
1,40,0.472153779912065,1
6,40,0.746927209437982,1
7,40,0.0968993640410495,-1
8,40,0.524676856742017,1
9,40,0.105401387174949,-1
10,40,0.0989514221220799,-1
11,40,0.549014900297627,1
12,40,0.0197492220531895,-1
18,40,0.722761906974451,1
22,40,0.579075374310041,1
24,40,0.574782089175541,1
25,40,0.506347886519362,1
27,40,0.531866334350029,1
30,40,0.474503563742935,1
34,40,0.156972524254276,-1
35,40,0.0152979782555616,-1
36,40,0.7481543269538,1
1,41,0.452410147308475,1
6,41,0.655650344053218,1
7,41,0.106822214062632,-1
8,41,0.551580815760071,1
9,41,0.114436065038356,-1
10,41,0.101154703309228,-1
11,41,0.50414006077303,1
12,41,0.0349229105900952,-1
17,41,0.155964605349823,-1
