"from","to","weight","association"
1,2,0.747679166934769,1
1,5,0.0586681073688915,-1
2,5,0.0783412830487666,-1
3,5,0.162137664167738,-1
5,7,0.527852533162115,1
1,8,0.0620018711935328,-1
2,8,0.081068027429796,-1
3,8,0.160219975284323,-1
4,8,0.147464053544949,-1
5,8,0.805569691335352,1
7,8,0.623963171648547,1
1,9,0.109946805371927,-1
2,9,0.0946481212925622,-1
5,9,0.500845495266821,1
7,9,0.699286248584475,1
8,9,0.585403604738905,1
5,10,0.105967377967155,-1
8,10,0.126351775582197,-1
2,11,0.473941342011834,1
7,11,0.530732676186586,1
10,11,0.151168872900928,-1
7,12,0.118900274417679,-1
9,12,0.128591352060951,-1
11,12,0.0588868941421997,-1
5,13,0.12989513315405,-1
10,13,0.487534985515105,1
1,14,0.0311140917540763,-1
2,14,0.0222386128121669,-1
5,14,0.722413952825134,1
7,14,0.564023808988008,1
8,14,0.734839206297085,1
9,14,0.675232945842223,1
5,15,0.143419211686726,-1
10,15,0.500011084851194,1
1,16,0.657511716296257,1
2,16,0.684420373697009,1
5,16,0.073700539879183,-1
8,16,0.0820083651847676,-1
9,16,0.104705447567009,-1
11,16,0.465929002189605,1
14,16,0.0373893172391748,-1
15,16,0.468134411287333,1
5,17,0.144579935380612,-1
8,17,0.153146439156768,-1
10,17,0.488752442683297,1
1,18,0.645801237066078,1
2,18,0.552357693013412,1
4,18,0.464028023110722,1
5,18,0.0116067446868593,-1
7,18,0.145027096835733,-1
8,18,0.0284913973560459,-1
10,18,0.650039960520141,1
13,18,0.483086363330246,1
14,18,0.0757036923026105,-1
15,18,0.511314632788874,1
16,18,0.594976525089639,1
17,18,0.465084089394395,1
8,19,0.15753720045381,-1
18,19,0.475497372946289,1
5,20,0.147908837393552,-1
8,20,0.150179148382508,-1
18,20,0.482445476196073,1
10,21,0.475976848280734,1
18,21,0.513757403600456,1
18,22,0.462908078223874,1
1,23,0.761781666355725,1
2,23,0.727086895923271,1
5,23,0.0412046019826511,-1
8,23,0.0652595403908186,-1
11,23,0.509398860237439,1
12,23,0.137431048295869,-1
14,23,0.0402242302522053,-1
15,23,0.453114453743384,1
16,23,0.710753800562936,1
18,23,0.691947285080395,1
5,24,0.156771107994475,-1
8,24,0.156640121632087,-1
10,24,0.489890546926068,1
18,24,0.508756752237696,1
5,25,0.132696256181765,-1
9,25,0.464677830762676,1
10,25,0.484097567887805,1
11,25,0.518829667223965,1
12,25,0.0657706417318075,-1
18,25,0.563912186407088,1
23,25,0.606282704936519,1
1,26,0.573891291455001,1
2,26,0.715376276789419,1
9,26,0.10886406792925,-1
10,26,0.132071559367411,-1
11,26,0.584630817909244,1
14,26,0.079374834319116,-1
16,26,0.605638404480836,1
23,26,0.540916329493147,1
7,27,0.162081302447049,-1
1,28,0.45762516384968,1
3,28,0.474222312815484,1
4,28,0.464978893803525,1
5,28,0.0649856533306237,-1
7,28,0.0435191558477221,-1
8,28,0.0473813081356877,-1
9,28,0.111429782062583,-1
10,28,0.614295797678732,1
11,28,0.107317060800826,-1
14,28,0.117373595927407,-1
17,28,0.454542519595515,1
18,28,0.65262320112036,1
24,28,0.453303780337374,1
5,29,0.100600653141842,-1
7,29,0.150840586417304,-1
8,29,0.103730696954291,-1
10,29,0.509117541135784,1
14,29,0.156045276749204,-1
18,29,0.57000706880481,1
23,29,0.476420771207813,1
28,29,0.474779861167189,1
5,30,0.156544976375654,-1
8,30,0.153831423319728,-1
18,30,0.498102943337174,1
28,30,0.481802760744544,1
10,31,0.458410394584893,1
1,32,0.0558213909614531,-1
2,32,0.0919500984170517,-1
3,32,0.1591111298821,-1
5,32,0.873997467477266,1
7,32,0.522323634598699,1
8,32,0.809706201906225,1
9,32,0.483654203633614,1
10,32,0.0955455709648452,-1
13,32,0.154355964657272,-1
14,32,0.71579777508407,1
15,32,0.131988021350654,-1
16,32,0.0795792548069278,-1
17,32,0.152220285066309,-1
18,32,0.01315709034975,-1
20,32,0.137802696425168,-1
21,32,0.138727012878262,-1
23,32,0.04034790001823,-1
25,32,0.135618738356735,-1
28,32,0.0668540427007854,-1
29,32,0.0985531716436152,-1
30,32,0.142824012861098,-1
5,33,0.127831610083962,-1
8,33,0.119856106187353,-1
10,33,0.456226504899375,1
14,33,0.145634210646883,-1
18,33,0.526886125796179,1
23,33,0.458806042719049,1
28,33,0.475076959188616,1
32,33,0.105084524084466,-1
1,34,0.06351477290899,-1
2,34,0.0309674874011433,-1
5,34,0.512785142919414,1
7,34,0.466196928581404,1
8,34,0.531217354109545,1
9,34,0.691941947608815,1
11,34,0.162369429203258,-1
14,34,0.773705350055735,1
16,34,0.0505376526496281,-1
23,34,0.0824221989213659,-1
26,34,0.020296391439526,-1
32,34,0.501003726083054,1
5,36,0.134306531524073,-1
8,36,0.141832625137533,-1
10,36,0.51129752336322,1
18,36,0.526675867144047,1
28,36,0.473716673873768,1
32,36,0.127655421230413,-1
5,37,0.470531607703863,1
7,37,0.704135239180436,1
8,37,0.557107054647138,1
9,37,0.697047698980196,1
11,37,0.513337489431671,1
12,37,0.11285278404254,-1
14,37,0.498908801015764,1
