"index","lable","cluster","hubs","degree"
1,"Deinobacterium",3,0,0.400990099009901
2,"Deinococcus",3,0,0.371287128712871
3,"Ilumatobacter",2,0,0.113861386138614
4,"Planktophila",2,0,0.103960396039604
5,"Trueperella",1,1,0.747524752475248
6,"Beutenbergia",1,0,0.0099009900990099
7,"Serinibacter",1,0,0.301980198019802
8,"Brevibacterium",1,0,0.702970297029703
9,"Corynebacterium",1,0,0.376237623762376
10,"Devriesea",2,0,0.584158415841584
11,"Helcobacillus",3,0,0.297029702970297
12,"Dietzia",4,0,0.158415841584158
13,"Blastococcus",2,0,0.138613861386139
14,"Millisia",1,0,0.47029702970297
15,"Arsenicicoccus",3,0,0.212871287128713
16,"Kribbia",3,0,0.391089108910891
17,"Ornithinicoccus",2,0,0.198019801980198
18,"Ornithinimicrobium",3,0,0.772277227722772
19,"Tetrasphaera",1,0,0.133663366336634
20,"Kineosporia",1,0,0.183168316831683
21,"Herbiconiux",2,0,0.168316831683168
22,"Leifsonia",2,0,0.108910891089109
23,"Arthrobacter",3,0,0.485148514851485
24,"Kocuria",2,0,0.188118811881188
25,"Micrococcus",3,0,0.326732673267327
26,"Rothia",3,0,0.277227722772277
27,"Marmoricola",1,0,0.0148514851485149
28,"Nocardioides",2,0,0.579207920792079
29,"Luteimicrobium",2,0,0.287128712871287
30,"Brooklawnia",2,0,0.198019801980198
31,"Sanguibacter",2,0,0.0198019801980198
32,"Aeriscardovia",1,1,0.727722772277228
33,"Alloscardovia",2,0,0.262376237623762
34,"Bifidobacterium",1,0,0.381188118811881
35,"Collinsella",2,0,0.0643564356435644
36,"Eggerthella",2,0,0.237623762376238
37,"Enterococcus",1,0,0.237623762376238
38,"Olsenella",1,0,0.653465346534653
39,"Nitriliruptor",2,0,0.554455445544555
40,"Gaiella",1,0,0.099009900990099
41,"Solirubrobacter",2,0,0.0445544554455446
42,"Rubricoccus",3,0,0.400990099009901
43,"Terrimonas",3,0,0.391089108910891
44,"Trachelomonas",2,0,0.237623762376238
45,"Barnesiella",1,0,0.732673267326733
46,"Butyricimonas",1,0,0.0940594059405941
47,"[Prevotella]",4,0,0.158415841584158
48,"CF231",1,0,0.752475247524752
49,"YRC22",4,0,0.183168316831683
50,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.678217821782178
51,"Dysgonomonas",1,0,0.193069306930693
52,"Macellibacteroides",1,0,0.673267326732673
53,"Parabacteroides",1,0,0.198019801980198
54,"Petrimonas",1,0,0.594059405940594
55,"Prevotella",1,0,0.301980198019802
56,"Alistipes",1,0,0.732673267326733
