"from","to","weight","association"
3,5,0.488083851867268,1
5,6,0.520165116746543,1
3,7,0.500183791661374,1
5,7,0.459523262630392,1
7,9,0.674413096198406,1
4,10,0.486939211639796,1
5,10,0.463802383508971,1
7,10,0.671315746987939,1
9,10,0.633943743213485,1
7,12,0.700938078153531,1
9,12,0.543131153200986,1
10,12,0.60971572004471,1
3,13,0.545553851172472,1
4,13,0.468867619159563,1
7,13,0.45592166852107,1
3,14,0.546850709023795,1
4,14,0.535455539123792,1
5,14,0.473387721218148,1
7,14,0.589987629934393,1
9,14,0.549019747518727,1
10,14,0.521368754835542,1
13,14,0.582666086290619,1
4,16,0.507721383178112,1
5,16,0.521841648813641,1
6,16,0.494564139030354,1
7,16,0.536155689121189,1
9,16,0.519965999382476,1
10,16,0.542575871009754,1
12,16,0.478715657946871,1
14,16,0.599576794423668,1
3,17,0.161055553749093,-1
5,17,0.15329948258641,-1
7,17,0.110530468814707,-1
10,17,0.102076157611621,-1
12,17,0.108467207426226,-1
14,17,0.139840981133925,-1
16,17,0.101793700729135,-1
3,18,0.551056760986279,1
5,18,0.497604182202123,1
7,18,0.684139670547147,1
9,18,0.509850496937995,1
10,18,0.609705405130201,1
12,18,0.630176644373126,1
13,18,0.514659925860641,1
14,18,0.565187415422763,1
16,18,0.581525698480602,1
17,18,0.0524994775115556,-1
2,20,0.534015178900451,1
4,21,0.458131167508271,1
5,21,0.460315863879344,1
7,21,0.650819406231802,1
9,21,0.553329956697937,1
10,21,0.679140573802865,1
12,21,0.601998211053899,1
14,21,0.505756923540164,1
16,21,0.568352293253271,1
17,21,0.0867484146411889,-1
18,21,0.627904376692194,1
6,25,0.16330631815388,-1
15,25,0.134645367962322,-1
22,25,0.144238152000583,-1
4,26,0.492238400919677,1
24,27,0.467813413519968,1
11,28,0.155593863658412,-1
24,28,0.564274411177248,1
27,28,0.535186325839073,1
3,29,0.150483183704522,-1
7,29,0.0923501269110297,-1
10,29,0.124424224186489,-1
12,29,0.114984507392183,-1
14,29,0.155196028447599,-1
16,29,0.151917891990544,-1
17,29,0.624943357225274,1
18,29,0.0487709326748501,-1
21,29,0.120542852736298,-1
28,29,0.16163120442852,-1
3,30,0.16269928423784,-1
7,30,0.109677288998627,-1
12,30,0.147720233106415,-1
13,30,0.156747285875321,-1
14,30,0.137234116991873,-1
16,30,0.116025706025556,-1
17,30,0.561401724423125,1
18,30,0.0522302682060625,-1
21,30,0.14346047006013,-1
28,30,0.139507050902399,-1
29,30,0.629987854531431,1
18,31,0.488731198946636,1
24,31,0.502228768310777,1
27,31,0.463872513440011,1
28,31,0.586821081325461,1
29,31,0.137365315490431,-1
30,31,0.116158667910152,-1
4,32,0.475089560338563,1
26,32,0.519510460883466,1
5,33,0.480101544166471,1
11,33,0.154880155151419,-1
16,33,0.477414313818234,1
24,33,0.488198891446127,1
27,33,0.456317665961964,1
28,33,0.519070626766467,1
30,33,0.156076297827712,-1
31,33,0.531405454596901,1
1,34,0.499205995618025,1
16,34,0.548373144842745,1
17,34,0.130509748129737,-1
18,34,0.472925810319558,1
21,34,0.476572295024831,1
30,34,0.156746136856078,-1
31,34,0.497764713554754,1
33,34,0.452942646348824,1
2,35,0.154080301938043,-1
24,36,0.49961928140188,1
27,36,0.504924633348016,1
28,36,0.568383513619137,1
30,36,0.163163267230479,-1
31,36,0.532076308050029,1
33,36,0.512992240732931,1
3,38,0.623449688739746,1
13,38,0.454641232623972,1
14,38,0.490220884834017,1
18,38,0.495713220228837,1
27,38,0.535537253288435,1
28,38,0.473013462366976,1
29,38,0.144214079057972,-1
33,38,0.461109274625876,1
24,39,0.485504661904987,1
27,39,0.557212324468877,1
28,39,0.535025715880157,1
29,39,0.161910293909984,-1
31,39,0.551852693711212,1
33,39,0.571727380009668,1
36,39,0.555136591252592,1
38,39,0.510963219136015,1
3,40,0.453692172797858,1
5,40,0.527416380478105,1
6,40,0.507705057959686,1
7,40,0.511735193681592,1
9,40,0.47116601357691,1
10,40,0.479984868679722,1
12,40,0.487844003362462,1
14,40,0.486889875394839,1
16,40,0.643076295852425,1
17,40,0.108430336295876,-1
18,40,0.537108617765284,1
19,40,0.159704305360304,-1
21,40,0.525387036569737,1
29,40,0.145922807499587,-1
30,40,0.12757106922961,-1
31,40,0.488294043059311,1
33,40,0.551691640301949,1
34,40,0.564506787557349,1
39,40,0.506980053379243,1
2,41,0.557378335997771,1
20,41,0.581820603891143,1
35,41,0.159276787202465,-1
3,42,0.162293486381824,-1
7,42,0.147348166491051,-1
10,42,0.151563361844354,-1
12,42,0.144050972053588,-1
17,42,0.621779896217839,1
18,42,0.0627033756561608,-1
27,42,0.155054959727506,-1
28,42,0.145767798379536,-1
29,42,0.654944138329373,1
30,42,0.577397167067318,1
31,42,0.157035898895321,-1
38,42,0.150788918573588,-1
39,42,0.161717821355663,-1
4,43,0.464441781872632,1
10,43,0.53409474056163,1
14,43,0.47504512944695,1
26,43,0.490877993354614,1
32,43,0.530527530802255,1
4,44,0.464261936087268,1
7,44,0.508478065881066,1
9,44,0.546989520522116,1
10,44,0.573929078262506,1
16,44,0.506487587915921,1
18,44,0.486177799655403,1
21,44,0.536185351218263,1
3,45,0.141755108112916,-1
7,45,0.0955888582124416,-1
10,45,0.117391990205999,-1
12,45,0.105436549557475,-1
14,45,0.149416756025608,-1
16,45,0.147252015596707,-1
17,45,0.675085614508484,1
18,45,0.0377428675534692,-1
21,45,0.113834920815613,-1
29,45,0.704240191477843,1
30,45,0.632230922120799,1
31,45,0.142590707942656,-1
38,45,0.14473926433121,-1
40,45,0.147808442543049,-1
42,45,0.71764273111784,1
3,46,0.141243450974161,-1
7,46,0.0927770478004711,-1
9,46,0.151553471355625,-1
10,46,0.12568574072217,-1
12,46,0.132019133561713,-1
14,46,0.139682569916139,-1
16,46,0.149604308661445,-1
17,46,0.600683177509073,1
18,46,0.0521606650383989,-1
21,46,0.129767941658461,-1
29,46,0.637802838557393,1
30,46,0.606725651322634,1
31,46,0.138965910422457,-1
38,46,0.139132841716913,-1
40,46,0.14328301934512,-1
42,46,0.623394210700788,1
45,46,0.684840946586198,1
3,47,0.140232327562604,-1
7,47,0.0973823851180107,-1
10,47,0.123365964160923,-1
12,47,0.112430514945293,-1
14,47,0.148827676094703,-1
16,47,0.150238433654923,-1
17,47,0.640669184769458,1
18,47,0.0435747798151912,-1
21,47,0.116303278713307,-1
28,47,0.15592328476398,-1
29,47,0.674882431589096,1
30,47,0.630555593167226,1
31,47,0.128867820628548,-1
38,47,0.132693090082242,-1
39,47,0.152484623173679,-1
40,47,0.145622982312702,-1
42,47,0.692727829859588,1
45,47,0.733913132278643,1
46,47,0.670283779178436,1
7,48,0.11608582934052,-1
10,48,0.131379317955932,-1
12,48,0.111787926098112,-1
17,48,0.656533670126976,1
18,48,0.0512743262474789,-1
21,48,0.130896846613986,-1
28,48,0.148298841848013,-1
29,48,0.701770375549439,1
30,48,0.632929056805053,1
31,48,0.120544116030722,-1
34,48,0.153231963947975,-1
36,48,0.157955632352511,-1
39,48,0.155687772264937,-1
40,48,0.160706543496944,-1
42,48,0.734660551687619,1
45,48,0.742024358828497,1
46,48,0.664942618099727,1
47,48,0.725529063227585,1
7,49,0.0941801704930486,-1
9,49,0.152232297604353,-1
10,49,0.149994316487103,-1
12,49,0.15402468755403,-1
14,49,0.135702910570704,-1
16,49,0.158285365545767,-1
17,49,0.541953334122588,1
18,49,0.0867705217683205,-1
21,49,0.147455045287009,-1
29,49,0.576392816883035,1
30,49,0.579924309090821,1
31,49,0.153414192819895,-1
38,49,0.150068957243588,-1
40,49,0.150528694314576,-1
42,49,0.55018759430737,1
45,49,0.59241265412961,1
46,49,0.600345513668904,1
47,49,0.586300866466095,1
48,49,0.584786715976937,1
4,50,0.130084129387355,-1
10,50,0.141238412041875,-1
24,50,0.452847988946756,1
26,50,0.154912146813457,-1
28,50,0.477147941314354,1
36,50,0.453294997345681,1
43,50,0.144759439580108,-1
3,51,0.471618817596332,1
5,51,0.534318779965492,1
6,51,0.459388637096325,1
7,51,0.560488785264817,1
8,51,0.465181717437205,1
9,51,0.494319164692367,1
10,51,0.552298636197285,1
12,51,0.498235851487848,1
16,51,0.466871400614707,1
18,51,0.536008197638108,1
21,51,0.530383227930853,1
30,51,0.160096594350602,-1
44,51,0.524138579967138,1
50,51,0.163206181285651,-1
4,52,0.475979924266988,1
7,52,0.495189643858138,1
13,52,0.624289639534652,1
14,52,0.492964283675026,1
18,52,0.560931571041177,1
29,52,0.144786860961269,-1
30,52,0.120384904371237,-1
42,52,0.139309027059854,-1
45,52,0.135528900062536,-1
46,52,0.154420586845431,-1
47,52,0.150698475790775,-1
48,52,0.151534085989838,-1
19,53,0.460090205505826,1
32,53,0.476787698546306,1
36,53,0.148745189268049,-1
39,53,0.149026546438757,-1
43,53,0.481925380599216,1
50,53,0.124907687787382,-1
3,54,0.527384157076251,1
4,54,0.51171381900185,1
5,54,0.541091653021733,1
6,54,0.468594273801273,1
7,54,0.722219611395531,1
9,54,0.564337215432082,1
10,54,0.628687379607557,1
12,54,0.678222685404198,1
13,54,0.504437071703402,1
14,54,0.6310907951785,1
16,54,0.646585252863398,1
17,54,0.0815496400442857,-1
18,54,0.738870813366951,1
21,54,0.635033211972122,1
29,54,0.101010730755507,-1
