"index","lable","cluster","hubs","degree"
1,"Deinococcus",1,0,0.0247524752475248
2,"Ilumatobacter",5,0,0.0148514851485149
3,"Trueperella",1,0,0.198019801980198
4,"Beutenbergia",1,0,0.103960396039604
5,"Serinibacter",1,0,0.108910891089109
6,"Brevibacterium",1,0,0.0445544554455446
7,"Corynebacterium",1,0,0.272277227722772
8,"Devriesea",2,0,0.0297029702970297
9,"Helcobacillus",1,0,0.163366336633663
10,"Dietzia",1,0,0.237623762376238
11,"Blastococcus",2,0,0.0198019801980198
12,"Millisia",1,0,0.222772277227723
13,"Kribbia",1,0,0.108910891089109
14,"Ornithinimicrobium",1,0,0.232673267326733
15,"Leifsonia",4,0,0.0198019801980198
16,"Arthrobacter",1,0,0.252475247524752
17,"Kocuria",3,0,0.232673267326733
18,"Micrococcus",1,0,0.326732673267327
19,"Rothia",2,0,0.0346534653465347
20,"Marmoricola",5,0,0.0297029702970297
21,"Nocardioides",1,0,0.242574257425743
22,"Luteimicrobium",2,0,0.00495049504950495
23,"Brooklawnia",5,0,0.0099009900990099
24,"Aeriscardovia",2,0,0.099009900990099
25,"Bifidobacterium",2,0,0.099009900990099
26,"Eggerthella",1,0,0.0396039603960396
27,"Enterococcus",2,0,0.103960396039604
28,"Olsenella",2,0,0.207920792079208
29,"Terrimonas",3,1,0.292079207920792
30,"Trachelomonas",3,0,0.326732673267327
31,"Barnesiella",2,0,0.287128712871287
32,"[Prevotella]",1,0,0.0495049504950495
33,"CF231",2,0,0.173267326732673
34,"YRC22",1,0,0.118811881188119
35,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",3,0,0.0445544554455446
36,"Macellibacteroides",2,0,0.133663366336634
37,"Parabacteroides",1,0,0.00495049504950495
38,"Petrimonas",1,0,0.207920792079208
39,"Prevotella",2,0,0.188118811881188
40,"Alistipes",1,0,0.297029702970297
41,"Rhodocytophaga",5,0,0.0396039603960396
42,"Elizabethkingia",3,0,0.257425742574257
43,"Weeksella",1,0,0.0940594059405941
44,"Flavobacterium",1,0,0.0940594059405941
45,"Nonlabens",3,1,0.292079207920792
46,"Persicivirga",3,1,0.287128712871287
47,"Mucilaginibacter",3,1,0.292079207920792
48,"Pedobacter",3,1,0.272277227722772
49,"Sphingobacterium",3,0,0.222772277227723
50,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.118811881188119
51,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.113861386138614
52,"Kurthia",1,0,0.173267326732673
53,"Staphylococcus",2,0,0.118811881188119
54,"Macrococcus",1,0,0.301980198019802
55,"Haloplasma",2,0,0.0198019801980198
56,"Alkalibacterium",2,0,0.0643564356435644
57,"Atopococcus",1,0,0.202970297029703
58,"Atopostipes",1,0,0.222772277227723
59,"Granulicatella",1,0,0.311881188118812
60,"Lacticigenium",1,0,0.0594059405940594
61,"Isobaculum",2,0,0.0891089108910891
62,"Lactobacillus",2,0,0.103960396039604
63,"Pediococcus",2,0,0.113861386138614
64,"Weissella",2,0,0.163366336633663
65,"Lactococcus",3,0,0.217821782178218
66,"Streptococcus",3,0,0.242574257425743
67,"Guggenheimella",1,0,0.0544554455445545
68,"Gallicola",2,0,0.00495049504950495
69,"GW-34",1,0,0.247524752475248
70,"Helcococcus",1,0,0.0792079207920792
71,"ph2",1,0,0.188118811881188
72,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.188118811881188
73,"Butyrivibrio",2,0,0.113861386138614
