"from","to","weight","association"
2,3,0.567001706216691,1
2,4,0.110623092115312,-1
2,5,0.527275876133172,1
3,5,0.523126817985733,1
1,6,0.583692035548886,1
4,6,0.153919798953284,-1
5,6,0.500716618719103,1
1,7,0.483940831620743,1
2,7,0.502632934713754,1
3,7,0.473501594739488,1
4,7,0.0896485515639021,-1
5,7,0.592801402414965,1
6,7,0.767031393442929,1
1,8,0.640968690347322,1
6,8,0.513211100787535,1
2,9,0.504386659411967,1
4,9,0.0712718223903809,-1
5,9,0.496345277260027,1
6,9,0.453373640375199,1
7,9,0.617316186097384,1
2,10,0.701349992844978,1
3,10,0.529046394128111,1
4,10,0.146712294507039,-1
5,10,0.607569404609855,1
7,10,0.516655189776964,1
9,10,0.505530402446536,1
1,11,0.550780337025647,1
4,11,0.117216263867667,-1
5,11,0.549395960818025,1
6,11,0.826057287026178,1
7,11,0.818341579805266,1
8,11,0.49529945495608,1
9,11,0.565485612035191,1
4,12,0.615133154683764,1
9,12,0.0437182080922994,-1
1,13,0.103410886964725,-1
2,13,0.502380178469047,1
6,13,0.123966007314045,-1
8,13,0.106497135617225,-1
9,13,0.503258455385255,1
10,13,0.461164891195703,1
12,13,0.115504455226942,-1
4,14,0.607224407292993,1
7,14,0.155391197479941,-1
9,14,0.0288751652809884,-1
12,14,0.732436386821966,1
13,14,0.112269154912738,-1
1,15,0.470051370145101,1
4,15,0.0873036575794254,-1
5,15,0.453812832214292,1
6,15,0.501767722802017,1
7,15,0.62483052575881,1
9,15,0.846142912638568,1
11,15,0.618778244170113,1
12,15,0.0526972288034753,-1
14,15,0.0377791696437916,-1
2,16,0.0383443894171682,-1
3,16,0.133719799381705,-1
4,16,0.597781678520592,1
10,16,0.100817211421146,-1
12,16,0.45516777801933,1
13,16,0.135816112605316,-1
14,16,0.453462031428599,1
1,17,0.654083216783618,1
6,17,0.581328443072822,1
7,17,0.498384754538567,1
8,17,0.576067543465541,1
11,17,0.542687402750458,1
13,17,0.127219458587222,-1
15,17,0.466570779950364,1
2,18,0.665323286390098,1
3,18,0.558705389182232,1
5,18,0.613777314960253,1
7,18,0.517616080824998,1
9,18,0.458159888822248,1
10,18,0.654008451951118,1
16,18,0.107640234157515,-1
2,19,0.540376003462651,1
4,19,0.0676665169549293,-1
6,19,0.620427903460576,1
7,19,0.650506386184541,1
9,19,0.464435660802306,1
11,19,0.617769798793063,1
16,19,0.101930264198982,-1
2,20,0.591700868283342,1
4,20,0.100347732628438,-1
12,20,0.157976139001881,-1
13,20,0.536141304090104,1
16,20,0.0276629690108282,-1
19,20,0.513357715784736,1
4,21,0.471957776354519,1
6,21,0.113300221478408,-1
7,21,0.143137915039269,-1
11,21,0.152769076513898,-1
16,21,0.494750692342911,1
19,21,0.0496582236439052,-1
6,22,0.120774784474759,-1
7,22,0.133083167200537,-1
11,22,0.135860702899171,-1
16,22,0.474207086977815,1
19,22,0.0707912994809836,-1
21,22,0.650637568835305,1
1,23,0.650819981684733,1
6,23,0.550877804662641,1
8,23,0.59573382208255,1
11,23,0.534383776666916,1
13,23,0.120503953851702,-1
17,23,0.580232905068999,1
1,24,0.156882004417041,-1
5,24,0.504857745828738,1
8,24,0.148178483802716,-1
9,24,0.463396856616444,1
10,24,0.454016473007976,1
13,24,0.611672213310227,1
18,24,0.455592159884671,1
19,24,0.145060402744108,-1
21,24,0.545727882856107,1
22,24,0.498395272322397,1
23,24,0.139752191977106,-1
5,25,0.0899067803280291,-1
20,25,0.560466143541182,1
5,26,0.0659724069347478,-1
6,26,0.160603328492692,-1
7,26,0.161344269130786,-1
16,26,0.151528557519199,-1
20,26,0.571328695622046,1
24,26,0.157774071953866,-1
25,26,0.64088831236402,1
2,27,0.101858949341502,-1
15,27,0.457565882334851,1
16,27,0.621556015908873,1
18,27,0.141686935130462,-1
19,27,0.119222996445803,-1
20,27,0.111751298855194,-1
21,27,0.618148663905269,1
22,27,0.584980946282831,1
1,28,0.149762783838042,-1
6,28,0.157488610830777,-1
13,28,0.596612185274356,1
17,28,0.161616705562729,-1
19,28,0.140006852266089,-1
21,28,0.537184991783131,1
22,28,0.528096451879599,1
23,28,0.15216678852626,-1
24,28,0.709932984332498,1
2,29,0.483889168285374,1
4,29,0.0597315521824785,-1
6,29,0.514453239333152,1
7,29,0.535207207665395,1
11,29,0.514947094924357,1
12,29,0.155808354711031,-1
14,29,0.15970166573835,-1
16,29,0.0978274184663198,-1
19,29,0.827720445770278,1
20,29,0.588327317299396,1
21,29,0.0749184584281927,-1
22,29,0.0994659135977132,-1
24,29,0.120328343159112,-1
25,29,0.477574657882488,1
26,29,0.480654178724807,1
27,29,0.141794043957609,-1
28,29,0.12797000767644,-1
2,30,0.162014225873631,-1
3,30,0.161295217915084,-1
5,30,0.0583619307201957,-1
9,30,0.134662124520091,-1
10,30,0.108597590340822,-1
13,30,0.127141896277199,-1
18,30,0.10704610591273,-1
24,30,0.0428027199482505,-1
25,30,0.493493102319412,1
26,30,0.552606550985732,1
28,30,0.0678713732687832,-1
29,30,0.470371211492774,1
1,31,0.15903770922912,-1
2,31,0.546658015054635,1
3,31,0.53759665240285,1
5,31,0.629278601720528,1
8,31,0.158072704612501,-1
9,31,0.522958124510694,1
10,31,0.613243575885145,1
13,31,0.548065184242705,1
18,31,0.59966266930921,1
24,31,0.617631221968579,1
26,31,0.142307901749005,-1
28,31,0.57440241092823,1
30,31,0.0467339019767554,-1
4,32,0.0893400511081914,-1
9,32,0.597086129437829,1
12,32,0.0482097226891496,-1
13,32,0.513099123068155,1
14,32,0.0384015987722127,-1
15,32,0.589950804535609,1
20,32,0.500199704343186,1
25,32,0.48457543778644,1
26,32,0.489655529848538,1
29,32,0.503268027163341,1
2,33,0.14568726487551,-1
3,33,0.143188944106605,-1
5,33,0.0719910547455991,-1
6,33,0.13658779451635,-1
7,33,0.145000817586643,-1
10,33,0.125258139153254,-1
14,33,0.15401047131634,-1
18,33,0.103237022945722,-1
21,33,0.519736237869754,1
22,33,0.513303862836196,1
25,33,0.510512208150957,1
26,33,0.497683469987528,1
27,33,0.551107822811381,1
32,33,0.616692327642276,1
2,34,0.115108490622911,-1
3,34,0.154631256076299,-1
4,34,0.602352538974858,1
5,34,0.107688069912562,-1
7,34,0.0874577462933614,-1
9,34,0.0105015447541774,-1
10,34,0.110793688914531,-1
11,34,0.109465025109054,-1
12,34,0.672822850342771,1
13,34,0.122661559948827,-1
14,34,0.708329394299726,1
15,34,0.0303213276289377,-1
16,34,0.460214108614895,1
18,34,0.131688619741685,-1
24,34,0.127362180982598,-1
28,34,0.138997728593437,-1
30,34,0.584821510968221,1
31,34,0.0893403435620151,-1
32,34,0.125923829998139,-1
2,35,0.715781045651464,1
3,35,0.564871992294329,1
4,35,0.153860836083279,-1
5,35,0.605611474052902,1
7,35,0.552806180501153,1
9,35,0.504139548712522,1
10,35,0.657301673509269,1
11,35,0.47051232108304,1
16,35,0.0878667413651842,-1
18,35,0.649590768506647,1
19,35,0.477796583024663,1
20,35,0.456686456849064,1
27,35,0.15067708794908,-1
30,35,0.130898518560961,-1
31,35,0.582435576749033,1
33,35,0.0966516625763708,-1
34,35,0.114310093816212,-1
4,36,0.632557340226803,1
7,36,0.151358223171711,-1
9,36,0.0281187996071213,-1
12,36,0.752458221875567,1
13,36,0.105549172468792,-1
14,36,0.818905994758305,1
15,36,0.0416104160347932,-1
16,36,0.459212565665682,1
32,36,0.0346501108082147,-1
33,36,0.159332770611346,-1
34,36,0.731082723551921,1
4,37,0.580727733135203,1
