"index","lable","cluster","hubs","degree"
1,"Deinococcus",3,0,0.188118811881188
2,"Trueperella",1,1,0.351485148514851
3,"Serinibacter",1,0,0.198019801980198
4,"Brevibacterium",2,0,0.316831683168317
5,"Corynebacterium",1,0,0.336633663366337
6,"Helcobacillus",1,0,0.222772277227723
7,"Dietzia",1,0,0.356435643564356
8,"Blastococcus",3,0,0.153465346534653
9,"Millisia",1,1,0.391089108910891
10,"Kribbia",1,0,0.301980198019802
11,"Ornithinimicrobium",1,0,0.242574257425743
12,"Leifsonia",2,0,0.301980198019802
13,"Arthrobacter",1,0,0.356435643564356
14,"Kocuria",2,0,0.326732673267327
15,"Micrococcus",1,0,0.311881188118812
16,"Rothia",4,0,0.292079207920792
17,"Nocardioides",3,0,0.148514851485149
18,"Aeriscardovia",1,0,0.262376237623762
19,"Bifidobacterium",1,0,0.193069306930693
20,"Collinsella",4,0,0.247524752475248
21,"Eggerthella",4,0,0.148514851485149
22,"Enterococcus",4,0,0.123762376237624
23,"Olsenella",3,0,0.148514851485149
24,"Barnesiella",1,0,0.262376237623762
25,"Butyricimonas",4,0,0.173267326732673
26,"[Prevotella]",4,0,0.202970297029703
27,"CF231",4,0,0.198019801980198
28,"YRC22",1,0,0.237623762376238
29,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.232673267326733
30,"Macellibacteroides",4,0,0.316831683168317
31,"Petrimonas",1,1,0.336633663366337
32,"Prevotella",1,0,0.316831683168317
33,"Alistipes",4,0,0.321782178217822
34,"Elizabethkingia",2,0,0.430693069306931
35,"Wautersiella",1,0,0.292079207920792
36,"Nonlabens",2,0,0.311881188118812
37,"Persicivirga",2,0,0.311881188118812
38,"Mucilaginibacter",2,0,0.306930693069307
39,"Pedobacter",2,0,0.306930693069307
40,"Mucispirillum",1,0,0.00495049504950495
41,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",1,0,0.301980198019802
42,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.282178217821782
