"from","to","weight","association"
1,2,0.594803543023628,1
1,4,0.56659849089376,1
2,4,0.473455671795791,1
1,5,0.140398329040437,-1
2,5,0.12365248489938,-1
1,7,0.11062271418169,-1
2,7,0.0944650434040805,-1
5,7,0.495482869727336,1
1,8,0.0942165501221673,-1
2,8,0.0696420796550556,-1
4,8,0.154757262310027,-1
5,8,0.551351702722328,1
7,8,0.628262560389029,1
2,9,0.105687074698054,-1
3,9,0.459014033504524,1
5,10,0.049011388886343,-1
1,11,0.484688743101781,1
2,11,0.498639642683813,1
5,11,0.0807360298187328,-1
10,11,0.498607498956294,1
1,12,0.710230135954362,1
2,12,0.547046815797258,1
4,12,0.54595446155387,1
7,12,0.137302637920982,-1
8,12,0.120581549734693,-1
9,12,0.137033974285731,-1
11,13,0.149460574469733,-1
9,14,0.159541905388503,-1
11,14,0.50885564188843,1
4,17,0.554699733129383,1
10,17,0.140996475912412,-1
1,18,0.552495450453842,1
5,18,0.121212426193716,-1
10,18,0.458714098271984,1
11,18,0.670407992876296,1
13,18,0.146094832367473,-1
15,18,0.15474697639123,-1
16,18,0.160075514252453,-1
2,20,0.136574489660456,-1
11,20,0.0631074205653462,-1
14,20,0.122050602385457,-1
18,20,0.128649065872305,-1
1,21,0.505172685718166,1
4,21,0.628173488971552,1
10,21,0.138662438221133,-1
12,21,0.484254322635369,1
17,21,0.632616734829877,1
20,22,0.454037389078967,1
1,23,0.81304862061485,1
2,23,0.542676751672728,1
4,23,0.556102046349092,1
5,23,0.126270604438157,-1
7,23,0.115705918109299,-1
8,23,0.0959474949508492,-1
11,23,0.502907059968385,1
12,23,0.720436813989798,1
18,23,0.561466329077644,1
20,23,0.161844199467559,-1
21,23,0.454432255046729,1
1,24,0.666610058416526,1
2,24,0.546199084201451,1
5,24,0.0578001708025446,-1
7,24,0.122529589378781,-1
8,24,0.103130288920581,-1
10,24,0.525574823620909,1
11,24,0.599939803345701,1
12,24,0.604815605072825,1
18,24,0.547197942384806,1
20,24,0.160325259718234,-1
23,24,0.743964211428775,1
1,25,0.573167341062998,1
2,25,0.526243512404447,1
5,25,0.155938416745779,-1
11,25,0.68265178368521,1
13,25,0.112631776567591,-1
18,25,0.77188461236212,1
19,25,0.156718788635796,-1
20,25,0.0718131502547444,-1
22,25,0.152149077332106,-1
23,25,0.551361477234256,1
24,25,0.512471966731636,1
1,26,0.544167810992715,1
2,26,0.464894599281978,1
3,26,0.471145795934863,1
5,26,0.0989305246803109,-1
7,26,0.119883262203053,-1
8,26,0.112865475664996,-1
9,26,0.468777509692971,1
10,26,0.490704834563562,1
11,26,0.491174333899063,1
18,26,0.705834449594446,1
23,26,0.537375562330769,1
24,26,0.525744811245972,1
25,26,0.615668443973102,1
11,27,0.160913898509307,-1
18,27,0.156184402375172,-1
1,28,0.460173625065041,1
11,28,0.514045813885231,1
13,28,0.156147356724524,-1
18,28,0.689587140749618,1
20,28,0.131950381064619,-1
25,28,0.737492297574986,1
26,28,0.591249706229473,1
18,30,0.163153559826483,-1
11,31,0.149265057443484,-1
18,31,0.136264499578239,-1
20,31,0.456206338842229,1
25,31,0.150372120476155,-1
1,32,0.137649354167525,-1
4,32,0.151450758997778,-1
7,32,0.467419225890624,1
8,32,0.510356882626939,1
14,32,0.633917818785774,1
17,32,0.142005254534484,-1
18,32,0.138142141172782,-1
21,32,0.129471466303478,-1
23,32,0.146557171702553,-1
26,32,0.0605140980172872,-1
28,32,0.13127593188253,-1
25,33,0.16115370496708,-1
4,34,0.115840573179073,-1
8,34,0.464756805825383,1
11,34,0.515346463999993,1
14,34,0.632626032289163,1
17,34,0.0842436409324886,-1
21,34,0.0758228807515481,-1
32,34,0.646753573673588,1
5,36,0.126026424453008,-1
10,36,0.496036465501568,1
23,36,0.467608336459669,1
24,36,0.558335441558927,1
3,37,0.572520867248569,1
9,37,0.461208379377189,1
10,37,0.453337575405716,1
12,37,0.161005113661326,-1
26,37,0.484008182537044,1
1,38,0.519534819504919,1
2,38,0.519312923318135,1
5,38,0.0677490597210915,-1
7,38,0.108121417198649,-1
8,38,0.0887361945976844,-1
10,38,0.551928972263449,1
11,38,0.482952720597906,1
18,38,0.557946349617957,1
23,38,0.539324323221864,1
24,38,0.586049429160135,1
25,38,0.496552501120258,1
26,38,0.666146839512684,1
32,38,0.126416548447415,-1
18,39,0.161757231977245,-1
2,40,0.486765750970946,1
9,40,0.0809057688092669,-1
10,40,0.128987106174055,-1
17,40,0.509006178136008,1
21,40,0.510605755007948,1
34,40,0.150176036301141,-1
18,41,0.144150679669071,-1
11,42,0.151929914618914,-1
18,42,0.133787454164798,-1
25,42,0.129780182208484,-1
28,42,0.152317539615589,-1
25,43,0.162317627086675,-1
11,44,0.0637995273743063,-1
13,44,0.465203763971931,1
14,44,0.101976593295026,-1
18,44,0.114092045022014,-1
20,44,0.638351754211657,1
25,44,0.0720713428809899,-1
28,44,0.129532768694885,-1
1,45,0.106845958016157,-1
2,45,0.0906204564501243,-1
5,45,0.517302648608292,1
7,45,0.56879351433898,1
8,45,0.672557541550162,1
12,45,0.122363532852143,-1
23,45,0.11259090887826,-1
24,45,0.125942835492987,-1
26,45,0.113386793575046,-1
32,45,0.506903127207051,1
34,45,0.496550927775777,1
38,45,0.106727484424345,-1
5,47,0.134025485364229,-1
10,47,0.466315406595373,1
24,47,0.530089635408656,1
36,47,0.585353879831093,1
1,48,0.115977891998779,-1
2,48,0.113400568622806,-1
4,48,0.104067497005629,-1
7,48,0.501267553798994,1
8,48,0.512738611832674,1
9,48,0.61414482884466,1
12,48,0.0717469814485281,-1
21,48,0.155851624672715,-1
23,48,0.114925353007351,-1
24,48,0.154013213328535,-1
34,48,0.508990250508662,1
40,48,0.142336576492664,-1
45,48,0.533853140223194,1
47,48,0.162769734161782,-1
5,49,0.594384088107044,1
7,49,0.456498924601913,1
8,49,0.495503430609762,1
10,49,0.0902552374693907,-1
24,49,0.153287702249785,-1
36,49,0.141569999152011,-1
38,49,0.143820800603823,-1
45,49,0.464429519448865,1
47,49,0.114999040965073,-1
3,50,0.493074356541316,1
8,50,0.140488050988657,-1
11,50,0.152714314608599,-1
13,50,0.466922426073426,1
14,50,0.134716135472515,-1
20,50,0.507194605452351,1
25,50,0.156220446104612,-1
29,50,0.457480653012397,1
30,50,0.4635085003782,1
31,50,0.455822991198753,1
34,50,0.145960323998351,-1
37,50,0.499067299225614,1
44,50,0.567153105402408,1
45,50,0.133997049927591,-1
49,50,0.122507706833955,-1
18,51,0.154419137098073,-1
20,51,0.462538900571185,1
25,51,0.143728067386798,-1
28,51,0.148978302186298,-1
3,52,0.523512244434792,1
9,52,0.453332624418999,1
12,52,0.15683129468504,-1
37,52,0.572520861933576,1
50,52,0.470328532052814,1
1,53,0.0754028503355738,-1
2,53,0.0668499754034175,-1
4,53,0.134788624365276,-1
7,53,0.477683184836562,1
8,53,0.477732676810906,1
9,53,0.5750616890926,1
11,53,0.122786093581816,-1
12,53,0.0877169791317366,-1
20,53,0.528573664477497,1
21,53,0.159520801626219,-1
23,53,0.0794051255278065,-1
24,53,0.10861163204788,-1
25,53,0.10977246974699,-1
44,53,0.52914098794946,1
