"index","lable","cluster","hubs","degree"
1,"Deinobacterium",1,1,0.415841584158416
2,"Deinococcus",1,0,0.341584158415842
3,"Ilumatobacter",3,0,0.148514851485149
4,"Planktophila",4,0,0.292079207920792
5,"Trueperella",2,0,0.292079207920792
6,"Beutenbergia",1,0,0.00495049504950495
7,"Serinibacter",2,0,0.331683168316832
8,"Brevibacterium",2,0,0.366336633663366
9,"Corynebacterium",3,0,0.212871287128713
10,"Devriesea",1,0,0.198019801980198
11,"Helcobacillus",1,0,0.297029702970297
12,"Dietzia",4,0,0.341584158415842
13,"Blastococcus",3,0,0.0841584158415842
14,"Millisia",1,0,0.188118811881188
15,"Arsenicicoccus",1,0,0.0297029702970297
16,"Kribbia",1,0,0.0495049504950495
17,"Ornithinicoccus",4,0,0.138613861386139
18,"Ornithinimicrobium",1,0,0.366336633663366
19,"Tetrasphaera",1,0,0.0247524752475248
20,"Kineosporia",3,0,0.242574257425743
21,"Herbiconiux",4,0,0.222772277227723
22,"Leifsonia",3,0,0.0396039603960396
23,"Arthrobacter",1,1,0.440594059405941
24,"Kocuria",1,1,0.405940594059406
25,"Micrococcus",1,0,0.455445544554455
26,"Rothia",1,0,0.321782178217822
27,"Marmoricola",1,0,0.0297029702970297
28,"Nocardioides",1,0,0.232673267326733
29,"Luteimicrobium",3,0,0.0297029702970297
30,"Brooklawnia",3,0,0.0297029702970297
31,"Sanguibacter",3,0,0.0792079207920792
32,"Aeriscardovia",2,0,0.306930693069307
33,"Alloscardovia",1,0,0.0099009900990099
34,"Bifidobacterium",1,0,0.252475247524752
35,"Collinsella",2,0,0.0396039603960396
36,"Eggerthella",4,0,0.158415841584158
37,"Enterococcus",3,0,0.163366336633663
38,"Olsenella",1,0,0.277227722772277
39,"Nitriliruptor",1,0,0.0297029702970297
40,"Gaiella",4,0,0.133663366336634
41,"Solirubrobacter",1,0,0.0297029702970297
42,"Rubricoccus",1,0,0.0544554455445545
43,"Terrimonas",3,0,0.0198019801980198
44,"Trachelomonas",3,0,0.202970297029703
45,"Barnesiella",2,0,0.381188118811881
46,"Butyricimonas",1,0,0.0099009900990099
47,"[Prevotella]",4,0,0.133663366336634
48,"CF231",2,0,0.351485148514851
49,"YRC22",2,0,0.173267326732673
50,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",3,0,0.341584158415842
51,"Dysgonomonas",1,0,0.0445544554455446
52,"Macellibacteroides",3,0,0.113861386138614
53,"Petrimonas",2,0,0.316831683168317
54,"Prevotella",2,0,0.351485148514851
55,"Alistipes",4,0,0.207920792079208
56,"Rhodocytophaga",1,0,0.0297029702970297
57,"Bergeyella",4,0,0.386138613861386
58,"Elizabethkingia",1,0,0.331683168316832
59,"Ornithobacterium",1,0,0.0297029702970297
60,"Wautersiella",2,0,0.297029702970297
61,"Weeksella",3,0,0.0594059405940594
62,"Flavobacterium",3,0,0.178217821782178
63,"Nonlabens",1,0,0.0247524752475248
64,"Persicivirga",2,0,0.336633663366337
65,"Mucilaginibacter",3,0,0.0247524752475248
66,"Pedobacter",3,0,0.0346534653465347
67,"Sphingobacterium",4,0,0.163366336633663
68,"Simkania",1,0,0.0396039603960396
69,"Chloronema",1,0,0.0297029702970297
70,"Mucispirillum",1,0,0.0247524752475248
71,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",4,0,0.173267326732673
72,"Oceanobacillus",3,0,0.242574257425743
73,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.485148514851485
74,"Kurthia",1,0,0.183168316831683
75,"Staphylococcus",1,0,0.351485148514851
76,"Macrococcus",1,0,0.158415841584158
77,"Haloplasma",1,0,0.0445544554455446
78,"Abiotrophia",1,0,0.0148514851485149
79,"Alkalibacterium",3,0,0.212871287128713
80,"Atopococcus",1,0,0.386138613861386
81,"Atopostipes",2,0,0.450495049504951
82,"Granulicatella",2,0,0.356435643564356
83,"Lacticigenium",4,0,0.371287128712871
84,"Isobaculum",2,0,0.361386138613861
85,"Lactobacillus",2,0,0.292079207920792
86,"Pediococcus",2,0,0.371287128712871
87,"Weissella",4,0,0.183168316831683
88,"Lactococcus",1,0,0.0396039603960396
89,"Streptococcus",4,0,0.287128712871287
90,"Guggenheimella",3,0,0.0445544554455446
91,"Anaerococcus",2,0,0.381188118811881
92,"Gallicola",2,0,0.242574257425743
93,"GW-34",2,0,0.386138613861386
94,"Helcococcus",2,0,0.391089108910891
95,"ph2",2,0,0.381188118811881
96,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,0.425742574257426
97,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",4,0,0.381188118811881
98,"Butyrivibrio",2,0,0.257425742574257
99,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.297029702970297
100,"Coprococcus",3,0,0.0099009900990099
101,"Defluviitalea",2,0,0.188118811881188
102,"Dorea",1,0,0.0495049504950495
103,"Lactonifactor",4,0,0.207920792079208
104,"Roseburia",1,0,0.297029702970297
105,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0,0.227722772277228
106,"Syntrophococcus",4,0,0.237623762376238
107,"rc4-4",2,0,0.351485148514851
108,"[Clostridium]",1,0,0.198019801980198
109,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.252475247524752
110,"Peptostreptococcus",3,0,0.183168316831683
111,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.188118811881188
112,"Butyricicoccus",2,0,0.292079207920792
113,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,0.391089108910891
114,"Faecalibacterium",1,1,0.420792079207921
115,"Oscillospira",2,0,0.297029702970297
116,"Papillibacter",1,0,0.400990099009901
117,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",3,0,0.0544554455445545
118,"Sporobacter",1,0,0.47029702970297
119,"Anaerosinus",1,0,0.0247524752475248
120,"Pectinatus",1,0,0.0198019801980198
121,"Selenomonas",2,0,0.331683168316832
122,"Succinispira",1,0,0.450495049504951
123,"Allobaculum",1,0,0.0643564356435644
124,"Anaerorhabdus",4,0,0.148514851485149
125,"Bulleidia",2,0,0.316831683168317
126,"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",2,0,0.341584158415842
127,"Sharpea",2,0,0.346534653465347
128,"Streptobacillus",2,0,0.0198019801980198
129,"Brevundimonas",1,1,0.465346534653465
130,"Caulobacter",1,0,0.0297029702970297
131,"Nitrobacteria",3,0,0.193069306930693
132,"Aurantimonas",1,0,0.396039603960396
133,"Chelatococcus",3,0,0.0396039603960396
134,"Salinarimonas",1,0,0.0297029702970297
135,"Ochrobactrum",3,0,0.148514851485149
136,"Aquamicrobium",3,0,0.0643564356435644
137,"Amorphomonas",3,0,0.0445544554455446
138,"Rhizobium",4,1,0.386138613861386
139,"Xanthobacter",1,0,0.00495049504950495
140,"Albidovulum",1,0,0.207920792079208
