"from","to","weight","association"
3,4,0.454029709133016,1
5,6,0.501161799970654,1
5,7,0.675873132391366,1
6,7,0.498744292785797,1
4,9,0.163118136594387,-1
5,9,0.50163923284368,1
7,9,0.502891846171675,1
8,9,0.466091665966824,1
5,13,0.501494204780742,1
6,13,0.470865286349929,1
7,13,0.486783765290286,1
5,14,0.596108518828379,1
7,14,0.588005555265929,1
9,14,0.61038854214413,1
2,15,0.510134945886982,1
1,16,0.155875125655765,-1
5,16,0.611632090922204,1
6,16,0.480405057957554,1
7,16,0.594506827346571,1
9,16,0.509644996395327,1
13,16,0.458479088743279,1
14,16,0.543144575559326,1
4,18,0.163321223592822,-1
8,18,0.456530646805601,1
9,18,0.526157827918344,1
12,18,0.495107008652627,1
14,18,0.476640080825665,1
15,19,0.474861484081644,1
1,22,0.475382701832434,1
1,23,0.485278432635221,1
11,23,0.488523600602503,1
16,23,0.161388176079559,-1
11,24,0.573614029938699,1
23,24,0.509436393929182,1
5,25,0.466566568265169,1
7,25,0.457647799152826,1
12,25,0.464268068373803,1
14,25,0.501758753019809,1
15,25,0.115874102188012,-1
16,25,0.463952408259277,1
22,25,0.148656195989616,-1
2,26,0.477301884328318,1
11,26,0.541163103296279,1
24,26,0.518805019525774,1
1,27,0.461191721232529,1
9,27,0.506414177376563,1
18,27,0.459266999643302,1
1,28,0.463637327934016,1
22,28,0.543005687501311,1
25,28,0.160881890099427,-1
5,29,0.633153149529109,1
6,29,0.490710517274513,1
7,29,0.63782395171212,1
9,29,0.454138406962062,1
14,29,0.510872803119481,1
16,29,0.561822985041735,1
5,30,0.48538126138438,1
6,30,0.503180924416004,1
7,30,0.473698623952719,1
13,30,0.494788793709735,1
16,30,0.487609830085358,1
23,32,0.155735110235849,-1
24,32,0.155196999066541,-1
31,33,0.0871574187338575,-1
5,34,0.463240267350068,1
6,34,0.487535563227597,1
13,34,0.458502510061046,1
30,34,0.470339014224403,1
5,35,0.498597751067459,1
7,35,0.483057673208165,1
16,35,0.491141432202548,1
18,35,0.458446312832644,1
25,35,0.456829407841522,1
29,35,0.481196368003746,1
14,36,0.14028684462772,-1
4,37,0.459398216479592,1
20,38,0.518192609981942,1
23,39,0.157468165423739,-1
24,39,0.147769452758206,-1
32,39,0.540387236469054,1
20,40,0.157793588802325,-1
28,40,0.157415752723681,-1
24,41,0.0749197163910497,-1
31,41,0.150527808303528,-1
33,41,0.494577387257594,1
40,41,0.529295151877626,1
11,42,0.125134076315983,-1
24,42,0.130433973300685,-1
26,42,0.153363350748965,-1
41,42,0.485361055317545,1
12,43,0.135358687003813,-1
25,43,0.143126311465111,-1
31,43,0.486547034833843,1
22,44,0.544118947721683,1
25,44,0.144301447564759,-1
28,44,0.489473931948308,1
1,46,0.148223565762035,-1
14,46,0.501743078083103,1
16,46,0.497995495049909,1
23,46,0.0997761448449811,-1
17,47,0.160094538463763,-1
46,47,0.46147898093786,1
23,48,0.45930692741345,1
31,48,0.114486481092655,-1
33,48,0.53379251645218,1
41,48,0.454194944886304,1
23,49,0.471397268251357,1
24,49,0.457780538286308,1
38,49,0.159994831937751,-1
35,50,0.159576201239653,-1
12,51,0.521445283827208,1
14,51,0.453937443810439,1
23,52,0.157546351758793,-1
32,52,0.547948818310037,1
39,52,0.519604633673344,1
23,53,0.160987730398997,-1
27,53,0.469594524420718,1
46,53,0.498594749716685,1
47,53,0.548658469627411,1
49,53,0.145290843350886,-1
38,54,0.456400475959225,1
44,55,0.470957200468469,1
22,56,0.483138760588721,1
25,56,0.118117591134508,-1
28,56,0.454221886395193,1
44,56,0.548837733947602,1
5,57,0.150741953727715,-1
6,57,0.159948230966882,-1
7,57,0.16036968827419,-1
34,57,0.156928505139739,-1
35,57,0.1534465091876,-1
36,57,0.45533707745025,1
49,57,0.600644716405231,1
1,58,0.479189747625725,1
16,58,0.138315462132912,-1
23,58,0.501028255989745,1
24,58,0.544981278228197,1
41,58,0.155116954512111,-1
