"index","lable","cluster","hubs","degree"
1,"Deinobacterium",7,0,0.0940594059405941
2,"Deinococcus",1,0,0.0346534653465347
3,"Ilumatobacter",3,0,0.0297029702970297
4,"Planktophila",1,0,0.0445544554455446
5,"Trueperella",5,1,0.113861386138614
6,"Beutenbergia",5,0,0.0693069306930693
7,"Serinibacter",5,1,0.108910891089109
8,"Brevibacterium",7,0,0.0594059405940594
9,"Corynebacterium",5,0,0.113861386138614
10,"Devriesea",1,0,0.00495049504950495
11,"Helcobacillus",1,0,0.0594059405940594
12,"Dietzia",5,0,0.0297029702970297
13,"Blastococcus",5,0,0.0396039603960396
14,"Millisia",5,1,0.128712871287129
15,"Arsenicicoccus",3,0,0.0742574257425743
16,"Kribbia",5,1,0.163366336633663
17,"Ornithinicoccus",2,0,0.00495049504950495
18,"Ornithinimicrobium",5,0,0.0594059405940594
19,"Tetrasphaera",3,0,0.0198019801980198
20,"Kineosporia",3,0,0.0346534653465347
21,"Herbiconiux",1,0,0.0346534653465347
22,"Leifsonia",7,0,0.0693069306930693
23,"Arthrobacter",1,0,0.128712871287129
24,"Kocuria",1,0,0.143564356435644
25,"Micrococcus",5,0,0.168316831683168
26,"Rothia",1,0,0.0445544554455446
27,"Nocardioides",7,0,0.0396039603960396
28,"Luteimicrobium",7,0,0.0693069306930693
29,"Brooklawnia",5,0,0.0792079207920792
30,"Aeriscardovia",5,0,0.0495049504950495
31,"Bifidobacterium",2,0,0.0693069306930693
32,"Collinsella",6,0,0.0643564356435644
33,"Eggerthella",2,0,0.0643564356435644
34,"Enterococcus",5,0,0.0445544554455446
35,"Olsenella",5,0,0.123762376237624
36,"Rubricoccus",1,0,0.0396039603960396
37,"Terrimonas",1,0,0.00495049504950495
38,"Trachelomonas",3,0,0.0198019801980198
39,"Barnesiella",6,0,0.0544554455445545
40,"[Prevotella]",2,0,0.0891089108910891
41,"CF231",2,0,0.123762376237624
42,"YRC22",2,0,0.0346534653465347
43,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0445544554455446
44,"Dysgonomonas",7,0,0.103960396039604
45,"Macellibacteroides",2,0,0.0544554455445545
46,"Petrimonas",5,0,0.123762376237624
47,"Prevotella",2,0,0.0643564356435644
48,"Alistipes",2,0,0.0841584158415842
49,"Bergeyella",1,0,0.0891089108910891
50,"Elizabethkingia",1,0,0.0742574257425743
51,"Ornithobacterium",5,0,0.0198019801980198
52,"Wautersiella",6,0,0.0544554455445545
53,"Flavobacterium",2,0,0.0594059405940594
54,"Nonlabens",3,0,0.0198019801980198
55,"Persicivirga",7,0,0.0099009900990099
56,"Mucilaginibacter",7,0,0.0693069306930693
57,"Pedobacter",1,0,0.0792079207920792
58,"Sphingobacterium",1,0,0.128712871287129
59,"Chloronema",1,0,0.00495049504950495
60,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",1,0,0.0247524752475248
61,"Oceanobacillus",7,0,0.0495049504950495
62,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.0297029702970297
63,"Kurthia",4,0,0.0247524752475248
64,"Staphylococcus",5,0,0.0396039603960396
65,"Macrococcus",1,0,0.099009900990099
66,"Haloplasma",5,0,0.0742574257425743
67,"Atopococcus",5,1,0.178217821782178
68,"Atopostipes",2,0,0.0544554455445545
69,"Granulicatella",2,0,0.108910891089109
70,"Lacticigenium",2,0,0.0891089108910891
71,"Lactobacillus",7,0,0.0396039603960396
72,"Pediococcus",7,0,0.0594059405940594
73,"Weissella",4,0,0.0297029702970297
74,"Lactococcus",1,0,0.0396039603960396
75,"Streptococcus",1,0,0.0742574257425743
76,"Guggenheimella",6,0,0.0099009900990099
77,"GW-34",5,1,0.158415841584158
78,"Helcococcus",2,0,0.108910891089109
79,"ph2",5,1,0.158415841584158
80,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",5,0,0.0495049504950495
81,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.108910891089109
82,"Defluviitalea",5,0,0.099009900990099
