"from","to","weight","association"
3,4,0.528238931280614,1
6,7,0.47912228921205,1
3,8,0.512158958826894,1
5,8,0.545937740616907,1
3,9,0.457185599465843,1
4,9,0.486713601299543,1
5,10,0.461556269229059,1
6,10,0.4920417587459,1
7,10,0.47824343034278,1
5,14,0.505392670282176,1
6,14,0.483519670582291,1
7,14,0.475755989381643,1
8,14,0.530998201955883,1
10,14,0.485722244533642,1
1,15,0.465143832096386,1
10,16,0.502737692069337,1
17,19,0.460844679012158,1
18,20,0.491153756996549,1
18,24,0.458710462838609,1
20,24,0.492762046273258,1
20,25,0.496280534099923,1
14,27,0.142628992067457,-1
27,28,0.471898455203884,1
14,29,0.138786724052888,-1
27,29,0.515115459113711,1
28,29,0.476178497088571,1
14,30,0.16010011183534,-1
27,30,0.50053037834125,1
29,30,0.507069860200002,1
14,32,0.459762008211628,1
15,33,0.471656717672093,1
18,33,0.161128267234765,-1
8,34,0.501435766204949,1
3,35,0.455818123528652,1
3,36,0.508340760858657,1
5,36,0.521529859538954,1
6,36,0.464375238872439,1
8,36,0.633217897098885,1
14,36,0.548616264014782,1
20,36,0.459535535378634,1
24,36,0.466078137373835,1
34,36,0.501141667613887,1
3,37,0.471273190298211,1
8,37,0.501553649742386,1
13,37,0.146896327757439,-1
20,37,0.45956159444259,1
36,37,0.525675757878078,1
8,38,0.514948343974692,1
13,38,0.128908577324564,-1
14,38,0.511981790125347,1
18,38,0.483017128042356,1
20,38,0.515238659711797,1
23,38,0.461673787646157,1
36,38,0.603158039760043,1
37,38,0.59849838538924,1
22,40,0.456420413392151,1
27,41,0.547859431443028,1
28,41,0.456242733284176,1
29,41,0.505083815332075,1
30,41,0.49929672040393,1
26,42,0.469252743668288,1
3,43,0.556749772774601,1
4,43,0.476003352395945,1
5,43,0.455611124451519,1
8,43,0.535056514470936,1
9,43,0.463191136123567,1
23,43,0.51217851943185,1
36,43,0.53582847796884,1
37,43,0.481892304832753,1
38,43,0.511560271912549,1
39,43,0.458255487226078,1
3,44,0.498774523055411,1
23,44,0.464661244724454,1
36,44,0.460595939954695,1
37,44,0.460520295572267,1
38,44,0.4844709303579,1
43,44,0.512831344344182,1
3,45,0.597024890713652,1
4,45,0.497516079623323,1
8,45,0.532919889416958,1
9,45,0.502423166394226,1
23,45,0.508236263860251,1
36,45,0.54188907389972,1
37,45,0.513682172339095,1
38,45,0.522699128846304,1
43,45,0.58864525472832,1
44,45,0.522756220682255,1
8,46,0.512600713240555,1
24,46,0.487006459231365,1
36,46,0.495356222646751,1
14,47,0.476682012888776,1
20,47,0.458138915213056,1
24,47,0.478868201093143,1
25,47,0.485596561320852,1
36,47,0.487652822430241,1
38,47,0.495964120148244,1
17,48,0.525749911650904,1
19,48,0.46043299022101,1
3,49,0.476626811819646,1
8,49,0.490302276937024,1
36,49,0.476129233862408,1
38,49,0.472994383230428,1
43,49,0.476307310965735,1
45,49,0.474940873777354,1
47,49,0.45602837434681,1
8,50,0.48123003663205,1
20,50,0.470854832082875,1
24,50,0.515338665175233,1
36,50,0.481787079380602,1
37,50,0.535151490536038,1
38,50,0.489253069102456,1
46,50,0.471166420689406,1
47,50,0.506924961147058,1
8,51,0.486760729412942,1
24,51,0.50311577424255,1
36,51,0.489663253255384,1
37,51,0.464837360597416,1
38,51,0.478940150393879,1
45,51,0.481081095645612,1
46,51,0.49947638171446,1
47,51,0.488922004929141,1
49,51,0.491131423209931,1
50,51,0.55994821582261,1
8,53,0.499539199358714,1
13,53,0.158710037942549,-1
14,53,0.51006813126527,1
36,53,0.560620769854577,1
37,53,0.456640716045393,1
38,53,0.521112067471985,1
45,53,0.459577061356948,1
46,53,0.505991782785381,1
50,53,0.462279318804489,1
51,53,0.527001803321536,1
14,54,0.468966884743861,1
24,54,0.481833834138313,1
27,54,0.151068064716253,-1
29,54,0.143327375785955,-1
36,54,0.461998000471071,1
38,54,0.46659816266944,1
41,54,0.155563360307832,-1
46,54,0.4555247192382,1
47,54,0.484480874526277,1
49,54,0.491571175231249,1
50,54,0.481849789842325,1
51,54,0.516763189171084,1
53,54,0.49842110759654,1
20,55,0.457329355654279,1
17,56,0.467389327263008,1
48,56,0.485733953989318,1
5,57,0.469805450739548,1
8,57,0.490108376177607,1
14,57,0.588628202128068,1
20,57,0.518183731501384,1
24,57,0.497514904768561,1
25,57,0.526769325108381,1
27,57,0.159238352013569,-1
29,57,0.159242603199396,-1
36,57,0.562234516531058,1
38,57,0.493670854726667,1
46,57,0.478880693859467,1
47,57,0.544412066646618,1
49,57,0.51488380621617,1
50,57,0.501271167643602,1
51,57,0.506444763342262,1
53,57,0.552612481540224,1
54,57,0.532725184804723,1
20,58,0.471965873126301,1
8,59,0.484192965058796,1
20,59,0.455458773152,1
25,59,0.462414003335041,1
36,59,0.50408311269033,1
37,59,0.456239941140163,1
38,59,0.496319121332164,1
53,59,0.500768381068392,1
57,59,0.496917631834991,1
14,62,0.4876159916443,1
20,62,0.482796298527687,1
24,62,0.509656188763834,1
25,62,0.518838062686255,1
36,62,0.489056683314433,1
38,62,0.472454973907837,1
46,62,0.46583136528903,1
47,62,0.52456835565856,1
50,62,0.456336448748534,1
51,62,0.492633091151898,1
53,62,0.550848018255382,1
54,62,0.470108357824564,1
57,62,0.595330494310182,1
59,62,0.494920389780581,1
60,62,0.474548180688667,1
57,63,0.45555127858655,1
26,64,0.463709019901289,1
64,65,0.462170689830668,1
27,66,0.489857323061048,1
29,66,0.467438709778416,1
41,66,0.472556626475953,1
27,68,0.475332086060728,1
29,68,0.457238629399779,1
26,69,0.51223634953339,1
64,69,0.535036341083192,1
31,70,0.456233306222697,1
67,70,0.458974944994694,1
64,71,0.460427399101447,1
27,72,0.485287738409808,1
14,73,0.15721618350343,-1
27,73,0.465773409144535,1
29,73,0.461564698605062,1
11,74,0.455085161160446,1
67,74,0.538066924425881,1
70,74,0.482737461689645,1
21,75,0.4646290310498,1
70,75,0.46043057636977,1
74,75,0.494282473254996,1
76,77,0.459142063207317,1
76,78,0.51457237916419,1
77,78,0.46386161468399,1
15,79,0.466146284733312,1
78,79,0.459628898846983,1
27,80,0.523778687499275,1
29,80,0.478428488015335,1
30,80,0.491408975094818,1
41,80,0.503980492073089,1
72,80,0.52795267977913,1
14,81,0.161375882171231,-1
27,81,0.517370528103571,1
29,81,0.463961371899021,1
30,81,0.459486960411165,1
41,81,0.485341504291131,1
80,81,0.483431917470279,1
14,82,0.151493643793403,-1
27,82,0.53823313435883,1
28,82,0.462800426024451,1
29,82,0.509638740485835,1
30,82,0.458677482843446,1
41,82,0.512208034737849,1
57,82,0.154682647333481,-1
62,82,0.157184391418178,-1
66,82,0.489025614261663,1
68,82,0.481114071760997,1
72,82,0.456594081399456,1
73,82,0.464532972328128,1
80,82,0.515669045924301,1
81,82,0.494848571043256,1
76,83,0.54332686494331,1
77,83,0.479972226029381,1
78,83,0.554923130186286,1
79,83,0.49726720447113,1
2,84,0.462291278447834,1
79,84,0.487423441151796,1
83,84,0.478297877938589,1
18,85,0.483123062168675,1
24,85,0.455493075326311,1
38,85,0.45998977245725,1
51,85,0.460725021796247,1
52,86,0.457732265344529,1
61,86,0.483847862358234,1
83,87,0.458605165791573,1
84,87,0.455750637509832,1
21,88,0.461839079260008,1
26,89,0.522565731449798,1
64,89,0.466059318700796,1
69,89,0.480535906722754,1
26,90,0.51418072958295,1
27,90,0.492353440584133,1
30,90,0.455508009075188,1
41,90,0.473672400429089,1
69,90,0.459076606157825,1
71,90,0.459481875595871,1
80,90,0.456578805474311,1
81,90,0.455301119296664,1
82,90,0.494083640682685,1
1,91,0.460633904153473,1
12,91,0.465911662988411,1
13,91,0.507581672926368,1
15,91,0.553786961650958,1
