"index","lable","cluster","hubs","degree"
1,"Deinococcus",1,0,0.0099009900990099
2,"Planktophila",1,0,0.00495049504950495
3,"Trueperella",2,0,0.0495049504950495
4,"Serinibacter",2,0,0.0198019801980198
5,"Corynebacterium",4,0,0.0297029702970297
6,"Helcobacillus",4,0,0.0198019801980198
7,"Dietzia",4,0,0.0148514851485149
8,"Millisia",2,0,0.0792079207920792
9,"Kribbia",2,0,0.0198019801980198
10,"Ornithinimicrobium",4,0,0.0247524752475248
11,"Leifsonia",3,0,0.00495049504950495
12,"Arthrobacter",1,0,0.00495049504950495
13,"Kocuria",1,0,0.0198019801980198
14,"Micrococcus",4,0,0.0940594059405941
15,"Rothia",1,0,0.0198019801980198
16,"Nocardioides",4,0,0.00495049504950495
17,"Collinsella",8,0,0.0148514851485149
18,"Barnesiella",2,0,0.0297029702970297
19,"Butyricimonas",8,0,0.0099009900990099
20,"CF231",2,0,0.0693069306930693
21,"Dysgonomonas",3,0,0.0099009900990099
22,"Macellibacteroides",6,0,0.00495049504950495
23,"Petrimonas",2,0,0.0198019801980198
24,"Prevotella",2,0,0.0594059405940594
25,"Alistipes",2,0,0.0247524752475248
26,"Elizabethkingia",1,0,0.0297029702970297
27,"Nonlabens",7,0,0.0792079207920792
28,"Persicivirga",7,0,0.0247524752475248
29,"Mucilaginibacter",7,0,0.0693069306930693
30,"Pedobacter",7,0,0.0445544554455446
31,"Oceanobacillus",3,0,0.00495049504950495
32,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.00495049504950495
33,"Staphylococcus",1,0,0.0148514851485149
34,"Macrococcus",2,0,0.0099009900990099
35,"Haloplasma",2,0,0.00495049504950495
36,"Atopococcus",2,1,0.113861386138614
37,"Atopostipes",2,0,0.0643564356435644
38,"Granulicatella",2,1,0.108910891089109
39,"Isobaculum",2,0,0.00495049504950495
40,"Lactobacillus",6,0,0.00495049504950495
41,"Lactococcus",7,0,0.0544554455445545
42,"Streptococcus",1,0,0.00495049504950495
43,"GW-34",2,0,0.0693069306930693
44,"Helcococcus",2,0,0.0346534653465347
45,"ph2",2,0,0.0643564356435644
46,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,0.0445544554455446
47,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.0643564356435644
48,"Dorea",8,0,0.0148514851485149
49,"Lactonifactor",2,0,0.0495049504950495
50,"Roseburia",2,0,0.0693069306930693
51,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,0,0.0742574257425743
52,"rc4-4",5,0,0.00495049504950495
53,"[Clostridium]",2,0,0.0693069306930693
54,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",2,0,0.0742574257425743
55,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,0.00495049504950495
56,"Butyricicoccus",8,0,0.0099009900990099
57,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,1,0.108910891089109
58,"Oscillospira",2,0,0.00495049504950495
59,"Papillibacter",2,0,0.0495049504950495
60,"Sporobacter",2,0,0.00495049504950495
61,"Selenomonas",5,0,0.00495049504950495
62,"Succinispira",2,0,0.0891089108910891
63,"Anaerorhabdus",2,0,0.00495049504950495
64,"Brevundimonas",1,0,0.0297029702970297
65,"Aurantimonas",1,0,0.00495049504950495
66,"Salinarimonas",7,0,0.0198019801980198
67,"Ochrobactrum",3,0,0.0099009900990099
68,"Amorphomonas",7,0,0.0148514851485149
69,"Rhizobium",1,0,0.0198019801980198
70,"Xanthobacter",3,0,0.0198019801980198
71,"Paracoccus",1,0,0.0099009900990099
72,"Gluconacetobacter",7,0,0.0148514851485149
73,"Oceanibaculum",7,0,0.0198019801980198
74,"Bordetella",3,0,0.0198019801980198
75,"Kerstersia",3,0,0.0148514851485149
76,"Pelomonas",1,0,0.0148514851485149
77,"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",1,0,0.0148514851485149
78,"Methylotenera",1,0,0.0198019801980198
79,"Gulbenkiania",1,0,0.0247524752475248
80,"Snodgrassella",7,0,0.0445544554455446
81,"Peredibacter",7,0,0.0445544554455446
82,"Bdellovibrio",7,0,0.0792079207920792
83,"Helicobacter",1,0,0.0297029702970297
84,"Aeromonas",1,0,0.0198019801980198
85,"Anaerobiospirillum",2,0,0.0198019801980198
86,"Succinivibrio",5,0,0.0099009900990099
87,"Rheinheimera",1,0,0.0099009900990099
88,"Proteus",3,0,0.00495049504950495
89,"Acinetobacter",1,0,0.0198019801980198
90,"Alkanindiges",1,0,0.0445544554455446
91,"Enhydrobacter",1,0,0.0495049504950495
92,"Pseudoxanthomonas",7,0,0.0396039603960396
93,"Treponema",2,0,0.0396039603960396
94,"Akkermansia",2,0,0.0099009900990099
