"from","to","weight","association"
1,2,0.45740660403372,1
4,5,0.523651411809753,1
4,7,0.502458860319041,1
5,7,0.482350824906399,1
4,10,0.530014703926396,1
5,10,0.464645021604659,1
7,10,0.559959838263046,1
8,10,0.459181240908592,1
5,11,0.472765425017705,1
7,11,0.457985988390652,1
8,12,0.470777998550822,1
9,12,0.455239169721326,1
1,13,0.467882551049476,1
3,16,0.45397676876634,1
8,17,0.487696558796902,1
12,17,0.552779164378112,1
16,18,0.460496744439177,1
11,21,0.499699607332211,1
4,22,0.513807078315715,1
10,22,0.474375530476061,1
16,29,0.14894429822001,-1
28,29,0.503914935189867,1
16,30,0.148691968435818,-1
18,30,0.15465386785025,-1
29,30,0.475171413813321,1
29,32,0.499654136005346,1
4,33,0.475823668187257,1
7,33,0.472804404938062,1
11,33,0.457111038393245,1
4,34,0.513292904180022,1
10,34,0.460770038691129,1
16,34,0.162403271947822,-1
22,34,0.477403433536379,1
28,34,0.522947834974173,1
29,34,0.515413861309578,1
33,34,0.453521190562213,1
23,35,0.158973431781019,-1
29,35,0.502595133771482,1
30,35,0.454085806359523,1
19,36,0.471751701036466,1
15,37,0.453293413531051,1
18,37,0.461224366397608,1
14,40,0.458293844406973,1
17,40,0.129476411181696,-1
17,41,0.158790778100534,-1
40,41,0.508531358480308,1
17,42,0.137144651413369,-1
40,42,0.606389463112884,1
41,42,0.482012646479118,1
12,43,0.152490407717837,-1
17,43,0.154475645025518,-1
27,43,0.457690852697032,1
38,43,0.496750619083179,1
40,43,0.558242586930763,1
41,43,0.473524043765993,1
42,43,0.52610510498471,1
37,44,0.483509887449611,1
43,44,0.464427059345319,1
24,46,0.494990370817165,1
28,46,0.128872849654077,-1
34,46,0.15073826712724,-1
34,47,0.488635398056693,1
4,49,0.536552040000986,1
7,49,0.493078550275841,1
8,49,0.501847852038651,1
10,49,0.638319500965775,1
12,49,0.460952515909317,1
16,49,0.1623456376615,-1
17,49,0.499456162663909,1
22,49,0.460718813968323,1
33,49,0.453506613684714,1
34,49,0.520186539025198,1
4,50,0.458985183944053,1
16,50,0.125463564849695,-1
18,50,0.149675645893988,-1
