"from","to","weight","association"
1,4,0.157987625486586,-1
2,4,0.154992535361904,-1
1,5,0.462179537205692,1
3,5,0.52133687255367,1
1,6,0.158945360768541,-1
4,6,0.602992039784753,1
1,7,0.457092457043753,1
3,7,0.514429403124068,1
5,7,0.614432313007059,1
3,8,0.1631345807537,-1
4,8,0.485003174745629,1
6,8,0.483793919958068,1
5,11,0.456696817336971,1
10,11,0.567929884513696,1
1,12,0.527921094798294,1
2,12,0.507888471703428,1
5,12,0.462488501217631,1
11,12,0.490222535331611,1
3,13,0.116345616865848,-1
4,13,0.492657159611718,1
6,13,0.456729829524934,1
8,13,0.668115328038537,1
4,14,0.640741177900793,1
6,14,0.619858883665392,1
8,14,0.486869209046389,1
1,15,0.572253884344145,1
4,15,0.154802325729539,-1
5,15,0.459426245594212,1
6,15,0.14829854719566,-1
12,15,0.495688262390502,1
8,16,0.515942099947311,1
10,16,0.654586605077754,1
11,16,0.649646234057325,1
12,16,0.454235868807851,1
8,17,0.15059645131888,-1
13,17,0.127741442964364,-1
5,18,0.564880265926748,1
7,18,0.597601155028259,1
16,18,0.459973541945182,1
3,19,0.507952125223196,1
5,19,0.575211745566209,1
7,19,0.548158955167866,1
13,19,0.154235414395836,-1
17,19,0.507791849748854,1
18,19,0.554647869885881,1
3,20,0.147807335229264,-1
4,20,0.509452129294403,1
6,20,0.556325981749828,1
8,20,0.696501055759246,1
13,20,0.686565362944526,1
14,20,0.509220891569771,1
16,20,0.460459620615068,1
19,20,0.161737687179599,-1
1,21,0.484645377180461,1
2,21,0.471620401935659,1
4,21,0.126121149525499,-1
6,21,0.128000720196316,-1
12,21,0.515411715751773,1
14,21,0.13274363806052,-1
15,21,0.494411024200078,1
8,22,0.152097876780666,-1
13,22,0.149926075734958,-1
17,22,0.497408143062095,1
5,23,0.484085449725621,1
10,23,0.549171967384329,1
11,23,0.619429191746798,1
16,23,0.72824903084863,1
18,23,0.533288562191498,1
14,24,0.484352828926559,1
3,25,0.462717114109578,1
8,25,0.147905314216002,-1
13,25,0.119948244034853,-1
17,25,0.603233616596684,1
19,25,0.506680149936825,1
22,25,0.501508189327417,1
1,26,0.138566606808277,-1
7,26,0.144867839809332,-1
10,26,0.454619847689251,1
15,26,0.161351795606932,-1
21,26,0.113460542125566,-1
11,27,0.139459230304003,-1
16,27,0.152345137131797,-1
23,27,0.10345856442479,-1
10,28,0.160654991424201,-1
16,28,0.129990163616899,-1
23,28,0.152951121973907,-1
26,29,0.148381695004383,-1
28,29,0.458559004456336,1
1,30,0.453320231694831,1
11,30,0.525845960126594,1
12,30,0.461097681628624,1
16,30,0.508881482214954,1
23,30,0.486577372072199,1
1,31,0.555690109025862,1
4,31,0.153374284069243,-1
12,31,0.48407373703496,1
15,31,0.554951248949195,1
1,32,0.488181080438688,1
