"index","lable","cluster","hubs","degree"
1,"Deinobacterium",5,0,0.148514851485149
2,"Deinococcus",5,0,0.0594059405940594
3,"Ilumatobacter",6,0,0.128712871287129
4,"Trueperella",2,0,0.178217821782178
5,"Beutenbergia",6,1,0.148514851485149
6,"Serinibacter",2,0,0.143564356435644
7,"Brevibacterium",6,0,0.148514851485149
8,"Corynebacterium",1,0,0.128712871287129
9,"Devriesea",3,0,0.0445544554455446
10,"Helcobacillus",6,0,0.0643564356435644
11,"Dietzia",6,0,0.099009900990099
12,"Blastococcus",5,0,0.113861386138614
13,"Millisia",1,1,0.178217821782178
14,"Kribbia",2,0,0.128712871287129
15,"Ornithinicoccus",5,0,0.123762376237624
16,"Ornithinimicrobium",6,0,0.128712871287129
17,"Leifsonia",6,0,0.108910891089109
18,"Arthrobacter",6,0,0.163366336633663
19,"Kocuria",6,1,0.148514851485149
20,"Micrococcus",1,0,0.158415841584158
21,"Rothia",5,0,0.163366336633663
22,"Marmoricola",6,0,0.0495049504950495
23,"Nocardioides",6,0,0.163366336633663
24,"Brooklawnia",2,0,0.0346534653465347
25,"Sanguibacter",6,0,0.108910891089109
26,"Bifidobacterium",5,0,0.128712871287129
27,"Collinsella",1,0,0.133663366336634
28,"Eggerthella",4,0,0.0495049504950495
29,"Enterococcus",5,0,0.0396039603960396
30,"Olsenella",5,0,0.0940594059405941
31,"Nitriliruptor",5,0,0.103960396039604
32,"Gaiella",6,1,0.148514851485149
33,"Terrimonas",6,0,0.133663366336634
34,"Trachelomonas",6,1,0.143564356435644
35,"Barnesiella",5,0,0.0594059405940594
36,"Butyricimonas",1,0,0.118811881188119
37,"[Prevotella]",5,0,0.0544554455445545
38,"CF231",5,0,0.133663366336634
39,"YRC22",4,0,0.0247524752475248
40,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0891089108910891
41,"Macellibacteroides",1,0,0.099009900990099
42,"Petrimonas",2,0,0.099009900990099
43,"Prevotella",1,0,0.103960396039604
44,"Alistipes",1,0,0.148514851485149
45,"Bergeyella",5,0,0.118811881188119
46,"Elizabethkingia",2,0,0.0396039603960396
47,"Ornithobacterium",1,0,0.0099009900990099
48,"Wautersiella",2,0,0.0099009900990099
49,"Flavobacterium",5,0,0.138613861386139
50,"Pedobacter",2,0,0.0792079207920792
51,"Chloronema",6,0,0.123762376237624
52,"Mucispirillum",1,0,0.0891089108910891
