"from","to","weight","association"
2,3,0.463856827129437,1
4,6,0.505379292437205,1
5,7,0.462570441120213,1
2,8,0.142892088870498,-1
7,9,0.159607436826542,-1
4,11,0.475593876424247,1
5,11,0.470357795639207,1
8,11,0.507261242344393,1
10,11,0.513899133957838,1
4,13,0.598096489253742,1
8,13,0.552266344784214,1
11,13,0.502739626333217,1
8,14,0.114821153423743,-1
4,15,0.487373504263297,1
6,15,0.51976566642666,1
2,19,0.478706408032414,1
17,19,0.568312475167941,1
13,20,0.155020442604936,-1
15,20,0.106544783150769,-1
4,21,0.454349980109331,1
8,21,0.569016452008121,1
10,21,0.548225683959853,1
11,21,0.514391600632916,1
13,21,0.568487972894673,1
14,21,0.156467080265911,-1
15,21,0.464807510275,1
17,21,0.462952631790667,1
20,21,0.104219139751361,-1
2,22,0.58550371639952,1
10,22,0.483715052250425,1
17,22,0.525259946062813,1
3,23,0.470573367466533,1
16,23,0.460424689949396,1
20,23,0.488022882065308,1
8,24,0.548978413473397,1
11,24,0.484379773595734,1
17,24,0.575615044119401,1
19,24,0.586677311876773,1
21,24,0.453817101862757,1
6,25,0.515156331965668,1
25,26,0.476984318154029,1
25,27,0.493086806504197,1
11,29,0.150398805883277,-1
19,29,0.13185865270695,-1
29,30,0.552045241250333,1
13,31,0.491469639497757,1
16,34,0.489011851470934,1
23,34,0.482244433147558,1
13,36,0.127481497326947,-1
20,36,0.52650254552676,1
21,36,0.15708107721683,-1
13,37,0.152768012307616,-1
20,37,0.552345789112407,1
21,37,0.12842676326144,-1
36,37,0.560777848874222,1
2,38,0.139616854561095,-1
24,39,0.16192702204374,-1
29,39,0.453202168025572,1
19,40,0.156901303916041,-1
29,40,0.631628429192483,1
30,40,0.621230026357714,1
39,40,0.472442596763723,1
20,41,0.153759357096166,-1
21,41,0.51855310813833,1
38,41,0.45561505322292,1
38,42,0.471192523814239,1
8,43,0.158781646972857,-1
28,43,0.474276814166494,1
41,43,0.50929012764977,1
3,44,0.462806291314307,1
16,44,0.454472693981962,1
20,44,0.497050516299336,1
23,44,0.527619068807156,1
34,44,0.49785800775112,1
36,44,0.464504624611497,1
29,45,0.49924663367044,1
30,45,0.46970467557416,1
40,45,0.515244799340959,1
29,46,0.470722120577039,1
39,46,0.528955865673113,1
