"index","lable","cluster","degree"
13,"Millisia",2,0.168316831683168
70,"Atopococcus",2,0.193069306930693
71,"Atopostipes",2,0.178217821782178
72,"Granulicatella",2,0.301980198019802
84,"Helcococcus",1,0.257425742574257
85,"ph2",2,0.168316831683168
92,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0.287128712871287
95,"[Clostridium]",1,0.252475247524752
96,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0.173267326732673
100,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0.232673267326733
103,"Papillibacter",2,0.212871287128713
