"","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"01a9cbec697bef69afea0f213f7c92a7",1,21,"Bacteria",NA,NA,NA,NA,NA,NA
"ce1417730002427472dab2cc9a02098d",1,5,"Bacteria",NA,NA,NA,NA,NA,NA
"a821c701aa052db038be4a09f652d19c",1,10,"Unassigned",NA,NA,NA,NA,NA,NA
"f45ecd8300cda564d4bb940f10c0048b",2,18,"Bacteria",NA,NA,NA,NA,NA,NA
"60c29c8b090e69a507c5b4c996bcb248",1,35,"Bacteria",NA,NA,NA,NA,NA,NA
"d7102a662e6b569c33bfebef0dbfc190",1,16,"Bacteria",NA,NA,NA,NA,NA,NA
"4d9a3ebac421fe60f460bcdcfb8c6b06",1,17,"Bacteria",NA,NA,NA,NA,NA,NA
"6304c73b056479e9584f0c7f8da51a7e",1,17,"Unassigned",NA,NA,NA,NA,NA,NA
"815a5ec4592f261f365086dcd21be5f6",1,16,"Bacteria",NA,NA,NA,NA,NA,NA
"ab69e045e67f25d0c92a9b1f460d2b80",1,5,"Bacteria",NA,NA,NA,NA,NA,NA
"a456152d74f5721636a8abc9c9912f8b",1,3,"Bacteria",NA,NA,NA,NA,NA,NA
"75ad36409a1eb917c03c9ffbb56b0692",1,15,"Bacteria",NA,NA,NA,NA,NA,NA
"8bcf44a46e04d46213e676e3734adeec",1,14,"Bacteria",NA,NA,NA,NA,NA,NA
"c6c2245c081d7e6b29d9aa6ac7183549",1,11,"Bacteria",NA,NA,NA,NA,NA,NA
"fef5e08d47675d37febad3a51893fa4b",1,5,"Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter",NA
"b148f17d75bdc0e3ecc56d8f60d807e9",1,8,"Bacteria","Chlorobi","OPB56",NA,NA,NA,NA
"3aa5da01eae0fb90a0e3de8275858f8b",1,27,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Macellibacteroides","fermentans"
"91d66414f73d4d5f8439163990a3969d",1,20,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"79a6d564709b2baf5a41708304c3819d",1,16,"Bacteria",NA,NA,NA,NA,NA,NA
"b1f0913ae879abea9f8aa6b31e7d0799",1,12,"Bacteria","Fibrobacteres","TG3","TG3-1","TSCOR003-O20",NA,NA
"d1c0a86e43985479ed1009a9489ed428",1,6,"Bacteria","Fibrobacteres","TG3","TG3-1","TSCOR003-O20",NA,NA
"bf927a02d6303e454d12210ce2d993f8",2,10,"Bacteria",NA,NA,NA,NA,NA,NA
"e5f30cc5fc868a404df0d63a7544249b",1,15,"Bacteria",NA,NA,NA,NA,NA,NA
"8c375ddfffe4d5de9113bff8b7e51d2a",1,10,"Bacteria",NA,NA,NA,NA,NA,NA
"a6fc8f2bd852f4373ebd1fba81ea4a56",1,7,"Bacteria",NA,NA,NA,NA,NA,NA
"f3a3532326539f0e4f53fefc7da086a2",1,28,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]",NA,NA,NA
"5cbd70e71cc764b18603f59ed3f25f4e",1,5,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]",NA,NA,NA
"ea687f21d031fc6eb6c34562e18bc656",1,23,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]",NA,NA,NA
"65b0cb584a3f62c56c23b8a3e97e3a3b",1,10,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]",NA,NA,NA
"a18aadea83d38a9cd82dec04c72d6c6c",1,30,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"db963f8331c64d8fe7c0875c105da05d",1,74,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"1e0f321f2c1d235ad9fddae07bf11e08",3,21,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"2aa8a4a545ef23b06b47321a98d17fed",1,9,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"98da657a4115be8d4e5642283bb7ed6b",1,7,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"b6281ba67ec16b916d72454b0d5918ba",1,5,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"25a9bb686132d5f435d656d5c36dd3ce",1,7,"Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]",NA,NA,NA
"687128cc2208eda51ccb8f0abf76d333",1,5,"Bacteria",NA,NA,NA,NA,NA,NA
"2c9361f477f97d0997b5617af91085bb",1,144,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga",NA
"2b9561a367bb3c0ed40f4afe040ce223",1,87,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"b8cb51219e012cdc5f78d89a4c3997a9",1,28,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"5f2f44d6a01c2e4864a3ce5649ec0340",1,7,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum",NA
"06cdac93c74eee380b744ccab5a05906",1,10,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum",NA
"26a02b8ca56fdf27d39de61e0a636ae7",1,7,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum",NA
"5383bbd45f83d977120a4d129f769c4a",1,13,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"152c370831f2839ee3de3c454d147cc4",1,62,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA
"a3c118b3d3fda7f99b30c8b71563790b",1,79,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"c2346f5fc77b89a5019495c647c9405e",1,33,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"6b3b301824926d2a37d8fc36f99e9fde",1,8,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Porifericola","rhodea"
"84bc082b663a029cb897a5f7a221ecfc",1,11,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","terrigena"
"ecee3e734441053a85a5694e19ec3a35",1,4,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA
"298f729c99eb6888ef7e8f6b01ec12a9",1,9,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"3b2f7a878781fcf0a6d6835500bbd640",1,19,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"1409be3ec4bd48e13be0aee92f96a5a8",4,54,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"f7ea7d7068a298cbc8f5e45225d1c969",1,10,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"4fcfbc1e0c54f71fc26c6db59dee8e04",1,47,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
